book,chapter,paragraph,title,startVerseNo,endVerseNo
1ch,1,1,"从亚当到亚伯拉罕",1,4
1ch,1,2,"从亚当到亚伯拉罕",5,7
1ch,1,3,"从亚当到亚伯拉罕",8,12
1ch,1,4,"从亚当到亚伯拉罕",13,16
1ch,1,5,"从亚当到亚伯拉罕",17,27
1ch,1,6,"从亚伯拉罕到雅各",28,29
1ch,1,7,"从亚伯拉罕到雅各",29,33
1ch,1,8,"从亚伯拉罕到雅各",34,37
1ch,1,9,"以东地区的原住民",38,42
1ch,1,10,"以东诸王",43,43
1ch,1,11,"以东诸王",43,50
1ch,1,12,"以东诸王",51,54
1ch,2,1,"以色列的后裔",1,2
1ch,2,2,"犹大的后裔",3,8
1ch,2,3,"犹大的后裔",9,17
1ch,2,4,"希斯仑的后裔",18,24
1ch,2,5,"耶拉篾的后裔",25,41
1ch,2,6,"迦勒的后裔",42,55
1ch,3,1,"大卫的子孙",1,9
1ch,3,2,"所罗门的后裔",10,16
1ch,3,3,"耶哥尼雅的后裔",17,24
1ch,4,1,"复述犹大的后裔",1,10
1ch,4,2,"复述犹大的后裔",11,20
1ch,4,3,"复述犹大的后裔",21,23
1ch,4,4,"西缅的后裔",24,33
1ch,4,5,"西缅的后裔",34,43
1ch,5,1,"吕便的后裔",1,10
1ch,5,2,"迦得的后裔",11,17
1ch,5,3,"迦得的后裔",18,22
1ch,5,4,"玛拿西的半个支派",23,24
1ch,5,5,"玛拿西的半个支派",25,26
1ch,6,1,"利未的后裔",1,15
1ch,6,2,"利未的后裔",16,19
1ch,6,3,"利未的后裔",20,21
1ch,6,4,"利未的后裔",22,30
1ch,6,5,"圣殿的歌乐手",31,33
1ch,6,6,"圣殿的歌乐手",33,48
1ch,6,7,"圣殿的歌乐手",49,53
1ch,6,8,"利未人住的地方",54,54
1ch,6,9,"利未人住的地方",54,60
1ch,6,10,"利未人住的地方",61,81
1ch,7,1,"以萨迦的后裔",1,5
1ch,7,2,"便雅悯的后裔",6,12
1ch,7,3,"拿弗他利的后裔",13,13
1ch,7,4,"玛拿西的后裔",14,19
1ch,7,5,"以法莲的后裔",20,29
1ch,7,6,"亚设的后裔",30,40
1ch,8,1,"便雅悯的后裔",1,28
1ch,8,2,"便雅悯的后裔",29,40
1ch,9,1,"(无小标题)",1,1
1ch,9,2,"归回的被掳之民",1,9
1ch,9,3,"归回的被掳之民",10,13
1ch,9,4,"归回的被掳之民",14,16
1ch,9,5,"归回的被掳之民",17,27
1ch,9,6,"归回的被掳之民",28,34
1ch,9,7,"扫罗王的族谱",35,44
1ch,10,1,"扫罗之死",1,14
1ch,11,1,"大卫做以色列人的王",1,9
1ch,11,2,"大卫的勇士",10,19
1ch,11,3,"大卫的勇士",20,21
1ch,11,4,"大卫的勇士",22,25
1ch,11,5,"大卫的勇士",26,47
1ch,12,1,"投奔大卫的人",1,7
1ch,12,2,"投奔大卫的人",8,15
1ch,12,3,"投奔大卫的人",16,18
1ch,12,4,"投奔大卫的人",18,18
1ch,12,5,"投奔大卫的人",18,18
