book,chapter,paragraph,title,startVerseNo,endVerseNo
1jn,1,1,"生命之道",1,4
1jn,1,2,"要活在光中",5,7
1jn,1,3,"要活在光中",8,10
1jn,2,1,"(无小标题)",1,2
1jn,2,2,"(无小标题)",3,6
1jn,2,3,"新命令",7,8
1jn,2,4,"新命令",9,11
1jn,2,5,"新命令",12,13
1jn,2,6,"新命令",14,14
1jn,2,7,"新命令",15,17
1jn,2,8,"防备敌基督者",18,19
1jn,2,9,"防备敌基督者",20,23
1jn,2,10,"防备敌基督者",24,26
1jn,2,11,"顺从圣灵",27,29
1jn,3,1,"上帝的儿女",1,3
1jn,3,2,"上帝的儿女",4,6
1jn,3,3,"上帝的儿女",7,10
1jn,3,4,"彼此相爱",11,12
1jn,3,5,"彼此相爱",13,18
1jn,3,6,"彼此相爱",19,19
1jn,3,7,"彼此相爱",21,24
1jn,4,1,"灵的分辨",1,3
1jn,4,2,"灵的分辨",4,6
1jn,4,3,"上帝是爱",7,10
1jn,4,4,"上帝是爱",11,12
1jn,4,5,"上帝是爱",13,16
1jn,4,6,"上帝是爱",16,18
1jn,4,7,"上帝是爱",19,21
1jn,5,1,"胜过世界的人",1,5
1jn,5,2,"上帝的见证",6,12
1jn,5,3,"永恒的生命",13,15
1jn,5,4,"永恒的生命",16,17
1jn,5,5,"永恒的生命",18,19
1jn,5,6,"永恒的生命",20,20
1jn,5,7,"永恒的生命",21,21
1jn,1,1,"生命之道",1,4
1jn,1,2,"要活在光中",5,7
1jn,1,3,"要活在光中",8,10
1jn,2,1,"(无小标题)",1,2
1jn,2,2,"(无小标题)",3,6
1jn,2,3,"新命令",7,8
1jn,2,4,"新命令",9,11
1jn,2,5,"新命令",12,13
1jn,2,6,"新命令",14,14
1jn,2,7,"新命令",15,17
1jn,2,8,"防备敌基督者",18,19
1jn,2,9,"防备敌基督者",20,23
1jn,2,10,"防备敌基督者",24,26
1jn,2,11,"顺从圣灵",27,29
1jn,3,1,"上帝的儿女",1,3
1jn,3,2,"上帝的儿女",4,6
1jn,3,3,"上帝的儿女",7,10
1jn,3,4,"彼此相爱",11,12
1jn,3,5,"彼此相爱",13,18
1jn,3,6,"彼此相爱",19,19
1jn,3,7,"彼此相爱",21,24
1jn,4,1,"灵的分辨",1,3
1jn,4,2,"灵的分辨",4,6
1jn,4,3,"上帝是爱",7,10
1jn,4,4,"上帝是爱",11,12
1jn,4,5,"上帝是爱",13,16
1jn,4,6,"上帝是爱",16,18
1jn,4,7,"上帝是爱",19,21
1jn,5,1,"胜过世界的人",1,5
1jn,5,2,"上帝的见证",6,12
1jn,5,3,"永恒的生命",13,15
1jn,5,4,"永恒的生命",16,17
1jn,5,5,"永恒的生命",18,19
1jn,5,6,"永恒的生命",20,20
1jn,5,7,"永恒的生命",21,21
