book,chapter,paragraph,title,startVerseNo,endVerseNo
1ki,1,1,"王位之争",1,2
1ki,1,2,"王位之争",3,4
1ki,1,3,"王位之争",5,6
1ki,1,4,"王位之争",7,8
1ki,1,5,"王位之争",9,10
1ki,1,6,"王位之争",11,14
1ki,1,7,"王位之争",15,21
1ki,1,8,"王位之争",22,27
1ki,1,9,"王位之争",28,30
1ki,1,10,"王位之争",31,31
1ki,1,11,"王位之争",32,35
1ki,1,12,"王位之争",36,42
1ki,1,13,"王位之争",43,48
1ki,1,14,"王位之争",49,51
1ki,1,15,"王位之争",52,53
1ki,2,1,"大卫对所罗门的叮嘱",1,4
1ki,2,2,"大卫对所罗门的叮嘱",5,6
1ki,2,3,"大卫对所罗门的叮嘱",7,7
1ki,2,4,"大卫对所罗门的叮嘱",8,9
1ki,2,5,"大卫对所罗门的叮嘱",10,12
1ki,2,6,"所罗门巩固王位",13,18
1ki,2,7,"所罗门巩固王位",19,21
1ki,2,8,"所罗门巩固王位",22,25
1ki,2,9,"所罗门巩固王位",26,27
1ki,2,10,"所罗门巩固王位",28,30
1ki,2,11,"所罗门巩固王位",31,35
1ki,2,12,"所罗门巩固王位",36,40
1ki,2,13,"所罗门巩固王位",41,45
1ki,2,14,"所罗门巩固王位",46,46
1ki,3,1,"所罗门求智慧",1,3
1ki,3,2,"所罗门求智慧",4,5
1ki,3,3,"所罗门求智慧",6,14
1ki,3,4,"所罗门求智慧",15,15
1ki,3,5,"智断死婴案",16,26
1ki,3,6,"智断死婴案",27,28
1ki,4,1,"所罗门的臣仆",1,6
1ki,4,2,"所罗门的臣仆",7,19
1ki,4,3,"所罗门的财富和智慧",20,21
1ki,4,4,"所罗门的财富和智慧",22,25
1ki,4,5,"所罗门的财富和智慧",26,28
1ki,4,6,"所罗门的财富和智慧",29,34
1ki,5,1,"预备建造圣殿",1,6
1ki,5,2,"预备建造圣殿",7,12
1ki,5,3,"预备建造圣殿",13,18
1ki,6,1,"建造圣殿",1,7
1ki,6,2,"建造圣殿",8,10
1ki,6,3,"耶和华的约",11,13
1ki,6,4,"耶和华的约",14,22
1ki,6,5,"耶和华的约",23,28
1ki,6,6,"耶和华的约",29,36
1ki,6,7,"耶和华的约",37,38
1ki,7,1,"所罗门的王宫",1,5
1ki,7,2,"所罗门的王宫",6,8
1ki,7,3,"所罗门的王宫",9,12
1ki,7,4,"户兰造圣殿的器具",13,14
1ki,7,5,"户兰造圣殿的器具",15,22
1ki,7,6,"户兰造圣殿的器具",23,39
1ki,7,7,"户兰造圣殿的器具",40,47
1ki,7,8,"户兰造圣殿的器具",48,50
1ki,7,9,"户兰造圣殿的器具",51,51
1ki,8,1,"运约柜入圣殿",1,1
1ki,8,2,"运约柜入圣殿",2,12
1ki,8,3,"运约柜入圣殿",12,13
1ki,8,4,"运约柜入圣殿",14,19
1ki,8,5,"运约柜入圣殿",20,21
1ki,8,6,"所罗门的祷告",22,24
1ki,8,7,"所罗门的祷告",25,26
1ki,8,8,"所罗门的祷告",27,30
1ki,8,9,"所罗门的祷告",31,32
1ki,8,10,"所罗门的祷告",33,34
1ki,8,11,"所罗门的祷告",35,36
1ki,8,12,"所罗门的祷告",37,40
1ki,8,13,"所罗门的祷告",41,43
1ki,8,14,"所罗门的祷告",44,45
1ki,8,15,"所罗门的祷告",46,51
1ki,8,16,"所罗门的祷告",52,53
1ki,8,17,"所罗门为民祝福",54,61
1ki,8,18,"圣殿奉献礼",62,63
1ki,8,19,"圣殿奉献礼",64,66
1ki,9,1,"耶和华再次向所罗门显现",1,5
1ki,9,2,"耶和华再次向所罗门显现",6,9
1ki,9,3,"所罗门的事迹",10,14
1ki,9,4,"所罗门的事迹",15,19
1ki,9,5,"所罗门的事迹",20,23
1ki,9,6,"所罗门的事迹",24,25
1ki,9,7,"所罗门的事迹",26,28
1ki,10,1,"示巴女王拜访所罗门",1,5
1ki,10,2,"示巴女王拜访所罗门",6,9
1ki,10,3,"示巴女王拜访所罗门",10,10
1ki,10,4,"示巴女王拜访所罗门",11,12
1ki,10,5,"示巴女王拜访所罗门",13,13
1ki,10,6,"所罗门的财富",14,17
1ki,10,7,"所罗门的财富",18,22
1ki,10,8,"所罗门的财富",23,25
1ki,10,9,"所罗门的财富",26,29
1ki,11,1,"所罗门背弃上帝",1,8
1ki,11,2,"所罗门背弃上帝",9,13
1ki,11,3,"所罗门的敌人",14,25
1ki,11,4,"耶罗波安叛变",26,27
1ki,11,5,"耶罗波安叛变",27,28
1ki,11,6,"耶罗波安叛变",29,39
1ki,11,7,"耶罗波安叛变",40,40
1ki,11,8,"耶罗波安叛变",41,43
1ki,12,1,"北方支派背叛罗波安",1,4
1ki,12,2,"北方支派背叛罗波安",5,5
1ki,12,3,"北方支派背叛罗波安",6,7
1ki,12,4,"北方支派背叛罗波安",8,9
1ki,12,5,"北方支派背叛罗波安",10,11
1ki,12,6,"北方支派背叛罗波安",12,15
1ki,12,7,"北方支派背叛罗波安",16,16
1ki,12,8,"北方支派背叛罗波安",16,16
1ki,12,9,"北方支派背叛罗波安",16,20
1ki,12,10,"北方支派背叛罗波安",21,24
1ki,12,11,"耶罗波安背弃上帝",25,30
1ki,12,12,"耶罗波安背弃上帝",31,33
1ki,13,1,"上帝的仆人警告耶罗波安",1,2
1ki,13,2,"上帝的仆人警告耶罗波安",3,3
1ki,13,3,"上帝的仆人警告耶罗波安",4,5
1ki,13,4,"上帝的仆人警告耶罗波安",6,10
1ki,13,5,"上帝的仆人警告耶罗波安",11,19
1ki,13,6,"上帝的仆人警告耶罗波安",20,22
1ki,13,7,"上帝的仆人警告耶罗波安",23,26
1ki,13,8,"上帝的仆人警告耶罗波安",27,32
1ki,13,9,"上帝的仆人警告耶罗波安",33,34
1ki,14,1,"亚希雅对耶罗波安的预言",1,3
1ki,14,2,"亚希雅对耶罗波安的预言",4,5
1ki,14,3,"亚希雅对耶罗波安的预言",6,11
1ki,14,4,"亚希雅对耶罗波安的预言",12,16
1ki,14,5,"亚希雅对耶罗波安的预言",17,18
1ki,14,6,"亚希雅对耶罗波安的预言",19,20
1ki,14,7,"罗波安做犹大王",21,24
1ki,14,8,"罗波安做犹大王",25,28
1ki,14,9,"罗波安做犹大王",29,31
1ki,15,1,"亚比央做犹大王",1,2
1ki,15,2,"亚比央做犹大王",3,5
1ki,15,3,"亚比央做犹大王",6,8
1ki,15,4,"亚撒做犹大王",9,15
1ki,15,5,"亚撒做犹大王",16,24
1ki,15,6,"拿答做以色列王",25,32
1ki,15,7,"巴沙做以色列王",33,34
1ki,16,1,"(无小标题)",1,4
1ki,16,2,"(无小标题)",5,7
1ki,16,3,"以拉做以色列王",8,10
1ki,16,4,"以拉做以色列王",11,14
1ki,16,5,"心利做以色列王",15,20
1ki,16,6,"暗利做以色列王",21,22
1ki,16,7,"暗利做以色列王",23,28
1ki,16,8,"亚哈做以色列王",29,34
1ki,17,1,"以利亚预言旱灾",1,6
1ki,17,2,"撒勒法的寡妇",7,12
1ki,17,3,"撒勒法的寡妇",13,16
1ki,17,4,"撒勒法的寡妇",17,24
1ki,18,1,"以利亚战胜巴力的先知",1,6
1ki,18,2,"以利亚战胜巴力的先知",7,15
1ki,18,3,"以利亚战胜巴力的先知",16,19
1ki,18,4,"以利亚战胜巴力的先知",20,26
1ki,18,5,"以利亚战胜巴力的先知",27,29
1ki,18,6,"以利亚战胜巴力的先知",30,35
1ki,18,7,"以利亚战胜巴力的先知",36,40
1ki,18,8,"上帝降雨",41,46
1ki,19,1,"以利亚逃亡",1,2
1ki,19,2,"以利亚逃亡",3,8
1ki,19,3,"以利亚逃亡",9,18
1ki,19,4,"呼召以利沙",19,21
1ki,20,1,"亚兰王攻打撒玛利亚城",1,4
1ki,20,2,"亚兰王攻打撒玛利亚城",5,8
1ki,20,3,"亚兰王攻打撒玛利亚城",9,12
1ki,20,4,"亚哈打败便·哈达",13,14
1ki,20,5,"亚哈打败便·哈达",15,15
1ki,20,6,"亚哈打败便·哈达",16,21
1ki,20,7,"亚哈打败便·哈达",22,22
1ki,20,8,"亚哈打败便·哈达",23,25
1ki,20,9,"亚哈打败便·哈达",26,28
