book,chapter,paragraph,title,startVerseNo,endVerseNo
1ti,1,1,"(无小标题)",1,2
1ti,1,2,"(无小标题)",2,2
1ti,1,3,"谨防异端邪说",3,7
1ti,1,4,"谨防异端邪说",8,11
1ti,1,5,"感谢上帝的怜悯",12,14
1ti,1,6,"感谢上帝的怜悯",15,16
1ti,1,7,"感谢上帝的怜悯",17,17
1ti,1,8,"感谢上帝的怜悯",18,20
1ti,2,1,"要为他人祷告",1,7
1ti,2,2,"信徒的操守",8,11
1ti,2,3,"信徒的操守",12,15
1ti,3,1,"监督与执事的资格",1,7
1ti,3,2,"监督与执事的资格",8,13
1ti,3,3,"奥妙无比的信仰",14,16
1ti,3,4,"奥妙无比的信仰",16,16
1ti,4,1,"谨防伪君子",1,5
1ti,4,2,"谨防伪君子",6,6
1ti,4,3,"做信徒的榜样",7,11
1ti,4,4,"做信徒的榜样",12,16
1ti,5,1,"信徒的责任",1,2
1ti,5,2,"信徒的责任",3,8
1ti,5,3,"信徒的责任",9,10
1ti,5,4,"信徒的责任",11,16
1ti,5,5,"信徒的责任",17,20
1ti,5,6,"信徒的责任",21,22
1ti,5,7,"信徒的责任",23,23
1ti,5,8,"信徒的责任",24,25
1ti,6,1,"(无小标题)",1,2
1ti,6,2,"异端与贪财",3,10
1ti,6,3,"保罗对提摩太的嘱咐",11,16
1ti,6,4,"保罗对提摩太的嘱咐",17,19
1ti,6,5,"保罗对提摩太的嘱咐",20,21
1ti,6,6,"保罗对提摩太的嘱咐",21,21
1ti,1,1,"(无小标题)",1,2
1ti,1,2,"(无小标题)",2,2
1ti,1,3,"谨防异端邪说",3,7
1ti,1,4,"谨防异端邪说",8,11
1ti,1,5,"感谢上帝的怜悯",12,14
1ti,1,6,"感谢上帝的怜悯",15,16
1ti,1,7,"感谢上帝的怜悯",17,17
1ti,1,8,"感谢上帝的怜悯",18,20
1ti,2,1,"要为他人祷告",1,7
1ti,2,2,"信徒的操守",8,11
1ti,2,3,"信徒的操守",12,15
1ti,3,1,"监督与执事的资格",1,7
1ti,3,2,"监督与执事的资格",8,13
1ti,3,3,"奥妙无比的信仰",14,16
1ti,3,4,"奥妙无比的信仰",16,16
1ti,4,1,"谨防伪君子",1,5
1ti,4,2,"谨防伪君子",6,6
1ti,4,3,"做信徒的榜样",7,11
1ti,4,4,"做信徒的榜样",12,16
1ti,5,1,"信徒的责任",1,2
1ti,5,2,"信徒的责任",3,8
1ti,5,3,"信徒的责任",9,10
1ti,5,4,"信徒的责任",11,16
1ti,5,5,"信徒的责任",17,20
1ti,5,6,"信徒的责任",21,22
1ti,5,7,"信徒的责任",23,23
1ti,5,8,"信徒的责任",24,25
1ti,6,1,"(无小标题)",1,2
1ti,6,2,"异端与贪财",3,10
1ti,6,3,"保罗对提摩太的嘱咐",11,16
1ti,6,4,"保罗对提摩太的嘱咐",17,19
1ti,6,5,"保罗对提摩太的嘱咐",20,21
1ti,6,6,"保罗对提摩太的嘱咐",21,21
