book,chapter,paragraph,title,startVerseNo,endVerseNo
2co,1,1,"问候",1,1
2co,1,2,"问候",2,2
2co,1,3,"上帝的安慰",3,7
2co,1,4,"上帝的安慰",8,11
2co,1,5,"保罗改变计划",12,13
2co,1,6,"保罗改变计划",15,22
2co,1,7,"保罗改变计划",23,24
2co,2,1,"爱之深责之切",1,4
2co,2,2,"要饶恕犯罪的人",5,11
2co,2,3,"基督的香气",12,13
2co,2,4,"基督的香气",14,17
2co,3,1,"保罗的荐信",1,3
2co,3,2,"保罗的荐信",4,6
2co,3,3,"新约的荣耀",7,11
2co,3,4,"新约的荣耀",12,18
2co,4,1,"瓦器中的宝贝",1,2
2co,4,2,"瓦器中的宝贝",3,6
2co,4,3,"瓦器中的宝贝",7,12
2co,4,4,"瓦器中的宝贝",13,15
2co,4,5,"瓦器中的宝贝",16,18
2co,5,1,"天上的房屋",1,5
2co,5,2,"天上的房屋",6,10
2co,5,3,"劝人与上帝和好",11,15
2co,5,4,"劝人与上帝和好",16,21
2co,6,1,"(无小标题)",1,2
2co,6,2,"(无小标题)",2,2
2co,6,3,"(无小标题)",2,2
2co,6,4,"上帝仆人的品格",3,10
2co,6,5,"上帝仆人的品格",11,13
2co,6,6,"永活上帝的殿",14,16
2co,6,7,"永活上帝的殿",16,16
2co,6,8,"永活上帝的殿",17,17
2co,6,9,"永活上帝的殿",17,18
2co,7,1,"(无小标题)",1,1
2co,7,2,"保罗的喜乐",2,4
2co,7,3,"保罗的喜乐",5,7
2co,7,4,"保罗的喜乐",8,10
2co,7,5,"保罗的喜乐",11,11
2co,7,6,"保罗的喜乐",12,16
2co,8,1,"鼓励信徒慷慨捐助",1,5
2co,8,2,"鼓励信徒慷慨捐助",6,9
2co,8,3,"鼓励信徒慷慨捐助",10,15
2co,8,4,"托人送捐款",16,21
2co,8,5,"托人送捐款",22,24
2co,9,1,"(无小标题)",1,5
2co,9,2,"甘心乐意地捐助",6,9
2co,9,3,"甘心乐意地捐助",9,9
2co,9,4,"甘心乐意地捐助",10,15
2co,10,1,"保罗论自己的职分",1,6
2co,10,2,"保罗论自己的职分",7,11
2co,10,3,"保罗论自己的职分",12,18
2co,11,1,"保罗与假使徒",1,6
2co,11,2,"保罗与假使徒",7,11
2co,11,3,"保罗与假使徒",12,15
2co,11,4,"保罗的诸多苦难",16,21
2co,11,5,"保罗的诸多苦难",21,29
2co,11,6,"保罗的诸多苦难",30,33
2co,12,1,"保罗得到的异象和启示",1,6
2co,12,2,"保罗得到的异象和启示",7,10
2co,12,3,"保罗关怀哥林多人",11,13
2co,12,4,"保罗关怀哥林多人",14,15
2co,12,5,"保罗关怀哥林多人",16,18
2co,12,6,"保罗关怀哥林多人",19,21
2co,13,1,"最后的警告",1,4
2co,13,2,"最后的警告",5,10
2co,13,3,"劝勉与祝福",11,11
2co,13,4,"劝勉与祝福",12,13
2co,13,5,"劝勉与祝福",14,14
2co,1,1,"问候",1,1
2co,1,2,"问候",2,2
2co,1,3,"上帝的安慰",3,7
2co,1,4,"上帝的安慰",8,11
2co,1,5,"保罗改变计划",12,13
2co,1,6,"保罗改变计划",15,22
2co,1,7,"保罗改变计划",23,24
2co,2,1,"爱之深责之切",1,4
2co,2,2,"要饶恕犯罪的人",5,11
2co,2,3,"基督的香气",12,13
2co,2,4,"基督的香气",14,17
2co,3,1,"保罗的荐信",1,3
2co,3,2,"保罗的荐信",4,6
2co,3,3,"新约的荣耀",7,11
2co,3,4,"新约的荣耀",12,18
2co,4,1,"瓦器中的宝贝",1,2
2co,4,2,"瓦器中的宝贝",3,6
2co,4,3,"瓦器中的宝贝",7,12
2co,4,4,"瓦器中的宝贝",13,15
2co,4,5,"瓦器中的宝贝",16,18
2co,5,1,"天上的房屋",1,5
2co,5,2,"天上的房屋",6,10
2co,5,3,"劝人与上帝和好",11,15
2co,5,4,"劝人与上帝和好",16,21
2co,6,1,"(无小标题)",1,2
2co,6,2,"(无小标题)",2,2
2co,6,3,"(无小标题)",2,2
2co,6,4,"上帝仆人的品格",3,10
2co,6,5,"上帝仆人的品格",11,13
2co,6,6,"永活上帝的殿",14,16
2co,6,7,"永活上帝的殿",16,16
2co,6,8,"永活上帝的殿",17,17
2co,6,9,"永活上帝的殿",17,18
2co,7,1,"(无小标题)",1,1
2co,7,2,"保罗的喜乐",2,4
2co,7,3,"保罗的喜乐",5,7
2co,7,4,"保罗的喜乐",8,10
2co,7,5,"保罗的喜乐",11,11
2co,7,6,"保罗的喜乐",12,16
2co,8,1,"鼓励信徒慷慨捐助",1,5
2co,8,2,"鼓励信徒慷慨捐助",6,9
2co,8,3,"鼓励信徒慷慨捐助",10,15
2co,8,4,"托人送捐款",16,21
2co,8,5,"托人送捐款",22,24
2co,9,1,"(无小标题)",1,5
2co,9,2,"甘心乐意地捐助",6,9
2co,9,3,"甘心乐意地捐助",9,9
2co,9,4,"甘心乐意地捐助",10,15
2co,10,1,"保罗论自己的职分",1,6
2co,10,2,"保罗论自己的职分",7,11
2co,10,3,"保罗论自己的职分",12,18
2co,11,1,"保罗与假使徒",1,6
2co,11,2,"保罗与假使徒",7,11
2co,11,3,"保罗与假使徒",12,15
2co,11,4,"保罗的诸多苦难",16,21
2co,11,5,"保罗的诸多苦难",21,29
2co,11,6,"保罗的诸多苦难",30,33
2co,12,1,"保罗得到的异象和启示",1,6
2co,12,2,"保罗得到的异象和启示",7,10
2co,12,3,"保罗关怀哥林多人",11,13
2co,12,4,"保罗关怀哥林多人",14,15
2co,12,5,"保罗关怀哥林多人",16,18
2co,12,6,"保罗关怀哥林多人",19,21
2co,13,1,"最后的警告",1,4
2co,13,2,"最后的警告",5,10
2co,13,3,"劝勉与祝福",11,11
2co,13,4,"劝勉与祝福",12,13
2co,13,5,"劝勉与祝福",14,14
