book,chapter,paragraph,title,startVerseNo,endVerseNo
2sa,1,1,"大卫得知扫罗的死讯",1,10
2sa,1,2,"大卫得知扫罗的死讯",11,15
2sa,1,3,"大卫的哀歌",17,18
2sa,1,4,"大卫的哀歌",19,20
2sa,1,5,"大卫的哀歌",21,21
2sa,1,6,"大卫的哀歌",22,22
2sa,1,7,"大卫的哀歌",23,23
2sa,1,8,"大卫的哀歌",24,24
2sa,1,9,"大卫的哀歌",25,26
2sa,1,10,"大卫的哀歌",27,27
2sa,2,1,"大卫做犹大王",1,4
2sa,2,2,"大卫做犹大王",4,7
2sa,2,3,"大卫家与扫罗家争战",8,11
2sa,2,4,"大卫家与扫罗家争战",12,23
2sa,2,5,"大卫家与扫罗家争战",24,28
2sa,2,6,"大卫家与扫罗家争战",29,32
2sa,3,1,"押尼珥之死",1,1
2sa,3,2,"押尼珥之死",2,5
2sa,3,3,"押尼珥之死",6,9
2sa,3,4,"押尼珥之死",11,11
2sa,3,5,"押尼珥之死",12,16
2sa,3,6,"押尼珥之死",17,21
2sa,3,7,"押尼珥之死",22,25
2sa,3,8,"押尼珥之死",26,30
2sa,3,9,"押尼珥之死",31,33
2sa,3,10,"押尼珥之死",33,34
2sa,3,11,"押尼珥之死",34,39
2sa,4,1,"伊施波设被杀",1,3
2sa,4,2,"伊施波设被杀",4,4
2sa,4,3,"伊施波设被杀",5,12
2sa,5,1,"大卫统治全以色列",1,5
2sa,5,2,"大卫统治全以色列",6,10
2sa,5,3,"大卫统治全以色列",11,12
2sa,5,4,"大卫统治全以色列",13,16
2sa,5,5,"大卫战胜非利士人",17,21
2sa,5,6,"大卫战胜非利士人",22,25
2sa,6,1,"运约柜到耶路撒冷",1,8
2sa,6,2,"运约柜到耶路撒冷",9,11
2sa,6,3,"运约柜到耶路撒冷",12,15
2sa,6,4,"运约柜到耶路撒冷",16,19
2sa,6,5,"运约柜到耶路撒冷",20,22
2sa,6,6,"运约柜到耶路撒冷",23,23
2sa,7,1,"上帝对大卫的应许",1,7
2sa,7,2,"上帝对大卫的应许",8,16
2sa,7,3,"上帝对大卫的应许",17,17
2sa,7,4,"大卫的祷告",18,24
2sa,7,5,"大卫的祷告",25,29
2sa,8,1,"大卫战胜敌人",1,2
2sa,8,2,"大卫战胜敌人",3,14
2sa,8,3,"大卫战胜敌人",15,18
2sa,9,1,"大卫恩待米非波设",1,8
2sa,9,2,"大卫恩待米非波设",9,13
2sa,10,1,"以色列人战胜亚扪人",1,5
2sa,10,2,"以色列人战胜亚扪人",6,10
2sa,10,3,"以色列人战胜亚扪人",11,12
2sa,10,4,"以色列人战胜亚扪人",13,14
2sa,10,5,"以色列人战胜亚扪人",15,19
2sa,11,1,"大卫犯罪",1,5
2sa,11,2,"大卫犯罪",6,13
