book,chapter,paragraph,title,startVerseNo,endVerseNo
2th,1,1,"(无小标题)",1,1
2th,1,2,"(无小标题)",2,2
2th,1,3,"感恩与劝勉",3,5
2th,1,4,"感恩与劝勉",6,10
2th,1,5,"感恩与劝勉",11,12
2th,2,1,"主再来的先兆",1,4
2th,2,2,"主再来的先兆",5,8
2th,2,3,"主再来的先兆",9,12
2th,2,4,"要坚定不移",13,15
2th,2,5,"要坚定不移",16,17
2th,3,1,"请求代祷",1,2
2th,3,2,"请求代祷",3,4
2th,3,3,"请求代祷",5,5
2th,3,4,"不可游手好闲",6,12
2th,3,5,"不可游手好闲",13,15
2th,3,6,"问候",16,17
2th,3,7,"问候",18,18
2th,1,1,"(无小标题)",1,1
2th,1,2,"(无小标题)",2,2
2th,1,3,"感恩与劝勉",3,5
2th,1,4,"感恩与劝勉",6,10
2th,1,5,"感恩与劝勉",11,12
2th,2,1,"主再来的先兆",1,4
2th,2,2,"主再来的先兆",5,8
2th,2,3,"主再来的先兆",9,12
2th,2,4,"要坚定不移",13,15
2th,2,5,"要坚定不移",16,17
2th,3,1,"请求代祷",1,2
2th,3,2,"请求代祷",3,4
2th,3,3,"请求代祷",5,5
2th,3,4,"不可游手好闲",6,12
2th,3,5,"不可游手好闲",13,15
2th,3,6,"问候",16,17
2th,3,7,"问候",18,18
