book,chapter,paragraph,title,startVerseNo,endVerseNo
dan,1,1,"但以理被掳到巴比伦",1,2
dan,1,2,"但以理被掳到巴比伦",3,7
dan,1,3,"但以理被掳到巴比伦",8,16
dan,1,4,"但以理被掳到巴比伦",17,21
dan,2,1,"尼布甲尼撒的梦",1,13
dan,2,2,"尼布甲尼撒的梦",14,20
dan,2,3,"尼布甲尼撒的梦",20,23
dan,2,4,"但以理解梦",24,28
dan,2,5,"但以理解梦",31,35
dan,2,6,"但以理解梦",36,45
dan,2,7,"但以理解梦",46,49
dan,3,1,"金像和火窑",1,3
dan,3,2,"金像和火窑",4,7
dan,3,3,"金像和火窑",8,15
dan,3,4,"金像和火窑",16,18
dan,3,5,"金像和火窑",19,23
dan,3,6,"金像和火窑",24,25
dan,3,7,"金像和火窑",26,30
dan,4,1,"尼布甲尼撒的第二个梦",1,2
dan,4,2,"尼布甲尼撒的第二个梦",3,3
dan,4,3,"尼布甲尼撒的第二个梦",4,9
dan,4,4,"尼布甲尼撒的第二个梦",10,12
dan,4,5,"尼布甲尼撒的第二个梦",13,17
dan,4,6,"尼布甲尼撒的第二个梦",18,18
dan,4,7,"但以理解梦",19,23
dan,4,8,"但以理解梦",24,27
dan,4,9,"梦兆应验",28,33
dan,4,10,"梦兆应验",34,34
dan,4,11,"梦兆应验",34,35
dan,4,12,"梦兆应验",36,37
dan,5,1,"墙上写字",1,4
dan,5,2,"墙上写字",5,9
dan,5,3,"墙上写字",10,12
dan,5,4,"墙上写字",13,16
dan,5,5,"墙上写字",17,21
dan,5,6,"墙上写字",22,23
dan,5,7,"墙上写字",24,28
dan,5,8,"墙上写字",29,31
dan,6,1,"但以理在狮子坑",1,5
dan,6,2,"但以理在狮子坑",6,9
dan,6,3,"但以理在狮子坑",10,15
dan,6,4,"但以理在狮子坑",16,18
dan,6,5,"但以理在狮子坑",19,24
dan,6,6,"但以理在狮子坑",25,26
dan,6,7,"但以理在狮子坑",26,27
dan,6,8,"但以理在狮子坑",28,28
dan,7,1,"但以理梦见四兽",1,5
dan,7,2,"但以理梦见四兽",6,8
dan,7,3,"但以理梦见四兽",9,10
dan,7,4,"但以理梦见四兽",11,12
dan,7,5,"但以理梦见四兽",13,14
dan,7,6,"解释异象",15,18
dan,7,7,"解释异象",19,22
dan,7,8,"解释异象",23,27
dan,7,9,"解释异象",28,28
dan,8,1,"公绵羊和公山羊的异象",1,4
dan,8,2,"公绵羊和公山羊的异象",5,12
dan,8,3,"公绵羊和公山羊的异象",13,14
dan,8,4,"解释异象",15,26
dan,8,5,"解释异象",27,27
dan,9,1,"但以理为同胞祷告",1,2
dan,9,2,"但以理为同胞祷告",3,14
dan,9,3,"但以理为同胞祷告",15,19
dan,9,4,"加百列解释预言",20,23
dan,9,5,"加百列解释预言",24,27
dan,10,1,"底格里斯河边的异象",1,1
dan,10,2,"底格里斯河边的异象",2,17
dan,10,3,"底格里斯河边的异象",18,21
dan,11,1,"(无小标题)",1,4
dan,11,2,"(无小标题)",5,6
dan,11,3,"(无小标题)",7,9
dan,11,4,"(无小标题)",10,13
dan,11,5,"(无小标题)",14,17
dan,11,6,"(无小标题)",18,20
dan,11,7,"(无小标题)",21,28
dan,11,8,"(无小标题)",29,35
dan,11,9,"(无小标题)",36,39
dan,11,10,"(无小标题)",40,45
dan,12,1,"末日",1,4
dan,12,2,"末日",5,13
dan,1,1,"但以理被掳到巴比伦",1,2
dan,1,2,"但以理被掳到巴比伦",3,7
dan,1,3,"但以理被掳到巴比伦",8,16
dan,1,4,"但以理被掳到巴比伦",17,21
dan,2,1,"尼布甲尼撒的梦",1,13
dan,2,2,"尼布甲尼撒的梦",14,20
dan,2,3,"尼布甲尼撒的梦",20,23
dan,2,4,"但以理解梦",24,28
dan,2,5,"但以理解梦",31,35
dan,2,6,"但以理解梦",36,45
dan,2,7,"但以理解梦",46,49
dan,3,1,"金像和火窑",1,3
dan,3,2,"金像和火窑",4,7
dan,3,3,"金像和火窑",8,15
dan,3,4,"金像和火窑",16,18
dan,3,5,"金像和火窑",19,23
dan,3,6,"金像和火窑",24,25
dan,3,7,"金像和火窑",26,30
dan,4,1,"尼布甲尼撒的第二个梦",1,2
dan,4,2,"尼布甲尼撒的第二个梦",3,3
dan,4,3,"尼布甲尼撒的第二个梦",4,9
dan,4,4,"尼布甲尼撒的第二个梦",10,12
dan,4,5,"尼布甲尼撒的第二个梦",13,17
dan,4,6,"尼布甲尼撒的第二个梦",18,18
dan,4,7,"但以理解梦",19,23
dan,4,8,"但以理解梦",24,27
dan,4,9,"梦兆应验",28,33
dan,4,10,"梦兆应验",34,34
dan,4,11,"梦兆应验",34,35
dan,4,12,"梦兆应验",36,37
dan,5,1,"墙上写字",1,4
dan,5,2,"墙上写字",5,9
dan,5,3,"墙上写字",10,12
dan,5,4,"墙上写字",13,16
dan,5,5,"墙上写字",17,21
dan,5,6,"墙上写字",22,23
dan,5,7,"墙上写字",24,28
dan,5,8,"墙上写字",29,31
dan,6,1,"但以理在狮子坑",1,5
dan,6,2,"但以理在狮子坑",6,9
dan,6,3,"但以理在狮子坑",10,15
dan,6,4,"但以理在狮子坑",16,18
dan,6,5,"但以理在狮子坑",19,24
dan,6,6,"但以理在狮子坑",25,26
dan,6,7,"但以理在狮子坑",26,27
dan,6,8,"但以理在狮子坑",28,28
dan,7,1,"但以理梦见四兽",1,5
dan,7,2,"但以理梦见四兽",6,8
dan,7,3,"但以理梦见四兽",9,10
dan,7,4,"但以理梦见四兽",11,12
dan,7,5,"但以理梦见四兽",13,14
dan,7,6,"解释异象",15,18
dan,7,7,"解释异象",19,22
dan,7,8,"解释异象",23,27
dan,7,9,"解释异象",28,28
dan,8,1,"公绵羊和公山羊的异象",1,4
dan,8,2,"公绵羊和公山羊的异象",5,12
dan,8,3,"公绵羊和公山羊的异象",13,14
dan,8,4,"解释异象",15,26
dan,8,5,"解释异象",27,27
dan,9,1,"但以理为同胞祷告",1,2
dan,9,2,"但以理为同胞祷告",3,14
dan,9,3,"但以理为同胞祷告",15,19
dan,9,4,"加百列解释预言",20,23
dan,9,5,"加百列解释预言",24,27
dan,10,1,"底格里斯河边的异象",1,1
dan,10,2,"底格里斯河边的异象",2,17
dan,10,3,"底格里斯河边的异象",18,21
dan,11,1,"(无小标题)",1,4
dan,11,2,"(无小标题)",5,6
dan,11,3,"(无小标题)",7,9
dan,11,4,"(无小标题)",10,13
dan,11,5,"(无小标题)",14,17
dan,11,6,"(无小标题)",18,20
dan,11,7,"(无小标题)",21,28
dan,11,8,"(无小标题)",29,35
dan,11,9,"(无小标题)",36,39
dan,11,10,"(无小标题)",40,45
dan,12,1,"末日",1,4
dan,12,2,"末日",5,13
