book,chapter,paragraph,title,startVerseNo,endVerseNo
deu,1,1,"前言",1,8
deu,1,2,"摩西设立首领",9,18
deu,1,3,"派人打探迦南",19,25
deu,1,4,"派人打探迦南",26,32
deu,1,5,"惩罚叛逆",34,40
deu,1,6,"惩罚叛逆",41,46
deu,2,1,"旷野漂流",1,7
deu,2,2,"旷野漂流",8,9
deu,2,3,"旷野漂流",10,15
deu,2,4,"旷野漂流",16,25
deu,2,5,"击败希实本王",26,37
deu,3,1,"击败巴珊王噩",1,2
deu,3,2,"击败巴珊王噩",3,11
deu,3,3,"分配约旦河东之地",12,17
deu,3,4,"分配约旦河东之地",18,22
deu,3,5,"摩西不得进入迦南",23,29
deu,4,1,"当守律法",1,8
deu,4,2,"当守律法",9,14
deu,4,3,"不可拜偶像",15,24
deu,4,4,"不可拜偶像",25,31
deu,4,5,"独一的上帝",32,40
deu,4,6,"设立避难城",41,43
deu,4,7,"重申律法",44,49
deu,5,1,"十诫",1,5
deu,5,2,"十诫",6,6
deu,5,3,"十诫",22,27
deu,5,4,"十诫",28,33
deu,6,1,"最大的诫命",1,9
deu,6,2,"最大的诫命",10,15
deu,6,3,"最大的诫命",16,19
deu,6,4,"最大的诫命",20,25
deu,7,1,"做上帝的子民",1,6
deu,7,2,"做上帝的子民",7,11
deu,7,3,"遵守诫命必蒙福",12,16
deu,7,4,"遵守诫命必蒙福",17,26
deu,8,1,"不可忘记耶和华",1,5
deu,8,2,"不可忘记耶和华",6,10
deu,8,3,"不可忘记耶和华",11,18
deu,8,4,"不可忘记耶和华",19,20
deu,9,1,"以色列人的悖逆",1,3
deu,9,2,"以色列人的悖逆",4,6
deu,9,3,"以色列人的悖逆",7,12
deu,9,4,"以色列人的悖逆",13,17
deu,9,5,"以色列人的悖逆",18,21
deu,9,6,"以色列人的悖逆",22,24
deu,9,7,"以色列人的悖逆",25,29
deu,10,1,"摩西重新接受诫命",1,5
deu,10,2,"摩西重新接受诫命",6,9
deu,10,3,"摩西重新接受诫命",10,11
deu,10,4,"耶和华的要求",12,22
deu,11,1,"要听从耶和华",1,7
deu,11,2,"要听从耶和华",8,12
deu,11,3,"要听从耶和华",13,17
deu,11,4,"要听从耶和华",18,25
deu,11,5,"要听从耶和华",26,32
deu,12,1,"合宜的敬拜",1,1
deu,12,2,"合宜的敬拜",2,7
deu,12,3,"合宜的敬拜",8,14
deu,12,4,"合宜的敬拜",15,19
deu,12,5,"合宜的敬拜",20,28
deu,12,6,"合宜的敬拜",29,31
deu,12,7,"合宜的敬拜",32,32
deu,13,1,"不可拜假神",1,5
deu,13,2,"不可拜假神",6,11
deu,13,3,"不可拜假神",12,17
deu,13,4,"不可拜假神",17,17
deu,14,1,"做圣洁的子民",1,2
deu,14,2,"做圣洁的子民",3,8
deu,14,3,"做圣洁的子民",9,10
deu,14,4,"做圣洁的子民",11,18
deu,14,5,"做圣洁的子民",19,20
deu,14,6,"做圣洁的子民",21,21
deu,14,7,"十一奉献",22,27
deu,14,8,"十一奉献",28,29
deu,15,1,"安息年",1,6
deu,15,2,"安息年",7,11
deu,15,3,"安息年",12,18
deu,15,4,"头生的牛羊",19,23
deu,16,1,"逾越节",1,8
deu,16,2,"七七收获节",9,12
deu,16,3,"住棚节",13,15
deu,16,4,"住棚节",16,17
deu,16,5,"委任审判官",18,20
deu,16,6,"不可拜偶像",21,22
deu,17,1,"(无小标题)",1,1
deu,17,2,"(无小标题)",2,7
deu,17,3,"复杂案件的处理",8,13
deu,17,4,"立王的条例",14,20
deu,18,1,"利未人的产业",1,5
deu,18,2,"利未人的产业",6,8
deu,18,3,"不可随从外族风俗",9,13
deu,18,4,"耶和华使一位先知兴起",14,22
deu,19,1,"设立避难城",1,2
deu,19,2,"设立避难城",4,7
deu,19,3,"设立避难城",8,10
deu,19,4,"设立避难城",11,13
deu,19,5,"设立避难城",14,14
deu,19,6,"设立避难城",15,21
deu,20,1,"交战的条例",1,9
deu,20,2,"攻城之略",10,18
deu,20,3,"攻城之略",19,20
deu,21,1,"杀人疑案的处理",1,9
deu,21,2,"娶女俘的条例",10,14
deu,21,3,"长子的权利",15,17
deu,21,4,"惩处逆子的条例",18,21
deu,21,5,"罪犯尸体的处理",22,23
deu,22,1,"其他条例",1,4
deu,22,2,"其他条例",5,5
deu,22,3,"其他条例",6,7
deu,22,4,"其他条例",8,8
deu,22,5,"其他条例",9,11
deu,22,6,"其他条例",12,12
deu,22,7,"有关女子贞操的条例",13,19
deu,22,8,"有关女子贞操的条例",20,21
deu,22,9,"有关女子贞操的条例",22,22
deu,22,10,"有关女子贞操的条例",23,24
deu,22,11,"有关女子贞操的条例",25,27
deu,22,12,"有关女子贞操的条例",28,29
deu,22,13,"有关女子贞操的条例",30,30
deu,23,1,"会众的资格",1,1
deu,23,2,"会众的资格",2,2
deu,23,3,"会众的资格",3,6
deu,23,4,"会众的资格",7,8
deu,23,5,"保持军营圣洁的条例",9,14
deu,23,6,"其他条例",15,16
deu,23,7,"其他条例",17,18
deu,23,8,"其他条例",19,20
deu,23,9,"其他条例",21,23
deu,23,10,"其他条例",24,25
deu,24,1,"关于婚姻的条例",1,4
deu,24,2,"体恤人情",5,5
deu,24,3,"体恤人情",6,6
deu,24,4,"体恤人情",7,7
deu,24,5,"体恤人情",8,9
deu,24,6,"体恤人情",10,13
deu,24,7,"体恤人情",14,15
deu,24,8,"体恤人情",16,16
deu,24,9,"体恤人情",17,18
deu,24,10,"体恤人情",19,22
deu,25,1,"(无小标题)",1,3
deu,25,2,"(无小标题)",4,4
deu,25,3,"为死亡的兄弟传宗接代",5,10
deu,25,4,"其他条例",11,12
deu,25,5,"其他条例",13,16
deu,25,6,"灭绝亚玛力人的命令",17,19
deu,26,1,"奉献初熟的物产",1,11
deu,26,2,"十一奉献年",12,15
deu,26,3,"十一奉献年",16,19
deu,27,1,"以巴路山上的律法",1,8
deu,27,2,"以巴路山上的律法",9,10
deu,27,3,"违命必受咒诅",11,14
deu,27,4,"违命必受咒诅",15,15
deu,27,5,"违命必受咒诅",15,15
deu,27,6,"违命必受咒诅",16,16
deu,27,7,"违命必受咒诅",16,16
deu,27,8,"违命必受咒诅",17,17
deu,27,9,"违命必受咒诅",17,17
deu,27,10,"违命必受咒诅",18,18
deu,27,11,"违命必受咒诅",18,18
deu,27,12,"违命必受咒诅",19,19
deu,27,13,"违命必受咒诅",19,19
deu,27,14,"违命必受咒诅",20,20
deu,27,15,"违命必受咒诅",20,20
deu,27,16,"违命必受咒诅",21,21
deu,27,17,"违命必受咒诅",21,21
deu,27,18,"违命必受咒诅",22,22
deu,27,19,"违命必受咒诅",22,22
deu,27,20,"违命必受咒诅",23,23
deu,27,21,"违命必受咒诅",23,23
deu,27,22,"违命必受咒诅",24,24
deu,27,23,"违命必受咒诅",24,24
deu,27,24,"违命必受咒诅",25,25
deu,27,25,"违命必受咒诅",25,25
deu,27,26,"违命必受咒诅",26,26
