book,chapter,paragraph,title,startVerseNo,endVerseNo
eph,1,1,"(无小标题)",1,1
eph,1,2,"(无小标题)",2,2
eph,1,3,"基督徒的属灵恩福",3,4
eph,1,4,"基督徒的属灵恩福",5,10
eph,1,5,"基督徒的属灵恩福",11,12
eph,1,6,"基督徒的属灵恩福",13,14
eph,1,7,"保罗的祷告",15,23
eph,2,1,"靠恩典、凭信心",1,3
eph,2,2,"靠恩典、凭信心",4,10
eph,2,3,"在基督里合而为一",11,18
eph,2,4,"在基督里合而为一",19,22
eph,3,1,"外族人的福音使者",1,6
eph,3,2,"外族人的福音使者",7,13
eph,3,3,"基督的爱",14,19
eph,3,4,"基督的爱",20,21
eph,4,1,"信徒同属一体",1,6
eph,4,2,"信徒同属一体",7,8
eph,4,3,"信徒同属一体",8,8
eph,4,4,"信徒同属一体",9,16
eph,4,5,"新人新生命",17,20
eph,4,6,"新人新生命",21,24
eph,4,7,"新人新生命",25,32
eph,5,1,"行事与圣徒的身份相称",1,2
eph,5,2,"行事与圣徒的身份相称",3,7
eph,5,3,"行事与圣徒的身份相称",8,14
eph,5,4,"行事与圣徒的身份相称",14,14
eph,5,5,"行事与圣徒的身份相称",15,20
eph,5,6,"夫妇之道",21,21
eph,5,7,"夫妇之道",22,24
eph,5,8,"夫妇之道",25,33
eph,6,1,"父慈子孝",1,4
eph,6,2,"主仆之间",5,9
eph,6,3,"上帝所赐的军装",10,20
eph,6,4,"问候",21,22
eph,6,5,"问候",23,24
eph,1,1,"(无小标题)",1,1
eph,1,2,"(无小标题)",2,2
eph,1,3,"基督徒的属灵恩福",3,4
eph,1,4,"基督徒的属灵恩福",5,10
eph,1,5,"基督徒的属灵恩福",11,12
eph,1,6,"基督徒的属灵恩福",13,14
eph,1,7,"保罗的祷告",15,23
eph,2,1,"靠恩典、凭信心",1,3
eph,2,2,"靠恩典、凭信心",4,10
eph,2,3,"在基督里合而为一",11,18
eph,2,4,"在基督里合而为一",19,22
eph,3,1,"外族人的福音使者",1,6
eph,3,2,"外族人的福音使者",7,13
eph,3,3,"基督的爱",14,19
eph,3,4,"基督的爱",20,21
eph,4,1,"信徒同属一体",1,6
eph,4,2,"信徒同属一体",7,8
eph,4,3,"信徒同属一体",8,8
eph,4,4,"信徒同属一体",9,16
eph,4,5,"新人新生命",17,20
eph,4,6,"新人新生命",21,24
eph,4,7,"新人新生命",25,32
eph,5,1,"行事与圣徒的身份相称",1,2
eph,5,2,"行事与圣徒的身份相称",3,7
eph,5,3,"行事与圣徒的身份相称",8,14
eph,5,4,"行事与圣徒的身份相称",14,14
eph,5,5,"行事与圣徒的身份相称",15,20
eph,5,6,"夫妇之道",21,21
eph,5,7,"夫妇之道",22,24
eph,5,8,"夫妇之道",25,33
eph,6,1,"父慈子孝",1,4
eph,6,2,"主仆之间",5,9
eph,6,3,"上帝所赐的军装",10,20
eph,6,4,"问候",21,22
eph,6,5,"问候",23,24
