book,chapter,paragraph,title,startVerseNo,endVerseNo
ezk,1,1,"以西结的异象",1,3
ezk,1,2,"以西结的异象",4,14
ezk,1,3,"以西结的异象",15,21
ezk,1,4,"以西结的异象",22,25
ezk,1,5,"以西结的异象",26,28
ezk,1,6,"以西结的异象",28,28
ezk,2,1,"以西结蒙召",1,7
ezk,2,2,"以西结蒙召",8,10
ezk,3,1,"(无小标题)",1,3
ezk,3,2,"(无小标题)",4,11
ezk,3,3,"(无小标题)",12,15
ezk,3,4,"告诫以色列人",16,21
ezk,3,5,"告诫以色列人",22,27
ezk,4,1,"耶路撒冷被困的预兆",1,3
ezk,4,2,"耶路撒冷被困的预兆",4,8
ezk,4,3,"耶路撒冷被困的预兆",9,13
ezk,4,4,"耶路撒冷被困的预兆",14,17
ezk,5,1,"(无小标题)",1,4
ezk,5,2,"(无小标题)",5,17
ezk,6,1,"责备以色列人拜偶像",1,7
ezk,6,2,"责备以色列人拜偶像",8,10
ezk,6,3,"责备以色列人拜偶像",11,14
ezk,7,1,"以色列的结局近了",1,4
ezk,7,2,"以色列的结局近了",5,9
ezk,7,3,"以色列的结局近了",10,13
ezk,7,4,"以色列的结局近了",14,22
ezk,7,5,"以色列的结局近了",23,27
ezk,8,1,"圣城中的可憎之事",1,4
ezk,8,2,"圣城中的可憎之事",5,6
ezk,8,3,"圣城中的可憎之事",7,13
ezk,8,4,"圣城中的可憎之事",14,15
ezk,8,5,"圣城中的可憎之事",16,18
ezk,9,1,"拜偶像者遭诛灭",1,2
ezk,9,2,"拜偶像者遭诛灭",3,8
ezk,9,3,"拜偶像者遭诛灭",9,10
ezk,9,4,"拜偶像者遭诛灭",11,11
ezk,10,1,"耶和华的荣耀离开圣殿",1,2
ezk,10,2,"耶和华的荣耀离开圣殿",3,5
ezk,10,3,"耶和华的荣耀离开圣殿",6,8
ezk,10,4,"耶和华的荣耀离开圣殿",9,14
ezk,10,5,"耶和华的荣耀离开圣殿",15,17
ezk,10,6,"耶和华的荣耀离开圣殿",18,22
ezk,11,1,"审判以色列的首领",1,4
ezk,11,2,"审判以色列的首领",5,12
ezk,11,3,"审判以色列的首领",13,13
ezk,11,4,"审判以色列的首领",14,16
ezk,11,5,"审判以色列的首领",17,21
ezk,11,6,"审判以色列的首领",22,25
ezk,12,1,"被掳的预兆",1,6
ezk,12,2,"被掳的预兆",7,7
ezk,12,3,"被掳的预兆",8,16
ezk,12,4,"被掳的预兆",17,20
ezk,12,5,"被掳的预兆",21,25
ezk,12,6,"被掳的预兆",26,28
ezk,13,1,"斥责假先知",1,7
ezk,13,2,"斥责假先知",8,16
ezk,13,3,"斥责假先知",17,19
ezk,13,4,"斥责假先知",20,23
ezk,14,1,"斥责拜偶像的以色列人",1,5
ezk,14,2,"斥责拜偶像的以色列人",6,11
ezk,14,3,"斥责拜偶像的以色列人",12,20
ezk,14,4,"斥责拜偶像的以色列人",21,23
ezk,15,1,"葡萄树的比喻",1,8
ezk,16,1,"耶路撒冷的不忠",1,5
ezk,16,2,"耶路撒冷的不忠",6,7
ezk,16,3,"耶路撒冷的不忠",8,14
ezk,16,4,"耶路撒冷的不忠",15,22
ezk,16,5,"耶路撒冷的不忠",23,29
ezk,16,6,"耶路撒冷的不忠",30,34
ezk,16,7,"主对耶路撒冷的审判和应许",35,43
ezk,16,8,"主对耶路撒冷的审判和应许",44,52
ezk,16,9,"主对耶路撒冷的审判和应许",53,58
ezk,16,10,"主对耶路撒冷的审判和应许",59,63
ezk,17,1,"鹰和葡萄树的比喻",1,6
ezk,17,2,"鹰和葡萄树的比喻",7,8
ezk,17,3,"鹰和葡萄树的比喻",9,10
ezk,17,4,"鹰和葡萄树的比喻",11,15
ezk,17,5,"鹰和葡萄树的比喻",16,21
ezk,17,6,"鹰和葡萄树的比喻",22,24
ezk,18,1,"犯罪者必灭亡",1,4
ezk,18,2,"犯罪者必灭亡",5,9
ezk,18,3,"犯罪者必灭亡",10,13
ezk,18,4,"犯罪者必灭亡",14,18
ezk,18,5,"犯罪者必灭亡",19,20
ezk,18,6,"犯罪者必灭亡",21,24
ezk,18,7,"犯罪者必灭亡",25,29
ezk,18,8,"犯罪者必灭亡",30,32
ezk,19,1,"以色列的哀歌",1,2
ezk,19,2,"以色列的哀歌",2,9
ezk,19,3,"以色列的哀歌",10,14
ezk,19,4,"以色列的哀歌",14,14
ezk,20,1,"以色列人的悖逆",1,7
ezk,20,2,"以色列人的悖逆",8,12
ezk,20,3,"以色列人的悖逆",13,17
ezk,20,4,"以色列人的悖逆",18,20
ezk,20,5,"以色列人的悖逆",21,26
ezk,20,6,"以色列人的悖逆",27,29
ezk,20,7,"以色列人的悖逆",30,31
ezk,20,8,"以色列人的悖逆",32,32
ezk,20,9,"以色列人的悖逆",33,38
ezk,20,10,"以色列人的悖逆",39,39
ezk,20,11,"以色列人的悖逆",40,44
ezk,20,12,"以色列人的悖逆",45,49
ezk,21,1,"耶和华审判的刀",1,7
ezk,21,2,"耶和华审判的刀",8,9
ezk,21,3,"耶和华审判的刀",9,10
ezk,21,4,"耶和华审判的刀",10,13
ezk,21,5,"耶和华审判的刀",14,17
ezk,21,6,"耶和华审判的刀",18,23
ezk,21,7,"耶和华审判的刀",24,27
ezk,21,8,"耶和华审判的刀",28,32
ezk,22,1,"耶路撒冷的罪恶",1,5
ezk,22,2,"耶路撒冷的罪恶",6,12
ezk,22,3,"耶路撒冷的罪恶",13,16
ezk,22,4,"耶路撒冷的罪恶",17,22
ezk,22,5,"耶路撒冷的罪恶",23,31
ezk,23,1,"两个淫妇的比喻",1,4
ezk,23,2,"两个淫妇的比喻",5,10
ezk,23,3,"两个淫妇的比喻",11,21
ezk,23,4,"两个淫妇的比喻",22,31
ezk,23,5,"两个淫妇的比喻",32,32
ezk,23,6,"两个淫妇的比喻",32,34
ezk,23,7,"两个淫妇的比喻",35,35
ezk,23,8,"两个淫妇的比喻",36,39
ezk,23,9,"两个淫妇的比喻",40,45
ezk,23,10,"两个淫妇的比喻",46,49
ezk,24,1,"锈锅的比喻",1,3
ezk,24,2,"锈锅的比喻",3,5
ezk,24,3,"锈锅的比喻",6,14
ezk,24,4,"锈锅的比喻",15,18
ezk,24,5,"锈锅的比喻",19,24
ezk,24,6,"锈锅的比喻",25,27
ezk,25,1,"预言审判外族人",1,5
ezk,25,2,"预言审判外族人",6,7
ezk,25,3,"斥责摩押",8,11
ezk,25,4,"斥责以东",12,14
ezk,25,5,"斥责非利士",15,17
ezk,26,1,"预言泰尔遭审判",1,6
ezk,26,2,"预言泰尔遭审判",7,14
ezk,26,3,"预言泰尔遭审判",15,17
ezk,26,4,"预言泰尔遭审判",17,18
ezk,26,5,"预言泰尔遭审判",19,21
ezk,27,1,"为泰尔唱哀歌",1,3
ezk,27,2,"为泰尔唱哀歌",3,9
ezk,27,3,"为泰尔唱哀歌",10,11
ezk,27,4,"为泰尔唱哀歌",12,24
ezk,27,5,"为泰尔唱哀歌",25,36
ezk,28,1,"预言审判泰尔王",1,2
ezk,28,2,"预言审判泰尔王",2,10
ezk,28,3,"泰尔王的终局",11,12
ezk,28,4,"泰尔王的终局",12,19
ezk,28,5,"预言审判西顿",20,22
ezk,28,6,"预言审判西顿",22,23
ezk,28,7,"预言审判西顿",24,24
ezk,28,8,"预言审判西顿",25,26
ezk,29,1,"预言审判埃及",1,3
ezk,29,2,"预言审判埃及",3,5
ezk,29,3,"预言审判埃及",6,7
ezk,29,4,"预言审判埃及",8,12
ezk,29,5,"预言审判埃及",13,16
ezk,29,6,"预言审判埃及",17,20
ezk,29,7,"预言审判埃及",21,21
ezk,30,1,"为埃及唱哀歌",1,2
ezk,30,2,"为埃及唱哀歌",2,5
ezk,30,3,"为埃及唱哀歌",6,8
ezk,30,4,"为埃及唱哀歌",9,9
ezk,30,5,"为埃及唱哀歌",10,10
ezk,30,6,"为埃及唱哀歌",10,12
ezk,30,7,"为埃及唱哀歌",13,19
ezk,30,8,"为埃及唱哀歌",20,26
ezk,31,1,"香柏树的比喻",1,2
ezk,31,2,"香柏树的比喻",2,9
ezk,31,3,"香柏树的比喻",10,14
ezk,31,4,"香柏树的比喻",15,17
ezk,31,5,"香柏树的比喻",18,18
ezk,31,6,"香柏树的比喻",18,18
ezk,32,1,"为法老唱哀歌",1,2
ezk,32,2,"为法老唱哀歌",2,8
ezk,32,3,"为法老唱哀歌",9,10
ezk,32,4,"为法老唱哀歌",11,12
ezk,32,5,"为法老唱哀歌",12,15
ezk,32,6,"为法老唱哀歌",16,16
ezk,32,7,"为法老唱哀歌",17,18
ezk,32,8,"为法老唱哀歌",19,19
ezk,32,9,"为法老唱哀歌",20,21
ezk,32,10,"为法老唱哀歌",22,25
ezk,32,11,"为法老唱哀歌",26,27
ezk,32,12,"为法老唱哀歌",28,28
ezk,32,13,"为法老唱哀歌",29,29
ezk,32,14,"为法老唱哀歌",30,30
ezk,32,15,"为法老唱哀歌",31,32
ezk,33,1,"耶和华立以西结为守望者",1,6
ezk,33,2,"耶和华立以西结为守望者",7,9
ezk,33,3,"耶和华立以西结为守望者",10,16
ezk,33,4,"耶和华立以西结为守望者",17,20
ezk,33,5,"耶和华立以西结为守望者",21,22
ezk,33,6,"耶和华立以西结为守望者",23,29
ezk,33,7,"耶和华立以西结为守望者",30,33
ezk,34,1,"以色列的牧人",1,6
ezk,34,2,"以色列的牧人",7,10
ezk,34,3,"以色列的牧人",11,16
ezk,34,4,"以色列的牧人",17,19
ezk,34,5,"以色列的牧人",20,24
ezk,34,6,"以色列的牧人",25,31
ezk,35,1,"预言以东受惩罚",1,9
ezk,35,2,"预言以东受惩罚",10,15
ezk,36,1,"预言赐福以色列",1,7
ezk,36,2,"预言赐福以色列",8,15
ezk,36,3,"预言赐福以色列",16,21
ezk,36,4,"预言赐福以色列",22,32
ezk,36,5,"预言赐福以色列",33,36
ezk,36,6,"预言赐福以色列",37,38
ezk,37,1,"枯骨复活",1,6
ezk,37,2,"枯骨复活",7,10
ezk,37,3,"枯骨复活",11,14
ezk,37,4,"枯骨复活",15,23
ezk,37,5,"枯骨复活",24,28
ezk,38,1,"对歌革的预言",1,6
ezk,38,2,"对歌革的预言",7,9
ezk,38,3,"对歌革的预言",10,13
ezk,38,4,"对歌革的预言",14,16
ezk,38,5,"对歌革的预言",17,23
ezk,39,1,"预言歌革被灭",1,6
ezk,39,2,"预言歌革被灭",7,8
ezk,39,3,"预言歌革被灭",9,10
ezk,39,4,"预言歌革被灭",11,16
ezk,39,5,"预言歌革被灭",17,20
ezk,39,6,"预言歌革被灭",21,24
ezk,39,7,"预言歌革被灭",25,29
ezk,40,1,"新圣殿的异象",1,4
ezk,40,2,"外院的门",5,5
ezk,40,3,"外院的门",6,16
ezk,40,4,"外院",17,19
ezk,40,5,"北门",20,23
ezk,40,6,"南门",24,27
ezk,40,7,"内院的门",28,31
ezk,40,8,"内院的门",32,34
ezk,40,9,"内院的门",35,37
ezk,40,10,"厢房",38,43
ezk,40,11,"厢房",44,47
ezk,40,12,"圣殿",48,49
ezk,41,1,"(无小标题)",1,4
ezk,41,2,"(无小标题)",5,11
ezk,41,3,"(无小标题)",12,12
ezk,41,4,"(无小标题)",13,14
ezk,41,5,"(无小标题)",15,15
ezk,41,6,"(无小标题)",16,20
ezk,41,7,"(无小标题)",21,22
ezk,41,8,"(无小标题)",23,26
ezk,42,1,"祭司用的厢房",1,9
ezk,42,2,"祭司用的厢房",10,12
ezk,42,3,"祭司用的厢房",13,14
ezk,42,4,"祭司用的厢房",15,20
ezk,43,1,"耶和华的荣光充满圣殿",1,5
ezk,43,2,"耶和华的荣光充满圣殿",6,9
ezk,43,3,"耶和华的荣光充满圣殿",10,12
ezk,43,4,"耶和华的荣光充满圣殿",13,17
ezk,43,5,"耶和华的荣光充满圣殿",18,27
ezk,44,1,"君王，利未人和祭司",1,3
ezk,44,2,"君王，利未人和祭司",4,8
ezk,44,3,"君王，利未人和祭司",9,9
ezk,44,4,"君王，利未人和祭司",10,14
ezk,44,5,"君王，利未人和祭司",15,27
ezk,44,6,"君王，利未人和祭司",28,31
ezk,45,1,"划分圣地",1,5
ezk,45,2,"划分圣地",6,6
ezk,45,3,"划分圣地",7,8
ezk,45,4,"划分圣地",9,12
ezk,45,5,"划分圣地",13,17
ezk,45,6,"划分圣地",18,20
ezk,45,7,"划分圣地",21,25
ezk,46,1,"君王与节期",1,8
ezk,46,2,"君王与节期",9,10
ezk,46,3,"君王与节期",11,12
ezk,46,4,"君王与节期",13,15
ezk,46,5,"君王与节期",16,18
ezk,46,6,"君王与节期",19,20
ezk,46,7,"君王与节期",21,24
ezk,47,1,"从圣殿流出的水",1,2
ezk,47,2,"从圣殿流出的水",3,6
ezk,47,3,"从圣殿流出的水",6,12
ezk,47,4,"地界",13,14
ezk,47,5,"地界",15,17
ezk,47,6,"地界",18,18
ezk,47,7,"地界",19,19
ezk,47,8,"地界",20,20
ezk,47,9,"地界",21,23
ezk,48,1,"分地",1,1
ezk,48,2,"分地",1,7
ezk,48,3,"分地",8,14
ezk,48,4,"分地",15,20
ezk,48,5,"分地",21,22
ezk,48,6,"分地",23,23
ezk,48,7,"分地",23,29
ezk,48,8,"分地",30,35
ezk,1,1,"以西结的异象",1,3
ezk,1,2,"以西结的异象",4,14
ezk,1,3,"以西结的异象",15,21
ezk,1,4,"以西结的异象",22,25
ezk,1,5,"以西结的异象",26,28
ezk,1,6,"以西结的异象",28,28
ezk,2,1,"以西结蒙召",1,7
ezk,2,2,"以西结蒙召",8,10
ezk,3,1,"(无小标题)",1,3
ezk,3,2,"(无小标题)",4,11
ezk,3,3,"(无小标题)",12,15
ezk,3,4,"告诫以色列人",16,21
ezk,3,5,"告诫以色列人",22,27
ezk,4,1,"耶路撒冷被困的预兆",1,3
ezk,4,2,"耶路撒冷被困的预兆",4,8
ezk,4,3,"耶路撒冷被困的预兆",9,13
ezk,4,4,"耶路撒冷被困的预兆",14,17
ezk,5,1,"(无小标题)",1,4
ezk,5,2,"(无小标题)",5,17
ezk,6,1,"责备以色列人拜偶像",1,7
ezk,6,2,"责备以色列人拜偶像",8,10
ezk,6,3,"责备以色列人拜偶像",11,14
ezk,7,1,"以色列的结局近了",1,4
ezk,7,2,"以色列的结局近了",5,9
ezk,7,3,"以色列的结局近了",10,13
ezk,7,4,"以色列的结局近了",14,22
ezk,7,5,"以色列的结局近了",23,27
ezk,8,1,"圣城中的可憎之事",1,4
ezk,8,2,"圣城中的可憎之事",5,6
ezk,8,3,"圣城中的可憎之事",7,13
ezk,8,4,"圣城中的可憎之事",14,15
ezk,8,5,"圣城中的可憎之事",16,18
ezk,9,1,"拜偶像者遭诛灭",1,2
ezk,9,2,"拜偶像者遭诛灭",3,8
ezk,9,3,"拜偶像者遭诛灭",9,10
ezk,9,4,"拜偶像者遭诛灭",11,11
ezk,10,1,"耶和华的荣耀离开圣殿",1,2
ezk,10,2,"耶和华的荣耀离开圣殿",3,5
ezk,10,3,"耶和华的荣耀离开圣殿",6,8
ezk,10,4,"耶和华的荣耀离开圣殿",9,14
ezk,10,5,"耶和华的荣耀离开圣殿",15,17
ezk,10,6,"耶和华的荣耀离开圣殿",18,22
ezk,11,1,"审判以色列的首领",1,4
ezk,11,2,"审判以色列的首领",5,12
ezk,11,3,"审判以色列的首领",13,13
ezk,11,4,"审判以色列的首领",14,16
ezk,11,5,"审判以色列的首领",17,21
ezk,11,6,"审判以色列的首领",22,25
ezk,12,1,"被掳的预兆",1,6
ezk,12,2,"被掳的预兆",7,7
ezk,12,3,"被掳的预兆",8,16
ezk,12,4,"被掳的预兆",17,20
ezk,12,5,"被掳的预兆",21,25
ezk,12,6,"被掳的预兆",26,28
ezk,13,1,"斥责假先知",1,7
ezk,13,2,"斥责假先知",8,16
ezk,13,3,"斥责假先知",17,19
ezk,13,4,"斥责假先知",20,23
ezk,14,1,"斥责拜偶像的以色列人",1,5
ezk,14,2,"斥责拜偶像的以色列人",6,11
ezk,14,3,"斥责拜偶像的以色列人",12,20
ezk,14,4,"斥责拜偶像的以色列人",21,23
ezk,15,1,"葡萄树的比喻",1,8
ezk,16,1,"耶路撒冷的不忠",1,5
ezk,16,2,"耶路撒冷的不忠",6,7
ezk,16,3,"耶路撒冷的不忠",8,14
ezk,16,4,"耶路撒冷的不忠",15,22
ezk,16,5,"耶路撒冷的不忠",23,29
ezk,16,6,"耶路撒冷的不忠",30,34
ezk,16,7,"主对耶路撒冷的审判和应许",35,43
ezk,16,8,"主对耶路撒冷的审判和应许",44,52
ezk,16,9,"主对耶路撒冷的审判和应许",53,58
ezk,16,10,"主对耶路撒冷的审判和应许",59,63
ezk,17,1,"鹰和葡萄树的比喻",1,6
ezk,17,2,"鹰和葡萄树的比喻",7,8
ezk,17,3,"鹰和葡萄树的比喻",9,10
ezk,17,4,"鹰和葡萄树的比喻",11,15
ezk,17,5,"鹰和葡萄树的比喻",16,21
ezk,17,6,"鹰和葡萄树的比喻",22,24
ezk,18,1,"犯罪者必灭亡",1,4
ezk,18,2,"犯罪者必灭亡",5,9
ezk,18,3,"犯罪者必灭亡",10,13
ezk,18,4,"犯罪者必灭亡",14,18
ezk,18,5,"犯罪者必灭亡",19,20
ezk,18,6,"犯罪者必灭亡",21,24
ezk,18,7,"犯罪者必灭亡",25,29
ezk,18,8,"犯罪者必灭亡",30,32
ezk,19,1,"以色列的哀歌",1,2
ezk,19,2,"以色列的哀歌",2,9
ezk,19,3,"以色列的哀歌",10,14
ezk,19,4,"以色列的哀歌",14,14
ezk,20,1,"以色列人的悖逆",1,7
ezk,20,2,"以色列人的悖逆",8,12
ezk,20,3,"以色列人的悖逆",13,17
ezk,20,4,"以色列人的悖逆",18,20
ezk,20,5,"以色列人的悖逆",21,26
ezk,20,6,"以色列人的悖逆",27,29
ezk,20,7,"以色列人的悖逆",30,31
ezk,20,8,"以色列人的悖逆",32,32
ezk,20,9,"以色列人的悖逆",33,38
ezk,20,10,"以色列人的悖逆",39,39
ezk,20,11,"以色列人的悖逆",40,44
ezk,20,12,"以色列人的悖逆",45,49
ezk,21,1,"耶和华审判的刀",1,7
ezk,21,2,"耶和华审判的刀",8,9
ezk,21,3,"耶和华审判的刀",9,10
ezk,21,4,"耶和华审判的刀",10,13
ezk,21,5,"耶和华审判的刀",14,17
ezk,21,6,"耶和华审判的刀",18,23
ezk,21,7,"耶和华审判的刀",24,27
ezk,21,8,"耶和华审判的刀",28,32
ezk,22,1,"耶路撒冷的罪恶",1,5
ezk,22,2,"耶路撒冷的罪恶",6,12
ezk,22,3,"耶路撒冷的罪恶",13,16
ezk,22,4,"耶路撒冷的罪恶",17,22
ezk,22,5,"耶路撒冷的罪恶",23,31
ezk,23,1,"两个淫妇的比喻",1,4
ezk,23,2,"两个淫妇的比喻",5,10
ezk,23,3,"两个淫妇的比喻",11,21
ezk,23,4,"两个淫妇的比喻",22,31
ezk,23,5,"两个淫妇的比喻",32,32
ezk,23,6,"两个淫妇的比喻",32,34
ezk,23,7,"两个淫妇的比喻",35,35
ezk,23,8,"两个淫妇的比喻",36,39
ezk,23,9,"两个淫妇的比喻",40,45
ezk,23,10,"两个淫妇的比喻",46,49
ezk,24,1,"锈锅的比喻",1,3
ezk,24,2,"锈锅的比喻",3,5
ezk,24,3,"锈锅的比喻",6,14
ezk,24,4,"锈锅的比喻",15,18
ezk,24,5,"锈锅的比喻",19,24
ezk,24,6,"锈锅的比喻",25,27
ezk,25,1,"预言审判外族人",1,5
ezk,25,2,"预言审判外族人",6,7
ezk,25,3,"斥责摩押",8,11
ezk,25,4,"斥责以东",12,14
ezk,25,5,"斥责非利士",15,17
ezk,26,1,"预言泰尔遭审判",1,6
ezk,26,2,"预言泰尔遭审判",7,14
ezk,26,3,"预言泰尔遭审判",15,17
ezk,26,4,"预言泰尔遭审判",17,18
ezk,26,5,"预言泰尔遭审判",19,21
ezk,27,1,"为泰尔唱哀歌",1,3
ezk,27,2,"为泰尔唱哀歌",3,9
ezk,27,3,"为泰尔唱哀歌",10,11
ezk,27,4,"为泰尔唱哀歌",12,24
ezk,27,5,"为泰尔唱哀歌",25,36
ezk,28,1,"预言审判泰尔王",1,2
ezk,28,2,"预言审判泰尔王",2,10
ezk,28,3,"泰尔王的终局",11,12
ezk,28,4,"泰尔王的终局",12,19
ezk,28,5,"预言审判西顿",20,22
ezk,28,6,"预言审判西顿",22,23
ezk,28,7,"预言审判西顿",24,24
ezk,28,8,"预言审判西顿",25,26
ezk,29,1,"预言审判埃及",1,3
ezk,29,2,"预言审判埃及",3,5
ezk,29,3,"预言审判埃及",6,7
ezk,29,4,"预言审判埃及",8,12
ezk,29,5,"预言审判埃及",13,16
ezk,29,6,"预言审判埃及",17,20
ezk,29,7,"预言审判埃及",21,21
ezk,30,1,"为埃及唱哀歌",1,2
ezk,30,2,"为埃及唱哀歌",2,5
ezk,30,3,"为埃及唱哀歌",6,8
ezk,30,4,"为埃及唱哀歌",9,9
ezk,30,5,"为埃及唱哀歌",10,10
ezk,30,6,"为埃及唱哀歌",10,12
ezk,30,7,"为埃及唱哀歌",13,19
ezk,30,8,"为埃及唱哀歌",20,26
ezk,31,1,"香柏树的比喻",1,2
ezk,31,2,"香柏树的比喻",2,9
ezk,31,3,"香柏树的比喻",10,14
ezk,31,4,"香柏树的比喻",15,17
ezk,31,5,"香柏树的比喻",18,18
ezk,31,6,"香柏树的比喻",18,18
ezk,32,1,"为法老唱哀歌",1,2
ezk,32,2,"为法老唱哀歌",2,8
ezk,32,3,"为法老唱哀歌",9,10
ezk,32,4,"为法老唱哀歌",11,12
ezk,32,5,"为法老唱哀歌",12,15
ezk,32,6,"为法老唱哀歌",16,16
ezk,32,7,"为法老唱哀歌",17,18
ezk,32,8,"为法老唱哀歌",19,19
ezk,32,9,"为法老唱哀歌",20,21
ezk,32,10,"为法老唱哀歌",22,25
ezk,32,11,"为法老唱哀歌",26,27
ezk,32,12,"为法老唱哀歌",28,28
ezk,32,13,"为法老唱哀歌",29,29
ezk,32,14,"为法老唱哀歌",30,30
ezk,32,15,"为法老唱哀歌",31,32
ezk,33,1,"耶和华立以西结为守望者",1,6
ezk,33,2,"耶和华立以西结为守望者",7,9
ezk,33,3,"耶和华立以西结为守望者",10,16
ezk,33,4,"耶和华立以西结为守望者",17,20
ezk,33,5,"耶和华立以西结为守望者",21,22
ezk,33,6,"耶和华立以西结为守望者",23,29
ezk,33,7,"耶和华立以西结为守望者",30,33
ezk,34,1,"以色列的牧人",1,6
