book,chapter,paragraph,title,startVerseNo,endVerseNo
gal,1,1,"(无小标题)",1,2
gal,1,2,"(无小标题)",3,4
gal,1,3,"(无小标题)",5,5
gal,1,4,"勿随别的福音",6,9
gal,1,5,"勿随别的福音",10,10
gal,1,6,"保罗受上帝委派传福音",11,14
gal,1,7,"保罗受上帝委派传福音",15,17
gal,1,8,"保罗受上帝委派传福音",18,20
gal,1,9,"保罗受上帝委派传福音",21,24
gal,2,1,"众使徒接纳保罗",1,3
gal,2,2,"众使徒接纳保罗",4,5
gal,2,3,"众使徒接纳保罗",6,10
gal,2,4,"保罗面责彼得",11,14
gal,2,5,"保罗面责彼得",15,17
gal,2,6,"保罗面责彼得",18,21
gal,3,1,"行律法与信基督",1,5
gal,3,2,"行律法与信基督",6,9
gal,3,3,"行律法与信基督",10,12
gal,3,4,"行律法与信基督",13,14
gal,3,5,"律法与应许",15,18
gal,3,6,"律法与应许",19,20
gal,3,7,"律法与应许",21,22
gal,3,8,"律法与应许",23,29
gal,4,1,"儿子与奴仆",1,5
gal,4,2,"儿子与奴仆",6,7
gal,4,3,"保罗对加拉太人的关怀",8,11
gal,4,4,"保罗对加拉太人的关怀",12,16
gal,4,5,"保罗对加拉太人的关怀",17,20
gal,4,6,"夏甲与撒拉的例子",21,27
gal,4,7,"夏甲与撒拉的例子",27,27
gal,4,8,"夏甲与撒拉的例子",28,31
gal,5,1,"基督徒的自由",1,1
gal,5,2,"基督徒的自由",2,6
gal,5,3,"基督徒的自由",7,10
gal,5,4,"基督徒的自由",11,12
gal,5,5,"基督徒的自由",13,15
gal,5,6,"顺从圣灵而行",16,21
gal,5,7,"顺从圣灵而行",22,26
gal,6,1,"互相扶持",1,5
gal,6,2,"互相扶持",6,6
gal,6,3,"互相扶持",7,10
gal,6,4,"最后的劝勉和祝福",11,15
gal,6,5,"最后的劝勉和祝福",16,17
gal,6,6,"最后的劝勉和祝福",18,18
gal,1,1,"(无小标题)",1,2
gal,1,2,"(无小标题)",3,4
gal,1,3,"(无小标题)",5,5
gal,1,4,"勿随别的福音",6,9
gal,1,5,"勿随别的福音",10,10
gal,1,6,"保罗受上帝委派传福音",11,14
gal,1,7,"保罗受上帝委派传福音",15,17
gal,1,8,"保罗受上帝委派传福音",18,20
gal,1,9,"保罗受上帝委派传福音",21,24
gal,2,1,"众使徒接纳保罗",1,3
gal,2,2,"众使徒接纳保罗",4,5
gal,2,3,"众使徒接纳保罗",6,10
gal,2,4,"保罗面责彼得",11,14
gal,2,5,"保罗面责彼得",15,17
gal,2,6,"保罗面责彼得",18,21
gal,3,1,"行律法与信基督",1,5
gal,3,2,"行律法与信基督",6,9
gal,3,3,"行律法与信基督",10,12
gal,3,4,"行律法与信基督",13,14
gal,3,5,"律法与应许",15,18
gal,3,6,"律法与应许",19,20
gal,3,7,"律法与应许",21,22
gal,3,8,"律法与应许",23,29
gal,4,1,"儿子与奴仆",1,5
gal,4,2,"儿子与奴仆",6,7
gal,4,3,"保罗对加拉太人的关怀",8,11
gal,4,4,"保罗对加拉太人的关怀",12,16
gal,4,5,"保罗对加拉太人的关怀",17,20
gal,4,6,"夏甲与撒拉的例子",21,27
gal,4,7,"夏甲与撒拉的例子",27,27
gal,4,8,"夏甲与撒拉的例子",28,31
gal,5,1,"基督徒的自由",1,1
gal,5,2,"基督徒的自由",2,6
gal,5,3,"基督徒的自由",7,10
gal,5,4,"基督徒的自由",11,12
gal,5,5,"基督徒的自由",13,15
gal,5,6,"顺从圣灵而行",16,21
gal,5,7,"顺从圣灵而行",22,26
gal,6,1,"互相扶持",1,5
gal,6,2,"互相扶持",6,6
gal,6,3,"互相扶持",7,10
gal,6,4,"最后的劝勉和祝福",11,15
gal,6,5,"最后的劝勉和祝福",16,17
gal,6,6,"最后的劝勉和祝福",18,18
