book,chapter,paragraph,title,startVerseNo,endVerseNo
gen,1,1,"上帝创造天地",1,8
gen,1,2,"上帝创造天地",9,13
gen,1,3,"上帝创造天地",14,19
gen,1,4,"上帝创造天地",20,25
gen,1,5,"上帝照自己的形象造人",26,31
gen,2,1,"(无小标题)",1,4
gen,2,2,"上帝造亚当和夏娃",4,9
gen,2,3,"上帝造亚当和夏娃",10,14
gen,2,4,"上帝造亚当和夏娃",15,17
gen,2,5,"上帝造亚当和夏娃",18,23
gen,2,6,"上帝造亚当和夏娃",23,23
gen,2,7,"上帝造亚当和夏娃",24,25
gen,3,1,"始祖犯罪",1,7
gen,3,2,"始祖犯罪",8,13
gen,3,3,"上帝的审判",14,14
gen,3,4,"上帝的审判",14,15
gen,3,5,"上帝的审判",16,16
gen,3,6,"上帝的审判",16,16
gen,3,7,"上帝的审判",17,17
gen,3,8,"上帝的审判",17,19
gen,3,9,"上帝的审判",20,24
gen,4,1,"该隐和亚伯",1,2
gen,4,2,"该隐和亚伯",3,7
gen,4,3,"该隐和亚伯",8,8
gen,4,4,"该隐和亚伯",9,16
gen,4,5,"该隐的后代",17,22
gen,4,6,"该隐的后代",23,23
gen,4,7,"该隐的后代",23,24
gen,4,8,"塞特和以挪士",25,26
gen,5,1,"亚当的后代",1,1
gen,5,2,"亚当的后代",1,5
gen,5,3,"亚当的后代",6,8
gen,5,4,"亚当的后代",9,11
gen,5,5,"亚当的后代",12,14
gen,5,6,"亚当的后代",15,17
gen,5,7,"亚当的后代",18,20
gen,5,8,"亚当的后代",21,24
gen,5,9,"亚当的后代",25,27
gen,5,10,"亚当的后代",28,31
gen,5,11,"亚当的后代",32,32
gen,6,1,"人类的邪恶",1,4
gen,6,2,"人类的邪恶",5,8
gen,6,3,"上帝命挪亚造方舟",9,9
gen,6,4,"上帝命挪亚造方舟",9,10
gen,6,5,"上帝命挪亚造方舟",11,21
gen,6,6,"上帝命挪亚造方舟",22,22
gen,7,1,"洪水泛滥",1,5
gen,7,2,"洪水泛滥",6,10
gen,7,3,"洪水泛滥",11,15
gen,7,4,"洪水泛滥",17,24
gen,8,1,"洪水消退",1,5
gen,8,2,"洪水消退",6,12
gen,8,3,"洪水消退",13,19
gen,8,4,"挪亚献祭",20,22
gen,9,1,"上帝与挪亚立约",1,7
gen,9,2,"上帝与挪亚立约",8,17
gen,9,3,"挪亚和他的儿子",18,19
gen,9,4,"挪亚和他的儿子",20,23
gen,9,5,"挪亚和他的儿子",24,25
gen,9,6,"挪亚和他的儿子",25,25
gen,9,7,"挪亚和他的儿子",26,26
gen,9,8,"挪亚和他的儿子",26,27
gen,9,9,"挪亚和他的儿子",28,29
gen,10,1,"挪亚三个儿子的后代",1,1
gen,10,2,"挪亚三个儿子的后代",2,5
