book,chapter,paragraph,title,startVerseNo,endVerseNo
jas,1,1,"(无小标题)",1,1
jas,1,2,"信心和忍耐",2,4
jas,1,3,"信心和忍耐",5,6
jas,1,4,"信心和忍耐",9,11
jas,1,5,"信心和忍耐",12,15
jas,1,6,"信心和忍耐",16,18
jas,1,7,"听道与行道",19,21
jas,1,8,"听道与行道",22,25
jas,1,9,"听道与行道",26,27
jas,2,1,"不可以貌取人",1,4
jas,2,2,"不可以貌取人",5,7
jas,2,3,"不可以貌取人",8,13
jas,2,4,"信心和行为",14,17
jas,2,5,"信心和行为",18,19
jas,2,6,"信心和行为",20,25
jas,2,7,"信心和行为",26,26
jas,3,1,"邪恶的舌头",1,4
jas,3,2,"邪恶的舌头",5,5
jas,3,3,"邪恶的舌头",5,12
jas,3,4,"天上的智慧",13,16
jas,3,5,"天上的智慧",17,18
jas,4,1,"不要与世俗为友",1,6
jas,4,2,"不要与世俗为友",7,10
jas,4,3,"不要论断",11,12
jas,4,4,"警戒自夸",13,17
jas,5,1,"警告为富不仁者",1,6
jas,5,2,"要忍耐到底",7,11
jas,5,3,"要忍耐到底",12,12
jas,5,4,"祷告的力量",13,18
jas,5,5,"祷告的力量",19,20
jas,1,1,"(无小标题)",1,1
jas,1,2,"信心和忍耐",2,4
jas,1,3,"信心和忍耐",5,6
jas,1,4,"信心和忍耐",9,11
jas,1,5,"信心和忍耐",12,15
jas,1,6,"信心和忍耐",16,18
jas,1,7,"听道与行道",19,21
jas,1,8,"听道与行道",22,25
jas,1,9,"听道与行道",26,27
jas,2,1,"不可以貌取人",1,4
jas,2,2,"不可以貌取人",5,7
jas,2,3,"不可以貌取人",8,13
jas,2,4,"信心和行为",14,17
jas,2,5,"信心和行为",18,19
jas,2,6,"信心和行为",20,25
jas,2,7,"信心和行为",26,26
jas,3,1,"邪恶的舌头",1,4
jas,3,2,"邪恶的舌头",5,5
jas,3,3,"邪恶的舌头",5,12
jas,3,4,"天上的智慧",13,16
jas,3,5,"天上的智慧",17,18
jas,4,1,"不要与世俗为友",1,6
jas,4,2,"不要与世俗为友",7,10
jas,4,3,"不要论断",11,12
jas,4,4,"警戒自夸",13,17
jas,5,1,"警告为富不仁者",1,6
jas,5,2,"要忍耐到底",7,11
jas,5,3,"要忍耐到底",12,12
jas,5,4,"祷告的力量",13,18
jas,5,5,"祷告的力量",19,20
