book,chapter,paragraph,title,startVerseNo,endVerseNo
joel,1,1,"(无小标题)",1,1
joel,1,2,"严重的蝗灾",2,3
joel,1,3,"严重的蝗灾",4,4
joel,1,4,"严重的蝗灾",5,7
joel,1,5,"严重的蝗灾",8,10
joel,1,6,"严重的蝗灾",11,12
joel,1,7,"严重的蝗灾",13,13
joel,1,8,"严重的蝗灾",14,14
joel,1,9,"严重的蝗灾",15,16
joel,1,10,"严重的蝗灾",17,17
joel,1,11,"严重的蝗灾",18,18
joel,1,12,"严重的蝗灾",19,20
joel,2,1,"耶和华审判的日子",1,1
joel,2,2,"耶和华审判的日子",1,2
joel,2,3,"耶和华审判的日子",3,3
joel,2,4,"耶和华审判的日子",4,9
joel,2,5,"耶和华审判的日子",10,11
joel,2,6,"呼吁人民悔改",12,14
joel,2,7,"呼吁人民悔改",15,16
joel,2,8,"呼吁人民悔改",17,17
joel,2,9,"再赐祝福",18,20
joel,2,10,"再赐祝福",21,22
joel,2,11,"再赐祝福",23,24
joel,2,12,"再赐祝福",25,27
joel,2,13,"再赐祝福",28,29
joel,2,14,"再赐祝福",30,32
joel,3,1,"上帝要审判万国",1,3
joel,3,2,"上帝要审判万国",4,8
joel,3,3,"上帝要审判万国",9,11
joel,3,4,"上帝要审判万国",11,11
joel,3,5,"上帝要审判万国",12,13
joel,3,6,"上帝要审判万国",14,16
joel,3,7,"上帝要审判万国",17,17
joel,3,8,"上帝要审判万国",18,21
