book,chapter,paragraph,title,startVerseNo,endVerseNo
john,1,1,"生命之道",1,5
john,1,2,"生命之道",6,13
john,1,3,"生命之道",14,14
john,1,4,"生命之道",15,18
john,1,5,"施洗者约翰的见证",19,20
john,1,6,"施洗者约翰的见证",21,21
john,1,7,"施洗者约翰的见证",21,21
john,1,8,"施洗者约翰的见证",21,21
john,1,9,"施洗者约翰的见证",21,21
john,1,10,"施洗者约翰的见证",22,22
john,1,11,"施洗者约翰的见证",23,23
john,1,12,"施洗者约翰的见证",24,25
john,1,13,"施洗者约翰的见证",26,28
john,1,14,"上帝的羔羊",29,31
john,1,15,"上帝的羔羊",32,34
john,1,16,"第一批门徒",35,38
john,1,17,"第一批门徒",38,38
john,1,18,"第一批门徒",39,42
john,1,19,"第一批门徒",42,42
john,1,20,"第一批门徒",43,45
john,1,21,"第一批门徒",46,46
john,1,22,"第一批门徒",46,46
john,1,23,"第一批门徒",47,47
john,1,24,"第一批门徒",48,48
john,1,25,"第一批门徒",48,48
john,1,26,"第一批门徒",49,49
john,1,27,"第一批门徒",50,51
john,2,1,"变水为酒",1,6
john,2,2,"变水为酒",7,11
john,2,3,"变水为酒",12,12
john,2,4,"洁净圣殿",13,17
john,2,5,"洁净圣殿",18,18
john,2,6,"洁净圣殿",19,19
john,2,7,"洁净圣殿",20,22
john,2,8,"洁净圣殿",23,25
john,3,1,"论重生",1,2
john,3,2,"论重生",3,3
john,3,3,"论重生",4,4
john,3,4,"论重生",5,8
john,3,5,"论重生",9,9
john,3,6,"论重生",10,15
john,3,7,"论重生",16,21
john,3,8,"施洗者约翰论耶稣",22,26
john,3,9,"施洗者约翰论耶稣",27,30
john,3,10,"施洗者约翰论耶稣",31,36
john,4,1,"井边谈道",1,7
john,4,2,"井边谈道",9,9
john,4,3,"井边谈道",10,10
john,4,4,"井边谈道",11,12
john,4,5,"井边谈道",13,14
john,4,6,"井边谈道",15,15
john,4,7,"井边谈道",16,16
john,4,8,"井边谈道",17,18
john,4,9,"井边谈道",19,20
john,4,10,"井边谈道",21,24
john,4,11,"井边谈道",25,25
john,4,12,"井边谈道",26,26
john,4,13,"井边谈道",27,27
john,4,14,"井边谈道",28,30
john,4,15,"撒种与收割",31,31
john,4,16,"撒种与收割",32,32
john,4,17,"撒种与收割",33,33
john,4,18,"撒种与收割",34,38
john,4,19,"撒种与收割",39,42
john,4,20,"耶稣治好大臣的儿子",43,45
john,4,21,"耶稣治好大臣的儿子",46,47
john,4,22,"耶稣治好大臣的儿子",48,48
john,4,23,"耶稣治好大臣的儿子",49,49
john,4,24,"耶稣治好大臣的儿子",50,50
john,4,25,"耶稣治好大臣的儿子",51,52
john,4,26,"耶稣治好大臣的儿子",53,53
john,4,27,"耶稣治好大臣的儿子",54,54
john,5,1,"耶稣在毕士大池边治病",1,4
john,5,2,"耶稣在毕士大池边治病",5,6
john,5,3,"耶稣在毕士大池边治病",7,7
john,5,4,"耶稣在毕士大池边治病",8,8
john,5,5,"耶稣在毕士大池边治病",9,10
john,5,6,"耶稣在毕士大池边治病",11,11
john,5,7,"耶稣在毕士大池边治病",12,12
john,5,8,"耶稣在毕士大池边治病",13,13
john,5,9,"耶稣在毕士大池边治病",14,14
john,5,10,"耶稣在毕士大池边治病",15,17
john,5,11,"耶稣在毕士大池边治病",18,18
john,5,12,"圣子的权柄",19,23
john,5,13,"圣子的权柄",24,29
