book,chapter,paragraph,title,startVerseNo,endVerseNo
luk,1,1,"(无小标题)",1,4
luk,1,2,"天使预告施洗者约翰出生",5,7
luk,1,3,"天使预告施洗者约翰出生",8,12
luk,1,4,"天使预告施洗者约翰出生",13,17
luk,1,5,"天使预告施洗者约翰出生",18,20
luk,1,6,"天使预告施洗者约翰出生",21,25
luk,1,7,"天使预告耶稣降生",26,27
luk,1,8,"天使预告耶稣降生",28,28
luk,1,9,"天使预告耶稣降生",29,29
luk,1,10,"天使预告耶稣降生",30,33
luk,1,11,"天使预告耶稣降生",34,34
luk,1,12,"天使预告耶稣降生",35,37
luk,1,13,"天使预告耶稣降生",38,38
luk,1,14,"玛丽亚看望伊丽莎白",39,45
luk,1,15,"玛丽亚看望伊丽莎白",46,55
luk,1,16,"玛丽亚看望伊丽莎白",56,56
luk,1,17,"施洗者约翰出生",57,59
luk,1,18,"施洗者约翰出生",60,60
luk,1,19,"施洗者约翰出生",61,66
luk,1,20,"撒迦利亚的预言",67,67
luk,1,21,"撒迦利亚的预言",68,79
luk,1,22,"撒迦利亚的预言",80,80
luk,2,1,"耶稣降生伯利恒",1,7
luk,2,2,"牧羊人和天使",8,12
luk,2,3,"牧羊人和天使",13,13
luk,2,4,"牧羊人和天使",14,14
luk,2,5,"牧羊人和天使",15,18
luk,2,6,"牧羊人和天使",19,20
luk,2,7,"奉献圣婴",21,21
luk,2,8,"奉献圣婴",22,26
luk,2,9,"奉献圣婴",27,28
luk,2,10,"奉献圣婴",29,32
luk,2,11,"奉献圣婴",33,35
luk,2,12,"奉献圣婴",36,38
luk,2,13,"奉献圣婴",39,40
luk,2,14,"少年耶稣圣殿论道",41,48
luk,2,15,"少年耶稣圣殿论道",48,48
luk,2,16,"少年耶稣圣殿论道",49,50
luk,2,17,"少年耶稣圣殿论道",51,52
luk,3,1,"施洗者约翰的传道",1,4
luk,3,2,"施洗者约翰的传道",4,6
luk,3,3,"施洗者约翰的传道",7,9
luk,3,4,"施洗者约翰的传道",10,10
luk,3,5,"施洗者约翰的传道",11,11
luk,3,6,"施洗者约翰的传道",12,12
luk,3,7,"施洗者约翰的传道",13,13
luk,3,8,"施洗者约翰的传道",14,14
luk,3,9,"施洗者约翰的传道",15,18
luk,3,10,"施洗者约翰的传道",19,20
luk,3,11,"耶稣受洗",21,22
luk,3,12,"耶稣的家谱",23,23
luk,4,1,"耶稣受试探",1,3
luk,4,2,"耶稣受试探",4,4
luk,4,3,"耶稣受试探",5,7
luk,4,4,"耶稣受试探",8,8
luk,4,5,"耶稣受试探",9,11
luk,4,6,"耶稣受试探",12,12
luk,4,7,"耶稣受试探",13,13
luk,4,8,"拿撒勒人厌弃耶稣",14,15
luk,4,9,"拿撒勒人厌弃耶稣",16,17
luk,4,10,"拿撒勒人厌弃耶稣",18,19
luk,4,11,"拿撒勒人厌弃耶稣",20,20
luk,4,12,"拿撒勒人厌弃耶稣",21,21
luk,4,13,"拿撒勒人厌弃耶稣",22,22
luk,4,14,"拿撒勒人厌弃耶稣",23,27
luk,4,15,"拿撒勒人厌弃耶稣",28,30
luk,4,16,"加利利赶鬼医病",31,32
luk,4,17,"加利利赶鬼医病",33,34
luk,4,18,"加利利赶鬼医病",35,35
luk,4,19,"加利利赶鬼医病",36,36
luk,4,20,"加利利赶鬼医病",37,37
luk,4,21,"耶稣医治许多人",38,38
luk,4,22,"耶稣医治许多人",39,39
luk,4,23,"耶稣医治许多人",40,41
luk,4,24,"耶稣医治许多人",42,44
luk,5,1,"呼召门徒",1,4
luk,5,2,"呼召门徒",5,7
luk,5,3,"呼召门徒",8,11
luk,5,4,"洁净麻风病人",12,12
luk,5,5,"洁净麻风病人",13,13
luk,5,6,"洁净麻风病人",14,14
luk,5,7,"洁净麻风病人",15,16
luk,5,8,"叫瘫子行走",17,17
luk,5,9,"叫瘫子行走",18,20
luk,5,10,"叫瘫子行走",21,21
luk,5,11,"叫瘫子行走",22,24
luk,5,12,"叫瘫子行走",25,26
luk,5,13,"呼召利未",27,28
luk,5,14,"呼召利未",29,30
luk,5,15,"呼召利未",31,32
luk,5,16,"论禁食",33,33
luk,5,17,"论禁食",34,39
luk,6,1,"安息日的主",1,2
luk,6,2,"安息日的主",3,5
luk,6,3,"安息日的主",6,8
luk,6,4,"安息日的主",9,10
luk,6,5,"安息日的主",11,11
luk,6,6,"拣选十二使徒",12,16
luk,6,7,"拣选十二使徒",17,19
luk,6,8,"论四福",20,20
luk,6,9,"论四福",20,21
luk,6,10,"论四福",22,23
luk,6,11,"论四祸",24,26
luk,6,12,"论爱仇敌",27,34
luk,6,13,"论爱仇敌",35,36
luk,6,14,"责人先责己",37,38
luk,6,15,"责人先责己",39,42
luk,6,16,"树和果子",43,45
luk,6,17,"两种盖房子的人",46,49
luk,7,1,"百夫长的信心",1,6
luk,7,2,"百夫长的信心",6,8
luk,7,3,"百夫长的信心",9,9
luk,7,4,"百夫长的信心",10,10
luk,7,5,"寡妇的独子起死回生",11,15
luk,7,6,"寡妇的独子起死回生",16,17
luk,7,7,"施洗者约翰的疑问",18,19
luk,7,8,"施洗者约翰的疑问",20,20
luk,7,9,"施洗者约翰的疑问",21,23
luk,7,10,"耶稣称赞施洗者约翰",24,28
luk,7,11,"耶稣称赞施洗者约翰",29,30
luk,7,12,"耶稣称赞施洗者约翰",31,32
luk,7,13,"耶稣称赞施洗者约翰",32,32
luk,7,14,"耶稣称赞施洗者约翰",33,35
luk,7,15,"罪妇的悔改",36,38
luk,7,16,"罪妇的悔改",39,39
luk,7,17,"罪妇的悔改",40,40
luk,7,18,"罪妇的悔改",40,40
luk,7,19,"罪妇的悔改",41,42
luk,7,20,"罪妇的悔改",43,43
luk,7,21,"罪妇的悔改",44,47
luk,7,22,"罪妇的悔改",48,48
luk,7,23,"罪妇的悔改",49,49
luk,7,24,"罪妇的悔改",50,50
luk,8,1,"撒种的比喻",1,3
luk,8,2,"撒种的比喻",4,8
luk,8,3,"撒种的比喻",9,15
luk,8,4,"点灯的比喻",16,18
luk,8,5,"耶稣的亲属",19,21
luk,8,6,"平静风浪",22,24
luk,8,7,"平静风浪",24,24
luk,8,8,"平静风浪",25,25
luk,8,9,"平静风浪",25,25
luk,8,10,"格拉森赶鬼",26,29
luk,8,11,"格拉森赶鬼",30,30
luk,8,12,"格拉森赶鬼",30,31
luk,8,13,"格拉森赶鬼",32,37
luk,8,14,"格拉森赶鬼",38,39
luk,8,15,"雅鲁求救",40,41
luk,8,16,"雅鲁求救",42,42
luk,8,17,"患血漏病妇人的信心",43,44
luk,8,18,"患血漏病妇人的信心",45,45
luk,8,19,"患血漏病妇人的信心",45,45
luk,8,20,"患血漏病妇人的信心",46,46
luk,8,21,"患血漏病妇人的信心",47,47
luk,8,22,"患血漏病妇人的信心",48,48
luk,8,23,"雅鲁女儿死而复活",49,49
luk,8,24,"雅鲁女儿死而复活",50,50
luk,8,25,"雅鲁女儿死而复活",51,56
luk,9,1,"差遣十二使徒",1,5
luk,9,2,"差遣十二使徒",6,6
luk,9,3,"希律的困惑",7,9
luk,9,4,"五饼二鱼的神迹",10,12
luk,9,5,"五饼二鱼的神迹",13,13
luk,9,6,"五饼二鱼的神迹",13,14
luk,9,7,"五饼二鱼的神迹",14,17
luk,9,8,"彼得宣告耶稣是基督",18,18
luk,9,9,"彼得宣告耶稣是基督",18,18
luk,9,10,"彼得宣告耶稣是基督",19,19
luk,9,11,"彼得宣告耶稣是基督",20,20
luk,9,12,"彼得宣告耶稣是基督",20,20
luk,9,13,"彼得宣告耶稣是基督",21,22
luk,9,14,"跟从主的代价",23,27
luk,9,15,"登山变象",28,36
luk,9,16,"山下赶鬼",37,40
luk,9,17,"山下赶鬼",41,41
luk,9,18,"山下赶鬼",42,43
luk,9,19,"再次预言受难",43,45
luk,9,20,"论地位",46,48
luk,9,21,"论地位",49,50
luk,9,22,"不肯接待耶稣的村庄",51,56
luk,9,23,"跟从主的代价",57,57
luk,9,24,"跟从主的代价",58,58
luk,9,25,"跟从主的代价",59,59
luk,9,26,"跟从主的代价",60,60
luk,9,27,"跟从主的代价",61,61
luk,9,28,"跟从主的代价",62,62
luk,10,1,"差遣门徒",1,2
luk,10,2,"差遣门徒",3,7
luk,10,3,"差遣门徒",8,12
luk,10,4,"差遣门徒",13,14
luk,10,5,"差遣门徒",15,15
luk,10,6,"差遣门徒",16,16
luk,10,7,"差遣门徒",17,17
luk,10,8,"差遣门徒",18,20
luk,10,9,"差遣门徒",21,22
luk,10,10,"差遣门徒",23,24
luk,10,11,"好撒玛利亚人的比喻",25,25
luk,10,12,"好撒玛利亚人的比喻",26,26
luk,10,13,"好撒玛利亚人的比喻",27,28
luk,10,14,"好撒玛利亚人的比喻",29,29
luk,10,15,"好撒玛利亚人的比喻",30,30
luk,10,16,"好撒玛利亚人的比喻",31,32
luk,10,17,"好撒玛利亚人的比喻",33,36
luk,10,18,"好撒玛利亚人的比喻",37,37
luk,10,19,"好撒玛利亚人的比喻",37,37
luk,10,20,"上好的福分",38,40
luk,10,21,"上好的福分",40,40
luk,10,22,"上好的福分",41,42
luk,11,1,"教导门徒祷告",1,1
luk,11,2,"教导门徒祷告",2,2
luk,11,3,"教导门徒祷告",2,4
luk,11,4,"教导门徒祷告",5,7
luk,11,5,"教导门徒祷告",8,8
luk,11,6,"教导门徒祷告",9,10
luk,11,7,"教导门徒祷告",11,13
luk,11,8,"耶稣和别西卜",14,16
luk,11,9,"耶稣和别西卜",17,20
luk,11,10,"耶稣和别西卜",21,23
luk,11,11,"耶稣和别西卜",24,26
luk,11,12,"谁更有福",27,27
luk,11,13,"谁更有福",28,28
luk,11,14,"可悲的邪恶世代",29,30
luk,11,15,"可悲的邪恶世代",31,31
luk,11,16,"可悲的邪恶世代",32,32
luk,11,17,"灯的比喻",33,36
luk,11,18,"谴责法利赛人",37,41
luk,11,19,"谴责法利赛人",42,42
luk,11,20,"谴责法利赛人",43,44
luk,11,21,"谴责律法教师",45,45
luk,11,22,"谴责律法教师",46,46
luk,11,23,"谴责律法教师",47,50
luk,11,24,"谴责律法教师",52,52
luk,11,25,"谴责律法教师",53,54
luk,12,1,"警戒门徒",1,3
luk,12,2,"警戒门徒",4,5
luk,12,3,"警戒门徒",6,7
luk,12,4,"警戒门徒",8,12
luk,12,5,"无知富翁的比喻",13,13
luk,12,6,"无知富翁的比喻",14,15
luk,12,7,"无知富翁的比喻",16,20
luk,12,8,"无知富翁的比喻",21,21
luk,12,9,"不要为衣食忧虑",22,24
luk,12,10,"不要为衣食忧虑",25,27
luk,12,11,"不要为衣食忧虑",28,31
luk,12,12,"不要为衣食忧虑",32,34
luk,12,13,"警醒预备",35,38
luk,12,14,"警醒预备",39,40
luk,12,15,"忠仆和恶仆",41,41
luk,12,16,"忠仆和恶仆",42,48
luk,12,17,"家庭分裂",49,53
luk,12,18,"明辨是非",54,59
luk,13,1,"不悔改的下场",1,1
luk,13,2,"不悔改的下场",2,5
luk,13,3,"不悔改的下场",6,7
luk,13,4,"不悔改的下场",8,9
luk,13,5,"治好驼背妇人",10,13
luk,13,6,"治好驼背妇人",14,14
luk,13,7,"治好驼背妇人",15,17
luk,13,8,"上帝国的比喻",18,19
luk,13,9,"上帝国的比喻",20,21
luk,13,10,"努力进窄门",22,23
luk,13,11,"努力进窄门",24,25
luk,13,12,"努力进窄门",26,26
luk,13,13,"努力进窄门",27,27
luk,13,14,"努力进窄门",28,30
luk,13,15,"为耶路撒冷哀伤",31,31
luk,13,16,"为耶路撒冷哀伤",32,33
luk,13,17,"为耶路撒冷哀伤",34,35
luk,14,1,"论安息日治病",1,3
luk,14,2,"论安息日治病",4,6
luk,14,3,"论谦卑",7,11
luk,14,4,"论待客之道",12,14
luk,14,5,"大宴席的比喻",15,15
luk,14,6,"大宴席的比喻",16,24
luk,14,7,"做门徒的代价",25,27
luk,14,8,"做门徒的代价",28,30
luk,14,9,"做门徒的代价",31,32
luk,14,10,"做门徒的代价",33,35
luk,15,1,"迷失的羊",1,2
luk,15,2,"迷失的羊",3,7
luk,15,3,"丢钱的比喻",8,10
luk,15,4,"浪子回头",11,12
luk,15,5,"浪子回头",13,20
luk,15,6,"浪子回头",20,21
luk,15,7,"浪子回头",22,24
luk,15,8,"浪子回头",25,26
luk,15,9,"浪子回头",27,28
luk,15,10,"浪子回头",29,30
luk,15,11,"浪子回头",31,32
luk,16,1,"善用钱财",1,2
luk,16,2,"善用钱财",3,5
luk,16,3,"善用钱财",6,6
luk,16,4,"善用钱财",6,6
luk,16,5,"善用钱财",7,7
luk,16,6,"善用钱财",7,7
luk,16,7,"善用钱财",7,7
luk,16,8,"善用钱财",8,8
luk,16,9,"善用钱财",9,9
luk,16,10,"见微知著",10,13
luk,16,11,"警戒贪财的法利赛人",14,18
luk,16,12,"财主和乞丐",19,21
luk,16,13,"财主和乞丐",22,24
luk,16,14,"财主和乞丐",25,26
luk,16,15,"财主和乞丐",27,28
luk,16,16,"财主和乞丐",29,29
luk,16,17,"财主和乞丐",30,30
luk,16,18,"财主和乞丐",31,31
luk,17,1,"论罪、信心和本分",1,4
luk,17,2,"论罪、信心和本分",5,5
luk,17,3,"论罪、信心和本分",6,6
luk,17,4,"论罪、信心和本分",7,10
luk,17,5,"十个麻风病人",11,13
luk,17,6,"十个麻风病人",14,14
luk,17,7,"十个麻风病人",14,16
luk,17,8,"十个麻风病人",17,19
luk,17,9,"上帝国的降临",20,20
luk,17,10,"上帝国的降临",20,21
luk,17,11,"上帝国的降临",22,25
luk,17,12,"上帝国的降临",26,29
luk,17,13,"上帝国的降临",30,36
luk,17,14,"上帝国的降临",37,37
luk,17,15,"上帝国的降临",37,37
luk,18,1,"恒心祷告",1,1
luk,18,2,"恒心祷告",2,5
luk,18,3,"恒心祷告",6,8
luk,18,4,"两种祷告",9,12
luk,18,5,"两种祷告",13,13
luk,18,6,"两种祷告",14,14
luk,18,7,"祝福孩子",15,17
luk,18,8,"富豪求问永生",18,18
luk,18,9,"富豪求问永生",19,20
luk,18,10,"富豪求问永生",21,21
luk,18,11,"富豪求问永生",22,23
luk,18,12,"富豪求问永生",24,25
luk,18,13,"富豪求问永生",26,26
luk,18,14,"富豪求问永生",27,27
luk,18,15,"富豪求问永生",28,28
luk,18,16,"富豪求问永生",29,30
luk,18,17,"再次预言受害和复活",31,34
luk,18,18,"治愈耶利哥的瞎子",35,38
luk,18,19,"治愈耶利哥的瞎子",39,39
luk,18,20,"治愈耶利哥的瞎子",40,41
luk,18,21,"治愈耶利哥的瞎子",41,41
luk,18,22,"治愈耶利哥的瞎子",42,43
luk,19,1,"撒该悔改",1,4
