book,chapter,paragraph,title,startVerseNo,endVerseNo
mal,1,1,"(无小标题)",1,1
mal,1,2,"耶和华爱以色列",2,5
mal,1,3,"斥责祭司",6,8
mal,1,4,"斥责祭司",9,14
mal,2,1,"(无小标题)",1,9
mal,2,2,"(无小标题)",10,12
mal,2,3,"(无小标题)",13,17
mal,3,1,"(无小标题)",1,4
mal,3,2,"(无小标题)",5,5
mal,3,3,"十分之一奉献",6,8
mal,3,4,"十分之一奉献",8,12
mal,3,5,"十分之一奉献",13,15
mal,3,6,"十分之一奉献",16,18
mal,4,1,"耶和华的日子",1,3
mal,4,2,"耶和华的日子",4,4
mal,4,3,"耶和华的日子",5,6
mal,1,1,"(无小标题)",1,1
mal,1,2,"耶和华爱以色列",2,5
mal,1,3,"斥责祭司",6,8
mal,1,4,"斥责祭司",9,14
mal,2,1,"(无小标题)",1,9
mal,2,2,"(无小标题)",10,12
mal,2,3,"(无小标题)",13,17
mal,3,1,"(无小标题)",1,4
mal,3,2,"(无小标题)",5,5
mal,3,3,"十分之一奉献",6,8
mal,3,4,"十分之一奉献",8,12
mal,3,5,"十分之一奉献",13,15
mal,3,6,"十分之一奉献",16,18
mal,4,1,"耶和华的日子",1,3
mal,4,2,"耶和华的日子",4,4
mal,4,3,"耶和华的日子",5,6
