book,chapter,paragraph,title,startVerseNo,endVerseNo
mat,1,1,"耶稣基督的家谱",1,1
mat,1,2,"耶稣基督的家谱",17,17
mat,1,3,"耶稣的降生",18,18
mat,1,4,"耶稣的降生",18,21
mat,1,5,"耶稣的降生",22,25
mat,2,1,"智者来朝拜",1,1
mat,2,2,"智者来朝拜",1,2
mat,2,3,"智者来朝拜",3,4
mat,2,4,"智者来朝拜",5,5
mat,2,5,"智者来朝拜",6,6
mat,2,6,"智者来朝拜",7,8
mat,2,7,"智者来朝拜",9,10
mat,2,8,"智者来朝拜",11,12
mat,2,9,"逃往埃及",13,15
mat,2,10,"逃往埃及",16,17
mat,2,11,"逃往埃及",18,18
mat,2,12,"定居拿撒勒",19,21
mat,2,13,"定居拿撒勒",22,23
mat,3,1,"开路先锋",1,3
mat,3,2,"开路先锋",4,6
mat,3,3,"开路先锋",7,12
mat,3,4,"耶稣受洗",13,14
mat,3,5,"耶稣受洗",15,15
mat,3,6,"耶稣受洗",16,17
mat,4,1,"耶稣受试探",1,3
mat,4,2,"耶稣受试探",4,4
mat,4,3,"耶稣受试探",5,6
mat,4,4,"耶稣受试探",7,7
mat,4,5,"耶稣受试探",8,9
mat,4,6,"耶稣受试探",10,10
mat,4,7,"耶稣受试探",11,11
mat,4,8,"开始传道",12,14
mat,4,9,"开始传道",15,16
mat,4,10,"开始传道",17,17
mat,4,11,"呼召门徒",18,22
mat,4,12,"教导和医治",23,25
mat,5,1,"八福",1,2
mat,5,2,"八福",3,10
mat,5,3,"八福",11,12
mat,5,4,"盐和光",13,16
mat,5,5,"成全律法",17,20
mat,5,6,"论仇恨",21,22
mat,5,7,"论仇恨",23,24
mat,5,8,"论仇恨",25,26
mat,5,9,"论通奸",27,30
mat,5,10,"论休妻",31,32
mat,5,11,"论起誓",33,37
mat,5,12,"论爱仇敌",38,42
mat,5,13,"论爱仇敌",43,48
mat,6,1,"论周济穷人",1,1
mat,6,2,"论周济穷人",2,4
mat,6,3,"论祷告",5,6
mat,6,4,"论祷告",7,8
mat,6,5,"论祷告",9,9
mat,6,6,"论祷告",9,13
mat,6,7,"论祷告",14,15
mat,6,8,"论禁食",16,18
mat,6,9,"论积财",19,21
mat,6,10,"论积财",22,23
mat,6,11,"论积财",24,24
mat,6,12,"不要忧虑衣食",25,25
mat,6,13,"不要忧虑衣食",26,27
mat,6,14,"不要忧虑衣食",28,32
mat,6,15,"不要忧虑衣食",33,34
mat,7,1,"责人先责己",1,5
mat,7,2,"责人先责己",6,6
mat,7,3,"祈求、寻找、叩门",7,8
mat,7,4,"祈求、寻找、叩门",9,11
mat,7,5,"祈求、寻找、叩门",12,12
mat,7,6,"辨别与抉择",13,14
mat,7,7,"辨别与抉择",15,23
mat,7,8,"两种盖房子的人",24,27
mat,7,9,"两种盖房子的人",28,29
mat,8,1,"麻风病痊愈",1,2
mat,8,2,"麻风病痊愈",3,3
mat,8,3,"麻风病痊愈",4,4
mat,8,4,"百夫长的信心",5,6
mat,8,5,"百夫长的信心",7,7
mat,8,6,"百夫长的信心",8,9
mat,8,7,"百夫长的信心",10,12
mat,8,8,"百夫长的信心",13,13
mat,8,9,"治病赶鬼",14,15
mat,8,10,"治病赶鬼",16,17
mat,8,11,"跟从耶稣的代价",18,19
mat,8,12,"跟从耶稣的代价",20,20
mat,8,13,"跟从耶稣的代价",21,22
mat,8,14,"平静风浪",23,24
mat,8,15,"平静风浪",25,25
mat,8,16,"平静风浪",26,26
mat,8,17,"平静风浪",27,27
mat,8,18,"治好两个被鬼附身的人",28,29
