book,chapter,paragraph,title,startVerseNo,endVerseNo
mic,1,1,"(无小标题)",1,1
mic,1,2,"审判将临",2,7
mic,1,3,"先知的哀伤",8,15
mic,1,4,"先知的哀伤",16,16
mic,2,1,"欺压者的命运",1,5
mic,2,2,"欺压者的命运",6,7
mic,2,3,"欺压者的命运",7,11
mic,2,4,"欺压者的命运",12,13
mic,3,1,"斥责以色列的领袖",1,4
mic,3,2,"斥责以色列的领袖",5,7
mic,3,3,"斥责以色列的领袖",8,12
mic,4,1,"耶路撒冷的将来",1,5
mic,4,2,"耶路撒冷的将来",6,7
mic,4,3,"耶路撒冷的将来",8,8
mic,4,4,"耶路撒冷的将来",9,10
mic,4,5,"耶路撒冷的将来",11,13
mic,5,1,"耶和华的应许",1,1
mic,5,2,"耶和华的应许",2,2
mic,5,3,"耶和华的应许",3,5
mic,5,4,"耶和华的应许",5,6
mic,5,5,"耶和华的应许",7,9
mic,5,6,"耶和华的应许",10,15
mic,6,1,"耶和华谴责以色列",1,2
mic,6,2,"耶和华谴责以色列",3,5
mic,6,3,"耶和华谴责以色列",6,8
mic,6,4,"耶和华谴责以色列",9,16
mic,7,1,"以色列的败坏",1,4
mic,7,2,"以色列的败坏",4,4
mic,7,3,"以色列的败坏",5,6
mic,7,4,"以色列的败坏",7,10
mic,7,5,"以色列的败坏",11,13
mic,7,6,"以色列的败坏",14,20
mic,1,1,"(无小标题)",1,1
mic,1,2,"审判将临",2,7
mic,1,3,"先知的哀伤",8,15
mic,1,4,"先知的哀伤",16,16
mic,2,1,"欺压者的命运",1,5
mic,2,2,"欺压者的命运",6,7
mic,2,3,"欺压者的命运",7,11
mic,2,4,"欺压者的命运",12,13
mic,3,1,"斥责以色列的领袖",1,4
mic,3,2,"斥责以色列的领袖",5,7
mic,3,3,"斥责以色列的领袖",8,12
mic,4,1,"耶路撒冷的将来",1,5
mic,4,2,"耶路撒冷的将来",6,7
mic,4,3,"耶路撒冷的将来",8,8
mic,4,4,"耶路撒冷的将来",9,10
mic,4,5,"耶路撒冷的将来",11,13
mic,5,1,"耶和华的应许",1,1
mic,5,2,"耶和华的应许",2,2
mic,5,3,"耶和华的应许",3,5
mic,5,4,"耶和华的应许",5,6
mic,5,5,"耶和华的应许",7,9
mic,5,6,"耶和华的应许",10,15
mic,6,1,"耶和华谴责以色列",1,2
mic,6,2,"耶和华谴责以色列",3,5
mic,6,3,"耶和华谴责以色列",6,8
mic,6,4,"耶和华谴责以色列",9,16
mic,7,1,"以色列的败坏",1,4
mic,7,2,"以色列的败坏",4,4
mic,7,3,"以色列的败坏",5,6
mic,7,4,"以色列的败坏",7,10
mic,7,5,"以色列的败坏",11,13
mic,7,6,"以色列的败坏",14,20
