book,chapter,paragraph,title,startVerseNo,endVerseNo
num,1,1,"以色列的第一次人口统计",1,5
num,1,2,"以色列的第一次人口统计",5,15
num,1,3,"以色列的第一次人口统计",16,16
num,1,4,"以色列的第一次人口统计",17,19
num,1,5,"以色列的第一次人口统计",20,20
num,1,6,"以色列的第一次人口统计",22,22
num,1,7,"以色列的第一次人口统计",24,24
num,1,8,"以色列的第一次人口统计",26,26
num,1,9,"以色列的第一次人口统计",28,28
num,1,10,"以色列的第一次人口统计",30,30
num,1,11,"以色列的第一次人口统计",32,32
num,1,12,"以色列的第一次人口统计",34,34
num,1,13,"以色列的第一次人口统计",36,36
num,1,14,"以色列的第一次人口统计",38,38
num,1,15,"以色列的第一次人口统计",40,40
num,1,16,"以色列的第一次人口统计",42,42
num,1,17,"以色列的第一次人口统计",44,54
num,2,1,"营地的安排",1,9
num,2,2,"营地的安排",10,17
num,2,3,"营地的安排",18,24
num,2,4,"营地的安排",25,31
num,2,5,"营地的安排",32,33
num,2,6,"营地的安排",34,34
num,3,1,"利未人的职分",1,1
num,3,2,"利未人的职分",2,4
num,3,3,"利未人的职分",5,13
num,3,4,"利未人的职分",14,20
num,3,5,"利未人的职分",21,26
num,3,6,"利未人的职分",27,32
num,3,7,"利未人的职分",33,37
num,3,8,"利未人的职分",38,39
num,3,9,"利未人代替长子的地位",40,51
num,4,1,"哥辖子孙的职责",1,4
num,4,2,"哥辖子孙的职责",5,6
num,4,3,"哥辖子孙的职责",7,8
num,4,4,"哥辖子孙的职责",9,10
num,4,5,"哥辖子孙的职责",11,11
num,4,6,"哥辖子孙的职责",12,12
num,4,7,"哥辖子孙的职责",13,14
num,4,8,"哥辖子孙的职责",15,16
num,4,9,"哥辖子孙的职责",17,20
num,4,10,"革顺子孙的职责",21,24
num,4,11,"革顺子孙的职责",25,28
num,4,12,"米拉利子孙的职责",29,33
num,4,13,"米拉利子孙的职责",34,37
num,4,14,"米拉利子孙的职责",38,41
num,4,15,"米拉利子孙的职责",42,45
num,4,16,"米拉利子孙的职责",46,49
num,5,1,"送不洁净之人出营",1,4
num,5,2,"赔偿条例",5,6
num,5,3,"赔偿条例",6,10
num,5,4,"疑妻不贞",11,12
num,5,5,"疑妻不贞",12,15
num,5,6,"疑妻不贞",16,28
num,5,7,"疑妻不贞",29,31
num,6,1,"拿细耳人的条例",1,2
num,6,2,"拿细耳人的条例",2,12
num,6,3,"拿细耳人的条例",13,20
num,6,4,"拿细耳人的条例",21,21
num,6,5,"祭司的祝福",22,27
num,7,1,"各首领的奉献",1,3
num,7,2,"各首领的奉献",4,9
num,7,3,"各首领的奉献",10,11
num,7,4,"各首领的奉献",12,17
num,7,5,"各首领的奉献",18,23
num,7,6,"各首领的奉献",24,29
num,7,7,"各首领的奉献",30,35
num,7,8,"各首领的奉献",36,41
num,7,9,"各首领的奉献",42,47
num,7,10,"各首领的奉献",48,53
num,7,11,"各首领的奉献",54,59
num,7,12,"各首领的奉献",60,65
num,7,13,"各首领的奉献",66,71
num,7,14,"各首领的奉献",72,77
num,7,15,"各首领的奉献",78,83
num,7,16,"各首领的奉献",84,88
num,7,17,"各首领的奉献",88,88
num,7,18,"各首领的奉献",89,89
num,8,1,"安置七盏灯",1,4
num,8,2,"为利未人行洁净与奉献礼",5,19
num,8,3,"为利未人行洁净与奉献礼",20,22
num,8,4,"为利未人行洁净与奉献礼",23,26
num,9,1,"逾越节",1,5
num,9,2,"逾越节",6,8
num,9,3,"逾越节",9,10
num,9,4,"逾越节",10,14
num,9,5,"云彩遮盖会幕",15,23
num,10,1,"银号",1,10
num,10,2,"离开西奈山",11,13
num,10,3,"离开西奈山",14,20
num,10,4,"离开西奈山",21,24
num,10,5,"离开西奈山",25,28
num,10,6,"离开西奈山",29,32
num,10,7,"离开西奈山",33,36
num,11,1,"以色列人发怨言",1,3
num,11,2,"以色列人发怨言",4,15
num,11,3,"以色列人发怨言",16,23
num,11,4,"以色列人发怨言",24,30
num,11,5,"耶和华赐下鹌鹑",31,35
num,12,1,"米利暗受罚",1,16
num,13,1,"打探迦南",1,16
num,13,2,"打探迦南",17,20
num,13,3,"打探迦南",21,24
num,13,4,"打探迦南",25,33
num,14,1,"以色列人发怨言",1,4
num,14,2,"以色列人发怨言",5,10
num,14,3,"以色列人发怨言",11,19
num,14,4,"以色列人发怨言",20,25
num,14,5,"以色列人发怨言",26,35
num,14,6,"以色列人发怨言",36,38
num,14,7,"以色列人发怨言",39,45
num,15,1,"献祭的条例",1,2
num,15,2,"献祭的条例",2,10
num,15,3,"献祭的条例",11,16
num,15,4,"献祭的条例",17,18
num,15,5,"献祭的条例",18,21
num,15,6,"献祭的条例",22,26
num,15,7,"献祭的条例",27,31
num,15,8,"处死违犯安息日者",32,36
num,15,9,"衣服穗子的条例",37,41
num,16,1,"可拉之乱",1,14
num,16,2,"可拉之乱",15,19
num,16,3,"可拉之乱",20,24
num,16,4,"可拉之乱",25,30
num,16,5,"可拉之乱",31,35
num,16,6,"可拉之乱",36,40
num,16,7,"可拉之乱",41,50
num,17,1,"亚伦的杖",1,13
num,18,1,"祭司和利未人的职责",1,7
num,18,2,"祭司当得之物",8,19
num,18,3,"祭司当得之物",20,20
num,18,4,"利未人应得之物",21,24
num,18,5,"利未人应纳的十分之一",25,26
num,18,6,"利未人应纳的十分之一",26,29
num,18,7,"利未人应纳的十分之一",30,32
num,19,1,"红母牛的灰",1,2
num,19,2,"红母牛的灰",2,10
num,19,3,"红母牛的灰",11,22
num,20,1,"磐石出水",1,11
num,20,2,"磐石出水",12,13
num,20,3,"以东王不借路",14,21
num,20,4,"亚伦离世",22,29
num,21,1,"击败迦南人",1,3
num,21,2,"铜蛇",4,5
num,21,3,"铜蛇",6,9
num,21,4,"前往摩押",10,15
num,21,5,"前往摩押",16,17
num,21,6,"前往摩押",17,18
num,21,7,"前往摩押",18,20
num,21,8,"击败亚摩利王和巴珊王",21,27
num,21,9,"击败亚摩利王和巴珊王",27,30
num,21,10,"击败亚摩利王和巴珊王",31,35
num,22,1,"摩押王召巴兰",1,6
num,22,2,"摩押王召巴兰",7,12
num,22,3,"摩押王召巴兰",13,21
num,22,4,"上帝拦阻巴兰",22,30
num,22,5,"上帝拦阻巴兰",31,35
num,22,6,"上帝拦阻巴兰",36,41
num,23,1,"巴兰的预言",1,7
num,23,2,"巴兰的预言",7,10
num,23,3,"巴兰的预言",11,12
num,23,4,"巴兰第二次预言",13,18
num,23,5,"巴兰第二次预言",18,24
num,23,6,"巴兰第二次预言",25,26
num,23,7,"巴兰第二次预言",27,30
num,24,1,"巴兰第三次预言",1,3
num,24,2,"巴兰第三次预言",3,9
num,24,3,"巴兰第三次预言",10,14
num,24,4,"巴兰第四次预言",15,15
num,24,5,"巴兰第四次预言",15,19
num,24,6,"巴兰最后的预言",20,20
num,24,7,"巴兰最后的预言",20,20
num,24,8,"巴兰最后的预言",21,21
num,24,9,"巴兰最后的预言",21,22
num,24,10,"巴兰最后的预言",23,23
num,24,11,"巴兰最后的预言",23,24
num,24,12,"巴兰最后的预言",25,25
num,25,1,"以色列人被诱犯罪",1,5
num,25,2,"以色列人被诱犯罪",6,9
num,25,3,"以色列人被诱犯罪",10,13
num,25,4,"以色列人被诱犯罪",14,18
num,26,1,"第二次人口统计",1,4
num,26,2,"第二次人口统计",4,4
num,26,3,"第二次人口统计",5,11
num,26,4,"第二次人口统计",12,14
num,26,5,"第二次人口统计",15,18
num,26,6,"第二次人口统计",19,22
num,26,7,"第二次人口统计",23,25
num,26,8,"第二次人口统计",26,27
num,26,9,"第二次人口统计",28,34
num,26,10,"第二次人口统计",35,37
num,26,11,"第二次人口统计",38,41
num,26,12,"第二次人口统计",42,43
num,26,13,"第二次人口统计",44,47
num,26,14,"第二次人口统计",48,50
num,26,15,"第二次人口统计",51,51
num,26,16,"第二次人口统计",52,56
num,26,17,"第二次人口统计",57,62
num,26,18,"第二次人口统计",63,65
num,27,1,"女儿的继承权",1,11
num,27,2,"约书亚接替摩西做首领",12,23
num,28,1,"日常献祭的条例",1,3
num,28,2,"日常献祭的条例",3,8
num,28,3,"安息日献的祭",9,10
num,28,4,"初一献的祭",11,15
num,28,5,"逾越节献的祭",16,25
num,28,6,"七七收获节献的祭",26,31
num,29,1,"吹号节献的祭",1,6
num,29,2,"赎罪日献的祭",7,11
num,29,3,"住棚节献的祭",12,16
num,29,4,"住棚节献的祭",17,19
num,29,5,"住棚节献的祭",20,22
num,29,6,"住棚节献的祭",23,25
num,29,7,"住棚节献的祭",26,28
num,29,8,"住棚节献的祭",29,31
num,29,9,"住棚节献的祭",32,34
num,29,10,"住棚节献的祭",35,38
num,29,11,"住棚节献的祭",39,39
num,29,12,"住棚节献的祭",40,40
num,30,1,"许愿的条例",1,1
num,30,2,"许愿的条例",2,5
num,30,3,"许愿的条例",6,9
num,30,4,"许愿的条例",10,15
num,30,5,"许愿的条例",16,16
num,31,1,"攻打米甸人",1,12
num,31,2,"攻打米甸人",13,24
num,31,3,"攻打米甸人",25,31
num,31,4,"攻打米甸人",32,41
num,31,5,"攻打米甸人",42,47
num,31,6,"攻打米甸人",48,54
num,32,1,"约旦河东的支派",1,5
num,32,2,"约旦河东的支派",6,13
num,32,3,"约旦河东的支派",14,15
num,32,4,"约旦河东的支派",16,27
num,32,5,"约旦河东的支派",28,32
num,32,6,"约旦河东的支派",33,42
num,33,1,"从埃及到约旦河",1,2
num,33,2,"从埃及到约旦河",3,37
num,33,3,"从埃及到约旦河",38,39
num,33,4,"从埃及到约旦河",40,40
num,33,5,"从埃及到约旦河",41,49
num,33,6,"从埃及到约旦河",50,56
num,34,1,"迦南的疆域",1,2
num,34,2,"迦南的疆域",2,2
num,34,3,"迦南的疆域",3,5
num,34,4,"迦南的疆域",6,6
num,34,5,"迦南的疆域",7,9
num,34,6,"迦南的疆域",10,12
num,34,7,"迦南的疆域",13,15
num,34,8,"分地的首领",16,18
num,34,9,"分地的首领",19,19
num,34,10,"分地的首领",29,29
num,35,1,"利未人分到的城邑",1,8
num,35,2,"避难城",9,15
num,35,3,"避难城",16,21
num,35,4,"避难城",22,29
num,35,5,"避难城",30,34
num,36,1,"女子继承产业的律例",1,4
num,36,2,"女子继承产业的律例",5,9
num,36,3,"女子继承产业的律例",10,12
num,36,4,"女子继承产业的律例",13,13
num,1,1,"以色列的第一次人口统计",1,5
num,1,2,"以色列的第一次人口统计",5,15
num,1,3,"以色列的第一次人口统计",16,16
num,1,4,"以色列的第一次人口统计",17,19
num,1,5,"以色列的第一次人口统计",20,20
num,1,6,"以色列的第一次人口统计",22,22
num,1,7,"以色列的第一次人口统计",24,24
num,1,8,"以色列的第一次人口统计",26,26
num,1,9,"以色列的第一次人口统计",28,28
num,1,10,"以色列的第一次人口统计",30,30
num,1,11,"以色列的第一次人口统计",32,32
num,1,12,"以色列的第一次人口统计",34,34
num,1,13,"以色列的第一次人口统计",36,36
num,1,14,"以色列的第一次人口统计",38,38
num,1,15,"以色列的第一次人口统计",40,40
num,1,16,"以色列的第一次人口统计",42,42
num,1,17,"以色列的第一次人口统计",44,54
num,2,1,"营地的安排",1,9
num,2,2,"营地的安排",10,17
num,2,3,"营地的安排",18,24
num,2,4,"营地的安排",25,31
num,2,5,"营地的安排",32,33
num,2,6,"营地的安排",34,34
num,3,1,"利未人的职分",1,1
num,3,2,"利未人的职分",2,4
num,3,3,"利未人的职分",5,13
num,3,4,"利未人的职分",14,20
num,3,5,"利未人的职分",21,26
num,3,6,"利未人的职分",27,32
num,3,7,"利未人的职分",33,37
num,3,8,"利未人的职分",38,39
num,3,9,"利未人代替长子的地位",40,51
num,4,1,"哥辖子孙的职责",1,4
num,4,2,"哥辖子孙的职责",5,6
num,4,3,"哥辖子孙的职责",7,8
num,4,4,"哥辖子孙的职责",9,10
num,4,5,"哥辖子孙的职责",11,11
num,4,6,"哥辖子孙的职责",12,12
num,4,7,"哥辖子孙的职责",13,14
num,4,8,"哥辖子孙的职责",15,16
num,4,9,"哥辖子孙的职责",17,20
num,4,10,"革顺子孙的职责",21,24
num,4,11,"革顺子孙的职责",25,28
num,4,12,"米拉利子孙的职责",29,33
num,4,13,"米拉利子孙的职责",34,37
num,4,14,"米拉利子孙的职责",38,41
num,4,15,"米拉利子孙的职责",42,45
num,4,16,"米拉利子孙的职责",46,49
num,5,1,"送不洁净之人出营",1,4
num,5,2,"赔偿条例",5,6
num,5,3,"赔偿条例",6,10
num,5,4,"疑妻不贞",11,12
num,5,5,"疑妻不贞",12,15
num,5,6,"疑妻不贞",16,28
num,5,7,"疑妻不贞",29,31
num,6,1,"拿细耳人的条例",1,2
num,6,2,"拿细耳人的条例",2,12
num,6,3,"拿细耳人的条例",13,20
num,6,4,"拿细耳人的条例",21,21
num,6,5,"祭司的祝福",22,27
num,7,1,"各首领的奉献",1,3
num,7,2,"各首领的奉献",4,9
num,7,3,"各首领的奉献",10,11
num,7,4,"各首领的奉献",12,17
num,7,5,"各首领的奉献",18,23
num,7,6,"各首领的奉献",24,29
num,7,7,"各首领的奉献",30,35
num,7,8,"各首领的奉献",36,41
num,7,9,"各首领的奉献",42,47
num,7,10,"各首领的奉献",48,53
num,7,11,"各首领的奉献",54,59
num,7,12,"各首领的奉献",60,65
num,7,13,"各首领的奉献",66,71
num,7,14,"各首领的奉献",72,77
num,7,15,"各首领的奉献",78,83
num,7,16,"各首领的奉献",84,88
num,7,17,"各首领的奉献",88,88
num,7,18,"各首领的奉献",89,89
num,8,1,"安置七盏灯",1,4
num,8,2,"为利未人行洁净与奉献礼",5,19
num,8,3,"为利未人行洁净与奉献礼",20,22
num,8,4,"为利未人行洁净与奉献礼",23,26
num,9,1,"逾越节",1,5
num,9,2,"逾越节",6,8
num,9,3,"逾越节",9,10
num,9,4,"逾越节",10,14
num,9,5,"云彩遮盖会幕",15,23
num,10,1,"银号",1,10
num,10,2,"离开西奈山",11,13
num,10,3,"离开西奈山",14,20
num,10,4,"离开西奈山",21,24
num,10,5,"离开西奈山",25,28
num,10,6,"离开西奈山",29,32
num,10,7,"离开西奈山",33,36
num,11,1,"以色列人发怨言",1,3
num,11,2,"以色列人发怨言",4,15
num,11,3,"以色列人发怨言",16,23
num,11,4,"以色列人发怨言",24,30
num,11,5,"耶和华赐下鹌鹑",31,35
num,12,1,"米利暗受罚",1,16
num,13,1,"打探迦南",1,16
