book,chapter,paragraph,title,startVerseNo,endVerseNo
rev,1,1,"(无小标题)",1,3
rev,1,2,"问候七教会",4,6
rev,1,3,"问候七教会",7,7
rev,1,4,"问候七教会",8,8
rev,1,5,"基督的显现",9,11
rev,1,6,"基督的显现",12,16
rev,1,7,"基督的显现",17,20
rev,2,1,"给以弗所教会的信",1,1
rev,2,2,"给以弗所教会的信",2,6
rev,2,3,"给以弗所教会的信",7,7
rev,2,4,"给士每拿教会的信",8,8
rev,2,5,"给士每拿教会的信",9,10
rev,2,6,"给士每拿教会的信",11,11
rev,2,7,"给别迦摩教会的信",12,12
rev,2,8,"给别迦摩教会的信",13,16
rev,2,9,"给别迦摩教会的信",17,17
rev,2,10,"给推雅推喇教会的信",18,18
rev,2,11,"给推雅推喇教会的信",19,23
rev,2,12,"给推雅推喇教会的信",24,28
rev,2,13,"给推雅推喇教会的信",29,29
rev,3,1,"给撒狄教会的信",1,1
rev,3,2,"给撒狄教会的信",1,5
rev,3,3,"给撒狄教会的信",6,6
rev,3,4,"给非拉铁非教会的信",7,7
rev,3,5,"给非拉铁非教会的信",8,12
rev,3,6,"给非拉铁非教会的信",13,13
rev,3,7,"给老底嘉教会的信",14,14
rev,3,8,"给老底嘉教会的信",15,21
rev,3,9,"给老底嘉教会的信",22,22
rev,4,1,"天上的敬拜",1,8
rev,4,2,"天上的敬拜",8,8
rev,4,3,"天上的敬拜",9,10
rev,4,4,"天上的敬拜",11,11
rev,5,1,"羔羊与封印的书卷",1,5
rev,5,2,"羔羊与封印的书卷",6,9
rev,5,3,"羔羊与封印的书卷",9,10
rev,5,4,"羔羊与封印的书卷",11,12
rev,5,5,"羔羊与封印的书卷",13,14
rev,6,1,"羔羊揭开前六印",1,2
rev,6,2,"羔羊揭开前六印",3,4
rev,6,3,"羔羊揭开前六印",5,6
rev,6,4,"羔羊揭开前六印",7,8
rev,6,5,"羔羊揭开前六印",9,11
rev,6,6,"羔羊揭开前六印",12,17
rev,7,1,"为上帝的仆人盖印",1,8
rev,7,2,"劫后余生的上帝子民",9,12
rev,7,3,"劫后余生的上帝子民",13,13
rev,7,4,"劫后余生的上帝子民",14,14
rev,7,5,"劫后余生的上帝子民",14,17
rev,8,1,"揭开第七印",1,2
rev,8,2,"揭开第七印",3,5
rev,8,3,"天使吹号",6,6
rev,8,4,"天使吹号",7,7
rev,8,5,"天使吹号",8,9
rev,8,6,"天使吹号",10,11
rev,8,7,"天使吹号",12,13
rev,9,1,"(无小标题)",1,6
rev,9,2,"(无小标题)",7,11
rev,9,3,"(无小标题)",12,12
rev,9,4,"(无小标题)",13,19
rev,9,5,"(无小标题)",20,21
rev,10,1,"天使与小书卷",1,4
rev,10,2,"天使与小书卷",5,7
rev,10,3,"天使与小书卷",8,8
rev,10,4,"天使与小书卷",9,11
rev,11,1,"两位见证人",1,3
rev,11,2,"两位见证人",4,6
rev,11,3,"两位见证人",7,10
rev,11,4,"两位见证人",11,13
rev,11,5,"两位见证人",14,14
rev,11,6,"第七位天使吹号",15,16
rev,11,7,"第七位天使吹号",17,18
rev,11,8,"第七位天使吹号",19,19
rev,12,1,"妇人与巨龙",1,2
rev,12,2,"妇人与巨龙",3,6
rev,12,3,"妇人与巨龙",7,9
rev,12,4,"妇人与巨龙",10,12
rev,12,5,"妇人与巨龙",13,18
rev,13,1,"两只怪兽",1,8
rev,13,2,"两只怪兽",9,10
rev,13,3,"两只怪兽",10,10
rev,13,4,"两只怪兽",11,18
rev,14,1,"天上的新歌",1,5
rev,14,2,"三位天使的信息",6,7
rev,14,3,"三位天使的信息",8,8
rev,14,4,"三位天使的信息",9,12
rev,14,5,"三位天使的信息",13,13
rev,14,6,"三位天使的信息",13,13
rev,14,7,"地上的收割",14,16
rev,14,8,"地上的收割",17,20
rev,15,1,"摩西的歌和羔羊的歌",1,3
rev,15,2,"摩西的歌和羔羊的歌",3,4
rev,15,3,"天使降七灾",5,8
rev,16,1,"(无小标题)",1,1
rev,16,2,"(无小标题)",2,2
rev,16,3,"(无小标题)",3,3
rev,16,4,"(无小标题)",4,5
rev,16,5,"(无小标题)",5,6
rev,16,6,"(无小标题)",7,7
rev,16,7,"(无小标题)",7,7
rev,16,8,"(无小标题)",8,9
rev,16,9,"(无小标题)",10,11
rev,16,10,"(无小标题)",12,14
rev,16,11,"(无小标题)",15,15
rev,16,12,"(无小标题)",16,16
rev,16,13,"(无小标题)",17,21
rev,17,1,"大淫妇的下场",1,2
rev,17,2,"大淫妇的下场",3,6
rev,17,3,"大淫妇的下场",6,14
rev,17,4,"大淫妇的下场",15,18
rev,18,1,"巴比伦的下场",1,2
rev,18,2,"巴比伦的下场",2,3
rev,18,3,"巴比伦的下场",4,4
rev,18,4,"巴比伦的下场",4,8
rev,18,5,"巴比伦的下场",9,10
rev,18,6,"巴比伦的下场",10,10
rev,18,7,"巴比伦的下场",11,14
rev,18,8,"巴比伦的下场",15,19
rev,18,9,"巴比伦的下场",19,20
rev,18,10,"巴比伦的下场",21,21
rev,18,11,"巴比伦的下场",21,24
rev,19,1,"天上的赞美",1,4
rev,19,2,"天上的赞美",5,8
rev,19,3,"天上的赞美",9,10
rev,19,4,"白马骑士",11,16
rev,19,5,"白马骑士",17,18
rev,19,6,"白马骑士",19,21
rev,20,1,"捆绑魔鬼一千年",1,3
rev,20,2,"同掌王权一千年",4,6
rev,20,3,"魔鬼的最终下场",7,10
rev,20,4,"最后的审判",11,15
rev,21,1,"新天新地",1,4
rev,21,2,"新天新地",5,8
rev,21,3,"新耶路撒冷",9,14
rev,21,4,"新耶路撒冷",15,20
rev,21,5,"新耶路撒冷",21,21
rev,21,6,"新耶路撒冷",22,27
rev,22,1,"(无小标题)",1,5
rev,22,2,"基督的再来",6,6
rev,22,3,"基督的再来",7,7
rev,22,4,"基督的再来",8,9
rev,22,5,"基督的再来",10,11
rev,22,6,"基督的再来",12,16
rev,22,7,"基督的再来",17,17
rev,22,8,"警告",18,19
rev,22,9,"警告",20,20
rev,22,10,"警告",21,21
rev,1,1,"(无小标题)",1,3
rev,1,2,"问候七教会",4,6
rev,1,3,"问候七教会",7,7
rev,1,4,"问候七教会",8,8
rev,1,5,"基督的显现",9,11
rev,1,6,"基督的显现",12,16
rev,1,7,"基督的显现",17,20
rev,2,1,"给以弗所教会的信",1,1
rev,2,2,"给以弗所教会的信",2,6
rev,2,3,"给以弗所教会的信",7,7
rev,2,4,"给士每拿教会的信",8,8
rev,2,5,"给士每拿教会的信",9,10
rev,2,6,"给士每拿教会的信",11,11
rev,2,7,"给别迦摩教会的信",12,12
rev,2,8,"给别迦摩教会的信",13,16
rev,2,9,"给别迦摩教会的信",17,17
rev,2,10,"给推雅推喇教会的信",18,18
rev,2,11,"给推雅推喇教会的信",19,23
rev,2,12,"给推雅推喇教会的信",24,28
rev,2,13,"给推雅推喇教会的信",29,29
rev,3,1,"给撒狄教会的信",1,1
rev,3,2,"给撒狄教会的信",1,5
rev,3,3,"给撒狄教会的信",6,6
rev,3,4,"给非拉铁非教会的信",7,7
rev,3,5,"给非拉铁非教会的信",8,12
rev,3,6,"给非拉铁非教会的信",13,13
rev,3,7,"给老底嘉教会的信",14,14
rev,3,8,"给老底嘉教会的信",15,21
rev,3,9,"给老底嘉教会的信",22,22
rev,4,1,"天上的敬拜",1,8
rev,4,2,"天上的敬拜",8,8
rev,4,3,"天上的敬拜",9,10
rev,4,4,"天上的敬拜",11,11
rev,5,1,"羔羊与封印的书卷",1,5
rev,5,2,"羔羊与封印的书卷",6,9
rev,5,3,"羔羊与封印的书卷",9,10
rev,5,4,"羔羊与封印的书卷",11,12
rev,5,5,"羔羊与封印的书卷",13,14
rev,6,1,"羔羊揭开前六印",1,2
rev,6,2,"羔羊揭开前六印",3,4
rev,6,3,"羔羊揭开前六印",5,6
rev,6,4,"羔羊揭开前六印",7,8
rev,6,5,"羔羊揭开前六印",9,11
rev,6,6,"羔羊揭开前六印",12,17
rev,7,1,"为上帝的仆人盖印",1,8
rev,7,2,"劫后余生的上帝子民",9,12
rev,7,3,"劫后余生的上帝子民",13,13
rev,7,4,"劫后余生的上帝子民",14,14
rev,7,5,"劫后余生的上帝子民",14,17
rev,8,1,"揭开第七印",1,2
rev,8,2,"揭开第七印",3,5
rev,8,3,"天使吹号",6,6
rev,8,4,"天使吹号",7,7
rev,8,5,"天使吹号",8,9
rev,8,6,"天使吹号",10,11
rev,8,7,"天使吹号",12,13
rev,9,1,"(无小标题)",1,6
rev,9,2,"(无小标题)",7,11
rev,9,3,"(无小标题)",12,12
rev,9,4,"(无小标题)",13,19
rev,9,5,"(无小标题)",20,21
rev,10,1,"天使与小书卷",1,4
rev,10,2,"天使与小书卷",5,7
rev,10,3,"天使与小书卷",8,8
rev,10,4,"天使与小书卷",9,11
rev,11,1,"两位见证人",1,3
rev,11,2,"两位见证人",4,6
rev,11,3,"两位见证人",7,10
rev,11,4,"两位见证人",11,13
rev,11,5,"两位见证人",14,14
rev,11,6,"第七位天使吹号",15,16
rev,11,7,"第七位天使吹号",17,18
rev,11,8,"第七位天使吹号",19,19
rev,12,1,"妇人与巨龙",1,2
rev,12,2,"妇人与巨龙",3,6
rev,12,3,"妇人与巨龙",7,9
rev,12,4,"妇人与巨龙",10,12
rev,12,5,"妇人与巨龙",13,18
rev,13,1,"两只怪兽",1,8
rev,13,2,"两只怪兽",9,10
rev,13,3,"两只怪兽",10,10
rev,13,4,"两只怪兽",11,18
rev,14,1,"天上的新歌",1,5
rev,14,2,"三位天使的信息",6,7
rev,14,3,"三位天使的信息",8,8
rev,14,4,"三位天使的信息",9,12
rev,14,5,"三位天使的信息",13,13
rev,14,6,"三位天使的信息",13,13
rev,14,7,"地上的收割",14,16
rev,14,8,"地上的收割",17,20
rev,15,1,"摩西的歌和羔羊的歌",1,3
rev,15,2,"摩西的歌和羔羊的歌",3,4
rev,15,3,"天使降七灾",5,8
rev,16,1,"(无小标题)",1,1
rev,16,2,"(无小标题)",2,2
rev,16,3,"(无小标题)",3,3
rev,16,4,"(无小标题)",4,5
rev,16,5,"(无小标题)",5,6
rev,16,6,"(无小标题)",7,7
rev,16,7,"(无小标题)",7,7
rev,16,8,"(无小标题)",8,9
rev,16,9,"(无小标题)",10,11
rev,16,10,"(无小标题)",12,14
rev,16,11,"(无小标题)",15,15
rev,16,12,"(无小标题)",16,16
rev,16,13,"(无小标题)",17,21
rev,17,1,"大淫妇的下场",1,2
rev,17,2,"大淫妇的下场",3,6
rev,17,3,"大淫妇的下场",6,14
rev,17,4,"大淫妇的下场",15,18
rev,18,1,"巴比伦的下场",1,2
rev,18,2,"巴比伦的下场",2,3
rev,18,3,"巴比伦的下场",4,4
rev,18,4,"巴比伦的下场",4,8
rev,18,5,"巴比伦的下场",9,10
rev,18,6,"巴比伦的下场",10,10
rev,18,7,"巴比伦的下场",11,14
rev,18,8,"巴比伦的下场",15,19
rev,18,9,"巴比伦的下场",19,20
rev,18,10,"巴比伦的下场",21,21
rev,18,11,"巴比伦的下场",21,24
rev,19,1,"天上的赞美",1,4
rev,19,2,"天上的赞美",5,8
rev,19,3,"天上的赞美",9,10
rev,19,4,"白马骑士",11,16
rev,19,5,"白马骑士",17,18
rev,19,6,"白马骑士",19,21
rev,20,1,"捆绑魔鬼一千年",1,3
rev,20,2,"同掌王权一千年",4,6
rev,20,3,"魔鬼的最终下场",7,10
rev,20,4,"最后的审判",11,15
rev,21,1,"新天新地",1,4
rev,21,2,"新天新地",5,8
rev,21,3,"新耶路撒冷",9,14
rev,21,4,"新耶路撒冷",15,20
rev,21,5,"新耶路撒冷",21,21
rev,21,6,"新耶路撒冷",22,27
rev,22,1,"(无小标题)",1,5
rev,22,2,"基督的再来",6,6
rev,22,3,"基督的再来",7,7
rev,22,4,"基督的再来",8,9
rev,22,5,"基督的再来",10,11
rev,22,6,"基督的再来",12,16
rev,22,7,"基督的再来",17,17
rev,22,8,"警告",18,19
rev,22,9,"警告",20,20
rev,22,10,"警告",21,21
