book,chapter,paragraph,title,startVerseNo,endVerseNo
rom,1,1,"问候",1,7
rom,1,2,"保罗渴望去罗马",8,12
rom,1,3,"保罗渴望去罗马",13,15
rom,1,4,"保罗渴望去罗马",16,17
rom,1,5,"人类的罪恶",18,23
rom,1,6,"人类的罪恶",24,25
rom,1,7,"人类的罪恶",26,27
rom,1,8,"人类的罪恶",28,32
rom,2,1,"上帝公义的审判",1,11
rom,2,2,"上帝公义的审判",12,16
rom,2,3,"犹太人与律法",17,24
rom,2,4,"犹太人与律法",25,29
rom,3,1,"(无小标题)",1,4
rom,3,2,"(无小标题)",4,4
rom,3,3,"(无小标题)",5,8
rom,3,4,"没有义人",9,10
rom,3,5,"没有义人",10,18
rom,3,6,"没有义人",19,20
rom,3,7,"因信称义",21,26
rom,3,8,"因信称义",27,31
rom,4,1,"亚伯拉罕的榜样",1,5
rom,4,2,"亚伯拉罕的榜样",6,8
rom,4,3,"亚伯拉罕的榜样",9,12
rom,4,4,"亚伯拉罕的榜样",13,17
rom,4,5,"亚伯拉罕的榜样",18,25
rom,5,1,"与上帝和好",1,5
rom,5,2,"与上帝和好",6,8
rom,5,3,"与上帝和好",9,11
rom,5,4,"亚当与基督",12,14
rom,5,5,"亚当与基督",15,17
rom,5,6,"亚当与基督",18,21
rom,6,1,"与基督同死同活",1,4
rom,6,2,"与基督同死同活",5,7
rom,6,3,"与基督同死同活",8,11
rom,6,4,"与基督同死同活",12,14
rom,6,5,"做义的奴仆",15,18
rom,6,6,"做义的奴仆",19,23
rom,7,1,"婚姻关系的例子",1,3
rom,7,2,"婚姻关系的例子",4,6
rom,7,3,"律法使人知罪",7,11
rom,7,4,"律法使人知罪",12,13
rom,7,5,"善恶相争",14,20
rom,7,6,"善恶相争",21,25
rom,8,1,"随从圣灵而活",1,4
rom,8,2,"随从圣灵而活",5,8
rom,8,3,"随从圣灵而活",9,11
rom,8,4,"随从圣灵而活",12,13
rom,8,5,"随从圣灵而活",14,17
rom,8,6,"将来的荣耀",18,25
rom,8,7,"将来的荣耀",26,27
rom,8,8,"将来的荣耀",28,30
rom,8,9,"上帝的爱",31,36
rom,8,10,"上帝的爱",37,39
rom,9,1,"上帝的选民",1,5
rom,9,2,"上帝的选民",6,9
rom,9,3,"上帝的选民",10,13
rom,9,4,"上帝的选民",14,15
rom,9,5,"上帝的选民",15,15
rom,9,6,"上帝的选民",16,18
rom,9,7,"上帝的烈怒和怜悯",19,21
rom,9,8,"上帝的烈怒和怜悯",22,25
