book,chapter,paragraph,title,startVerseNo,endVerseNo
rut,1,1,"拿俄米和路得",1,5
rut,1,2,"拿俄米和路得",6,14
rut,1,3,"拿俄米和路得",15,18
rut,1,4,"拿俄米和路得",19,21
rut,1,5,"拿俄米和路得",22,22
rut,2,1,"路得遇见波阿斯",1,7
rut,2,2,"路得遇见波阿斯",8,13
rut,2,3,"路得遇见波阿斯",14,16
rut,2,4,"路得遇见波阿斯",17,23
rut,3,1,"路得麦场见波阿斯",1,5
rut,3,2,"路得麦场见波阿斯",6,13
rut,3,3,"路得麦场见波阿斯",14,18
rut,4,1,"波阿斯娶路得",1,6
rut,4,2,"波阿斯娶路得",7,12
rut,4,3,"波阿斯娶路得",13,17
rut,4,4,"波阿斯娶路得",18,22
rut,1,1,"拿俄米和路得",1,5
rut,1,2,"拿俄米和路得",6,14
rut,1,3,"拿俄米和路得",15,18
rut,1,4,"拿俄米和路得",19,21
rut,1,5,"拿俄米和路得",22,22
rut,2,1,"路得遇见波阿斯",1,7
rut,2,2,"路得遇见波阿斯",8,13
rut,2,3,"路得遇见波阿斯",14,16
rut,2,4,"路得遇见波阿斯",17,23
rut,3,1,"路得麦场见波阿斯",1,5
rut,3,2,"路得麦场见波阿斯",6,13
rut,3,3,"路得麦场见波阿斯",14,18
rut,4,1,"波阿斯娶路得",1,6
rut,4,2,"波阿斯娶路得",7,12
rut,4,3,"波阿斯娶路得",13,17
rut,4,4,"波阿斯娶路得",18,22
