book,chapter,paragraph,title,startVerseNo,endVerseNo
tit,1,1,"问候",1,3
tit,1,2,"问候",4,4
tit,1,3,"问候",4,4
tit,1,4,"长老的资格",5,9
tit,1,5,"长老的资格",10,16
tit,2,1,"教导纯正的教义",1,5
tit,2,2,"教导纯正的教义",6,8
tit,2,3,"教导纯正的教义",9,10
tit,2,4,"教导纯正的教义",11,14
tit,2,5,"教导纯正的教义",15,15
tit,3,1,"专心行善",1,8
tit,3,2,"专心行善",9,11
tit,3,3,"信末的嘱咐与问候",12,14
tit,3,4,"信末的嘱咐与问候",15,15
tit,3,5,"信末的嘱咐与问候",15,15
tit,1,1,"问候",1,3
tit,1,2,"问候",4,4
tit,1,3,"问候",4,4
tit,1,4,"长老的资格",5,9
tit,1,5,"长老的资格",10,16
tit,2,1,"教导纯正的教义",1,5
tit,2,2,"教导纯正的教义",6,8
tit,2,3,"教导纯正的教义",9,10
tit,2,4,"教导纯正的教义",11,14
tit,2,5,"教导纯正的教义",15,15
tit,3,1,"专心行善",1,8
tit,3,2,"专心行善",9,11
tit,3,3,"信末的嘱咐与问候",12,14
tit,3,4,"信末的嘱咐与问候",15,15
tit,3,5,"信末的嘱咐与问候",15,15
