book,chapter,paragraph,title,startVerseNo,endVerseNo
zephaniah,1,1,"(无小标题)",1,1
zephaniah,1,2,"耶和华审判的日子",2,3
zephaniah,1,3,"耶和华审判的日子",4,6
zephaniah,1,4,"耶和华审判的日子",7,13
zephaniah,1,5,"耶和华审判的日子",14,16
zephaniah,1,6,"耶和华审判的日子",17,18
zephaniah,2,1,"呼吁百姓悔改",1,1
zephaniah,2,2,"呼吁百姓悔改",1,3
zephaniah,2,3,"审判以色列的邻国",4,7
zephaniah,2,4,"审判以色列的邻国",8,15
zephaniah,3,1,"耶路撒冷的败坏",1,5
zephaniah,3,2,"耶路撒冷的败坏",6,7
zephaniah,3,3,"耶路撒冷的败坏",8,8
zephaniah,3,4,"耶和华的拯救",9,13
zephaniah,3,5,"欢乐之歌",14,17
zephaniah,3,6,"欢乐之歌",18,20
zephaniah,1,1,"(无小标题)",1,1
zephaniah,1,2,"耶和华审判的日子",2,3
zephaniah,1,3,"耶和华审判的日子",4,6
zephaniah,1,4,"耶和华审判的日子",7,13
zephaniah,1,5,"耶和华审判的日子",14,16
zephaniah,1,6,"耶和华审判的日子",17,18
zephaniah,2,1,"呼吁百姓悔改",1,1
zephaniah,2,2,"呼吁百姓悔改",1,3
zephaniah,2,3,"审判以色列的邻国",4,7
zephaniah,2,4,"审判以色列的邻国",8,15
zephaniah,3,1,"耶路撒冷的败坏",1,5
zephaniah,3,2,"耶路撒冷的败坏",6,7
zephaniah,3,3,"耶路撒冷的败坏",8,8
zephaniah,3,4,"耶和华的拯救",9,13
zephaniah,3,5,"欢乐之歌",14,17
zephaniah,3,6,"欢乐之歌",18,20
zephaniah,1,1,"(无小标题)",1,1
zephaniah,1,2,"耶和华审判的日子",2,3
zephaniah,1,3,"耶和华审判的日子",4,6
zephaniah,1,4,"耶和华审判的日子",7,13
zephaniah,1,5,"耶和华审判的日子",14,16
zephaniah,1,6,"耶和华审判的日子",17,18
zephaniah,2,1,"呼吁百姓悔改",1,1
zephaniah,2,2,"呼吁百姓悔改",1,3
zephaniah,2,3,"审判以色列的邻国",4,7
zephaniah,2,4,"审判以色列的邻国",8,15
zephaniah,3,1,"耶路撒冷的败坏",1,5
zephaniah,3,2,"耶路撒冷的败坏",6,7
zephaniah,3,3,"耶路撒冷的败坏",8,8
zephaniah,3,4,"耶和华的拯救",9,13
zephaniah,3,5,"欢乐之歌",14,17
zephaniah,3,6,"欢乐之歌",18,20
