book,chapter,paragraph,title,startVerseNo,endVerseNo
1co,1,1,"(无小标题)",1,1
1co,1,2,"(无小标题)",2,2
1co,1,3,"(无小标题)",3,3
1co,1,4,"Thanksgiving",4,9
1co,1,5,"A Church Divided Over Leaders",10,12
1co,1,6,"A Church Divided Over Leaders",13,17
1co,1,7,"Christ Crucified Is God’s Power and Wisdom",18,19
1co,1,8,"Christ Crucified Is God’s Power and Wisdom",19,19
1co,1,9,"Christ Crucified Is God’s Power and Wisdom",20,25
1co,1,10,"Christ Crucified Is God’s Power and Wisdom",26,31
1co,2,1,"(无小标题)",1,5
1co,2,2,"God’s Wisdom Revealed by the Spirit",6,9
1co,2,3,"God’s Wisdom Revealed by the Spirit",9,9
1co,2,4,"God’s Wisdom Revealed by the Spirit",10,10
1co,2,5,"God’s Wisdom Revealed by the Spirit",10,16
1co,2,6,"God’s Wisdom Revealed by the Spirit",16,16
1co,2,7,"God’s Wisdom Revealed by the Spirit",16,16
1co,3,1,"The Church and Its Leaders",1,4
1co,3,2,"The Church and Its Leaders",5,9
1co,3,3,"The Church and Its Leaders",10,15
1co,3,4,"The Church and Its Leaders",16,17
1co,3,5,"The Church and Its Leaders",18,23
1co,4,1,"The Nature of True Apostleship",1,5
1co,4,2,"The Nature of True Apostleship",6,7
1co,4,3,"The Nature of True Apostleship",8,13
1co,4,4,"Paul’s Appeal and Warning",14,17
1co,4,5,"Paul’s Appeal and Warning",18,21
1co,5,1,"Dealing With a Case of Incest",1,5
1co,5,2,"Dealing With a Case of Incest",6,8
1co,5,3,"Dealing With a Case of Incest",9,11
1co,5,4,"Dealing With a Case of Incest",12,13
1co,6,1,"Lawsuits Among Believers",1,6
1co,6,2,"Lawsuits Among Believers",7,11
1co,6,3,"Sexual Immorality",12,17
1co,6,4,"Sexual Immorality",18,20
1co,7,1,"Concerning Married Life",1,7
1co,7,2,"Concerning Married Life",8,9
1co,7,3,"Concerning Married Life",10,11
1co,7,4,"Concerning Married Life",12,14
1co,7,5,"Concerning Married Life",15,16
1co,7,6,"Concerning Change of Status",17,20
1co,7,7,"Concerning Change of Status",21,24
1co,7,8,"Concerning the Unmarried",25,28
1co,7,9,"Concerning the Unmarried",29,31
1co,7,10,"Concerning the Unmarried",32,35
1co,7,11,"Concerning the Unmarried",36,38
1co,7,12,"Concerning the Unmarried",39,40
1co,8,1,"Concerning Food Sacrificed to Idols",1,3
1co,8,2,"Concerning Food Sacrificed to Idols",4,6
1co,8,3,"Concerning Food Sacrificed to Idols",7,8
1co,8,4,"Concerning Food Sacrificed to Idols",9,13
1co,9,1,"Paul’s Rights as an Apostle",1,2
1co,9,2,"Paul’s Rights as an Apostle",3,6
1co,9,3,"Paul’s Rights as an Apostle",7,12
1co,9,4,"Paul’s Rights as an Apostle",12,12
1co,9,5,"Paul’s Rights as an Apostle",13,14
1co,9,6,"Paul’s Rights as an Apostle",15,18
1co,9,7,"Paul’s Use of His Freedom",19,23
1co,9,8,"The Need for Self-Discipline",24,27
1co,10,1,"Warnings From Israel’s History",1,5
1co,10,2,"Warnings From Israel’s History",6,10
1co,10,3,"Warnings From Israel’s History",11,13
1co,10,4,"Idol Feasts and the Lord’s Supper",14,17
1co,10,5,"Idol Feasts and the Lord’s Supper",18,22
1co,10,6,"The Believer’s Freedom",23,24
1co,10,7,"The Believer’s Freedom",25,26
1co,10,8,"The Believer’s Freedom",27,30
1co,10,9,"The Believer’s Freedom",31,33
1co,11,1,"(无小标题)",1,1
1co,11,2,"On Covering the Head in Worship",2,6
1co,11,3,"On Covering the Head in Worship",7,12
1co,11,4,"On Covering the Head in Worship",13,16
1co,11,5,"Correcting an Abuse of the Lord’s Supper(Q)",17,22
1co,11,6,"Correcting an Abuse of the Lord’s Supper(Q)",23,26
1co,11,7,"Correcting an Abuse of the Lord’s Supper(Q)",27,32
1co,11,8,"Correcting an Abuse of the Lord’s Supper(Q)",33,34
1co,11,9,"Correcting an Abuse of the Lord’s Supper(Q)",34,34
1co,12,1,"Concerning Spiritual Gifts",1,3
1co,12,2,"Concerning Spiritual Gifts",4,6
1co,12,3,"Concerning Spiritual Gifts",7,11
1co,12,4,"Unity and Diversity in the Body",12,14
1co,12,5,"Unity and Diversity in the Body",15,20
1co,12,6,"Unity and Diversity in the Body",21,26
1co,12,7,"Unity and Diversity in the Body",27,31
1co,12,8,"Love Is Indispensable",31,31
1co,13,1,"(无小标题)",1,3
1co,13,2,"(无小标题)",4,7
1co,13,3,"(无小标题)",8,12
1co,13,4,"(无小标题)",13,13
1co,14,1,"Intelligibility in Worship",1,5
1co,14,2,"Intelligibility in Worship",6,12
1co,14,3,"Intelligibility in Worship",13,17
1co,14,4,"Intelligibility in Worship",18,19
1co,14,5,"Intelligibility in Worship",20,21
1co,14,6,"Intelligibility in Worship",21,21
1co,14,7,"Intelligibility in Worship",22,25
1co,14,8,"Good Order in Worship",26,28
1co,14,9,"Good Order in Worship",29,33
1co,14,10,"Good Order in Worship",34,35
1co,14,11,"Good Order in Worship",36,38
1co,14,12,"Good Order in Worship",39,40
1co,15,1,"The Resurrection of Christ",1,2
1co,15,2,"The Resurrection of Christ",3,8
1co,15,3,"The Resurrection of Christ",9,11
1co,15,4,"The Resurrection of the Dead",12,19
1co,15,5,"The Resurrection of the Dead",20,28
1co,15,6,"The Resurrection of the Dead",29,32
1co,15,7,"The Resurrection of the Dead",32,32
1co,15,8,"The Resurrection of the Dead",33,34
1co,15,9,"The Resurrection Body",35,41
1co,15,10,"The Resurrection Body",42,44
1co,15,11,"The Resurrection Body",44,49
1co,15,12,"The Resurrection Body",50,54
1co,15,13,"The Resurrection Body",55,55
1co,15,14,"The Resurrection Body",56,57
1co,15,15,"The Resurrection Body",58,58
1co,16,1,"The Collection for the Lord’s People",1,4
1co,16,2,"Personal Requests",5,9
1co,16,3,"Personal Requests",10,11
1co,16,4,"Personal Requests",12,12
1co,16,5,"Personal Requests",13,14
1co,16,6,"Personal Requests",15,18
1co,16,7,"Final Greetings",19,20
1co,16,8,"Final Greetings",21,21
1co,16,9,"Final Greetings",22,22
1co,16,10,"Final Greetings",23,23
1co,16,11,"Final Greetings",24,24
