book,chapter,paragraph,title,startVerseNo,endVerseNo
1jn,1,1,"The Incarnation of the Word of Life",1,4
1jn,1,2,"Light and Darkness, Sin and Forgiveness",5,7
1jn,1,3,"Light and Darkness, Sin and Forgiveness",8,10
1jn,2,1,"(无小标题)",1,2
1jn,2,2,"Love and Hatred for Fellow Believers",3,6
1jn,2,3,"Love and Hatred for Fellow Believers",7,8
1jn,2,4,"Love and Hatred for Fellow Believers",9,11
1jn,2,5,"Reasons for Writing",12,13
1jn,2,6,"Reasons for Writing",14,14
1jn,2,7,"On Not Loving the World",15,17
1jn,2,8,"Warnings Against Denying the Son",18,19
1jn,2,9,"Warnings Against Denying the Son",20,23
1jn,2,10,"Warnings Against Denying the Son",24,25
1jn,2,11,"Warnings Against Denying the Son",26,27
1jn,2,12,"God’s Children and Sin",28,28
1jn,2,13,"God’s Children and Sin",29,29
1jn,3,1,"(无小标题)",1,3
1jn,3,2,"(无小标题)",4,6
1jn,3,3,"(无小标题)",7,10
1jn,3,4,"More on Love and Hatred",11,15
1jn,3,5,"More on Love and Hatred",16,18
1jn,3,6,"More on Love and Hatred",19,24
1jn,4,1,"On Denying the Incarnation",1,3
1jn,4,2,"On Denying the Incarnation",4,6
1jn,4,3,"God’s Love and Ours",7,12
1jn,4,4,"God’s Love and Ours",13,16
1jn,4,5,"God’s Love and Ours",16,18
1jn,4,6,"God’s Love and Ours",19,21
1jn,5,1,"Faith in the Incarnate Son of God",1,5
1jn,5,2,"Faith in the Incarnate Son of God",6,12
1jn,5,3,"Concluding Affirmations",13,15
1jn,5,4,"Concluding Affirmations",16,17
1jn,5,5,"Concluding Affirmations",18,20
1jn,5,6,"Concluding Affirmations",21,21
