book,chapter,paragraph,title,startVerseNo,endVerseNo
1sa,1,1,"The Birth of Samuel",1,2
1sa,1,2,"The Birth of Samuel",3,8
1sa,1,3,"The Birth of Samuel",9,11
1sa,1,4,"The Birth of Samuel",12,14
1sa,1,5,"The Birth of Samuel",15,16
1sa,1,6,"The Birth of Samuel",17,17
1sa,1,7,"The Birth of Samuel",18,18
1sa,1,8,"The Birth of Samuel",19,20
1sa,1,9,"Hannah Dedicates Samuel",21,22
1sa,1,10,"Hannah Dedicates Samuel",23,23
1sa,1,11,"Hannah Dedicates Samuel",24,28
1sa,2,1,"Hannah’s Prayer",1,1
1sa,2,2,"Hannah’s Prayer",1,1
1sa,2,3,"Hannah’s Prayer",2,2
1sa,2,4,"Hannah’s Prayer",3,3
1sa,2,5,"Hannah’s Prayer",4,5
1sa,2,6,"Hannah’s Prayer",6,8
1sa,2,7,"Hannah’s Prayer",8,9
1sa,2,8,"Hannah’s Prayer",9,10
1sa,2,9,"Hannah’s Prayer",10,10
1sa,2,10,"Hannah’s Prayer",11,11
1sa,2,11,"Eli’s Wicked Sons",12,15
1sa,2,12,"Eli’s Wicked Sons",16,16
1sa,2,13,"Eli’s Wicked Sons",17,17
1sa,2,14,"Eli’s Wicked Sons",18,21
1sa,2,15,"Eli’s Wicked Sons",22,25
1sa,2,16,"Eli’s Wicked Sons",26,26
1sa,2,17,"Prophecy Against the House of Eli",27,29
1sa,2,18,"Prophecy Against the House of Eli",30,33
1sa,2,19,"Prophecy Against the House of Eli",34,36
1sa,3,1,"The Lord Calls Samuel",1,1
1sa,3,2,"The Lord Calls Samuel",2,4
1sa,3,3,"The Lord Calls Samuel",4,5
1sa,3,4,"The Lord Calls Samuel",5,5
1sa,3,5,"The Lord Calls Samuel",6,6
1sa,3,6,"The Lord Calls Samuel",6,6
1sa,3,7,"The Lord Calls Samuel",7,7
1sa,3,8,"The Lord Calls Samuel",8,8
1sa,3,9,"The Lord Calls Samuel",8,9
1sa,3,10,"The Lord Calls Samuel",10,10
1sa,3,11,"The Lord Calls Samuel",10,10
1sa,3,12,"The Lord Calls Samuel",11,14
1sa,3,13,"The Lord Calls Samuel",15,16
1sa,3,14,"The Lord Calls Samuel",16,16
1sa,3,15,"The Lord Calls Samuel",17,18
1sa,3,16,"The Lord Calls Samuel",19,21
1sa,4,1,"(无小标题)",1,1
1sa,4,2,"The Philistines Capture the Ark",1,3
1sa,4,3,"The Philistines Capture the Ark",4,4
1sa,4,4,"The Philistines Capture the Ark",5,6
1sa,4,5,"The Philistines Capture the Ark",6,9
1sa,4,6,"The Philistines Capture the Ark",10,11
1sa,4,7,"Death of Eli",12,13
1sa,4,8,"Death of Eli",14,14
1sa,4,9,"Death of Eli",14,16
1sa,4,10,"Death of Eli",16,16
1sa,4,11,"Death of Eli",17,17
1sa,4,12,"Death of Eli",18,18
1sa,4,13,"Death of Eli",19,20
1sa,4,14,"Death of Eli",21,22
1sa,5,1,"The Ark in Ashdod and Ekron",1,5
1sa,5,2,"The Ark in Ashdod and Ekron",6,8
1sa,5,3,"The Ark in Ashdod and Ekron",8,8
1sa,5,4,"The Ark in Ashdod and Ekron",9,10
1sa,5,5,"The Ark in Ashdod and Ekron",10,12
1sa,6,1,"The Ark Returned to Israel",1,2
1sa,6,2,"The Ark Returned to Israel",3,3
1sa,6,3,"The Ark Returned to Israel",4,4
1sa,6,4,"The Ark Returned to Israel",4,6
1sa,6,5,"The Ark Returned to Israel",7,9
1sa,6,6,"The Ark Returned to Israel",10,12
1sa,6,7,"The Ark Returned to Israel",13,16
1sa,6,8,"The Ark Returned to Israel",17,18
1sa,6,9,"The Ark Returned to Israel",19,20
1sa,6,10,"The Ark Returned to Israel",21,21
1sa,7,1,"(无小标题)",1,2
1sa,7,2,"Samuel Subdues the Philistines at Mizpah",2,4
1sa,7,3,"Samuel Subdues the Philistines at Mizpah",5,6
1sa,7,4,"Samuel Subdues the Philistines at Mizpah",7,9
1sa,7,5,"Samuel Subdues the Philistines at Mizpah",10,11
1sa,7,6,"Samuel Subdues the Philistines at Mizpah",12,12
1sa,7,7,"Samuel Subdues the Philistines at Mizpah",13,14
1sa,7,8,"Samuel Subdues the Philistines at Mizpah",15,17
1sa,8,1,"Israel Asks for a King",1,3
1sa,8,2,"Israel Asks for a King",4,5
1sa,8,3,"Israel Asks for a King",6,9
1sa,8,4,"Israel Asks for a King",10,18
1sa,8,5,"Israel Asks for a King",19,20
1sa,8,6,"Israel Asks for a King",21,22
1sa,8,7,"Israel Asks for a King",22,22
1sa,9,1,"Samuel Anoints Saul",1,2
1sa,9,2,"Samuel Anoints Saul",3,4
1sa,9,3,"Samuel Anoints Saul",5,5
1sa,9,4,"Samuel Anoints Saul",6,6
1sa,9,5,"Samuel Anoints Saul",7,7
1sa,9,6,"Samuel Anoints Saul",8,9
1sa,9,7,"Samuel Anoints Saul",10,10
1sa,9,8,"Samuel Anoints Saul",11,11
1sa,9,9,"Samuel Anoints Saul",12,13
1sa,9,10,"Samuel Anoints Saul",14,14
1sa,9,11,"Samuel Anoints Saul",15,16
1sa,9,12,"Samuel Anoints Saul",17,17
1sa,9,13,"Samuel Anoints Saul",18,18
1sa,9,14,"Samuel Anoints Saul",19,20
1sa,9,15,"Samuel Anoints Saul",21,21
1sa,9,16,"Samuel Anoints Saul",22,23
1sa,9,17,"Samuel Anoints Saul",24,24
1sa,9,18,"Samuel Anoints Saul",25,27
1sa,10,1,"(无小标题)",1,2
1sa,10,2,"(无小标题)",3,4
1sa,10,3,"(无小标题)",5,7
1sa,10,4,"(无小标题)",8,8
1sa,10,5,"Saul Made King",9,11
1sa,10,6,"Saul Made King",12,13
1sa,10,7,"Saul Made King",14,14
1sa,10,8,"Saul Made King",14,14
1sa,10,9,"Saul Made King",15,15
1sa,10,10,"Saul Made King",16,16
1sa,10,11,"Saul Made King",17,19
1sa,10,12,"Saul Made King",20,22
1sa,10,13,"Saul Made King",22,22
1sa,10,14,"Saul Made King",23,24
1sa,10,15,"Saul Made King",24,24
1sa,10,16,"Saul Made King",25,25
1sa,10,17,"Saul Made King",26,27
1sa,11,1,"Saul Rescues the City of Jabesh",1,1
1sa,11,2,"Saul Rescues the City of Jabesh",2,2
1sa,11,3,"Saul Rescues the City of Jabesh",3,3
1sa,11,4,"Saul Rescues the City of Jabesh",4,5
1sa,11,5,"Saul Rescues the City of Jabesh",6,8
1sa,11,6,"Saul Rescues the City of Jabesh",9,10
1sa,11,7,"Saul Rescues the City of Jabesh",11,11
1sa,11,8,"Saul Confirmed as King",12,12
1sa,11,9,"Saul Confirmed as King",13,13
1sa,11,10,"Saul Confirmed as King",14,15
1sa,12,1,"Samuel’s Farewell Speech",1,3
1sa,12,2,"Samuel’s Farewell Speech",4,4
1sa,12,3,"Samuel’s Farewell Speech",5,5
1sa,12,4,"Samuel’s Farewell Speech",5,5
1sa,12,5,"Samuel’s Farewell Speech",6,7
1sa,12,6,"Samuel’s Farewell Speech",8,8
1sa,12,7,"Samuel’s Farewell Speech",9,11
1sa,12,8,"Samuel’s Farewell Speech",12,15
1sa,12,9,"Samuel’s Farewell Speech",16,17
1sa,12,10,"Samuel’s Farewell Speech",18,18
1sa,12,11,"Samuel’s Farewell Speech",19,19
1sa,12,12,"Samuel’s Farewell Speech",20,25
1sa,13,1,"Samuel Rebukes Saul",1,1
1sa,13,2,"Samuel Rebukes Saul",2,2
1sa,13,3,"Samuel Rebukes Saul",3,4
