book,chapter,paragraph,title,startVerseNo,endVerseNo
1ti,1,1,"(无小标题)",1,1
1ti,1,2,"(无小标题)",2,2
1ti,1,3,"(无小标题)",2,2
1ti,1,4,"Timothy Charged to Oppose False Teachers",3,7
1ti,1,5,"Timothy Charged to Oppose False Teachers",8,11
1ti,1,6,"The Lord’s Grace to Paul",12,14
1ti,1,7,"The Lord’s Grace to Paul",15,17
1ti,1,8,"The Charge to Timothy Renewed",18,20
1ti,2,1,"Instructions on Worship",1,7
1ti,2,2,"Instructions on Worship",8,10
1ti,2,3,"Instructions on Worship",11,15
1ti,3,1,"Qualifications for Overseers and Deacons",1,7
1ti,3,2,"Qualifications for Overseers and Deacons",8,10
1ti,3,3,"Qualifications for Overseers and Deacons",11,11
1ti,3,4,"Qualifications for Overseers and Deacons",12,13
1ti,3,5,"Reasons for Paul’s Instructions",14,16
1ti,3,6,"Reasons for Paul’s Instructions",16,16
1ti,4,1,"(无小标题)",1,5
1ti,4,2,"(无小标题)",6,10
1ti,4,3,"(无小标题)",11,14
1ti,4,4,"(无小标题)",15,16
1ti,5,1,"Widows, Elders and Slaves",1,2
1ti,5,2,"Widows, Elders and Slaves",3,8
1ti,5,3,"Widows, Elders and Slaves",9,10
1ti,5,4,"Widows, Elders and Slaves",11,15
1ti,5,5,"Widows, Elders and Slaves",16,16
1ti,5,6,"Widows, Elders and Slaves",17,21
1ti,5,7,"Widows, Elders and Slaves",22,22
1ti,5,8,"Widows, Elders and Slaves",23,23
1ti,5,9,"Widows, Elders and Slaves",24,25
1ti,6,1,"(无小标题)",1,2
1ti,6,2,"False Teachers and the Love of Money",2,5
1ti,6,3,"False Teachers and the Love of Money",6,10
1ti,6,4,"Final Charge to Timothy",11,16
1ti,6,5,"Final Charge to Timothy",17,19
1ti,6,6,"Final Charge to Timothy",20,21
1ti,6,7,"Final Charge to Timothy",21,21
