book,chapter,paragraph,title,startVerseNo,endVerseNo
2ch,1,1,"Solomon Asks for Wisdom(A)(B)",1,1
2ch,1,2,"Solomon Asks for Wisdom(A)(B)",2,6
2ch,1,3,"Solomon Asks for Wisdom(A)(B)",7,7
2ch,1,4,"Solomon Asks for Wisdom(A)(B)",8,10
2ch,1,5,"Solomon Asks for Wisdom(A)(B)",11,12
2ch,1,6,"Solomon Asks for Wisdom(A)(B)",13,13
2ch,1,7,"Solomon Asks for Wisdom(A)(B)",14,17
2ch,2,1,"Preparations for Building the Temple(A)",1,2
2ch,2,2,"Preparations for Building the Temple(A)",3,3
2ch,2,3,"Preparations for Building the Temple(A)",11,11
2ch,2,4,"Preparations for Building the Temple(A)",12,12
2ch,2,5,"Preparations for Building the Temple(A)",17,18
2ch,3,1,"Solomon Builds the Temple(A)",1,2
2ch,3,2,"Solomon Builds the Temple(A)",3,4
2ch,3,3,"Solomon Builds the Temple(A)",4,7
2ch,3,4,"Solomon Builds the Temple(A)",8,9
2ch,3,5,"Solomon Builds the Temple(A)",10,13
2ch,3,6,"Solomon Builds the Temple(A)",14,14
2ch,3,7,"Solomon Builds the Temple(A)",15,17
2ch,4,1,"The Temple’s Furnishings(A)",1,3
2ch,4,2,"The Temple’s Furnishings(A)",4,5
2ch,4,3,"The Temple’s Furnishings(A)",6,6
2ch,4,4,"The Temple’s Furnishings(A)",7,7
2ch,4,5,"The Temple’s Furnishings(A)",8,8
2ch,4,6,"The Temple’s Furnishings(A)",9,10
2ch,4,7,"The Temple’s Furnishings(A)",11,11
2ch,4,8,"The Temple’s Furnishings(A)",11,11
2ch,4,9,"The Temple’s Furnishings(A)",16,18
2ch,4,10,"The Temple’s Furnishings(A)",19,19
2ch,5,1,"(无小标题)",1,1
2ch,5,2,"The Ark Brought to the Temple(C)",2,3
2ch,5,3,"The Ark Brought to the Temple(C)",4,6
2ch,5,4,"The Ark Brought to the Temple(C)",7,10
2ch,5,5,"The Ark Brought to the Temple(C)",11,13
2ch,5,6,"The Ark Brought to the Temple(C)",13,13
2ch,5,7,"The Ark Brought to the Temple(C)",13,14
2ch,6,1,"(无小标题)",1,2
2ch,6,2,"(无小标题)",3,4
2ch,6,3,"Solomon’s Prayer of Dedication(H)(I)",12,14
2ch,6,4,"Solomon’s Prayer of Dedication(H)(I)",41,42
2ch,7,1,"The Dedication of the Temple(A)",1,3
2ch,7,2,"The Dedication of the Temple(A)",3,3
2ch,7,3,"The Dedication of the Temple(A)",4,6
2ch,7,4,"The Dedication of the Temple(A)",7,7
2ch,7,5,"The Dedication of the Temple(A)",8,10
2ch,7,6,"The Lord Appears to Solomon(Q)",11,12
2ch,8,1,"Solomon’s Other Activities(A)",1,6
2ch,8,2,"Solomon’s Other Activities(A)",7,10
2ch,8,3,"Solomon’s Other Activities(A)",11,11
2ch,8,4,"Solomon’s Other Activities(A)",12,15
2ch,8,5,"Solomon’s Other Activities(A)",16,16
2ch,8,6,"Solomon’s Other Activities(A)",17,18
2ch,9,1,"The Queen of Sheba Visits Solomon(A)",1,4
2ch,9,2,"The Queen of Sheba Visits Solomon(A)",5,8
2ch,9,3,"The Queen of Sheba Visits Solomon(A)",9,9
2ch,9,4,"The Queen of Sheba Visits Solomon(A)",10,11
2ch,9,5,"The Queen of Sheba Visits Solomon(A)",12,12
2ch,9,6,"Solomon’s Splendor(I)",13,14
2ch,9,7,"Solomon’s Splendor(I)",15,16
2ch,9,8,"Solomon’s Splendor(I)",17,21
2ch,9,9,"Solomon’s Splendor(I)",22,24
2ch,9,10,"Solomon’s Splendor(I)",25,28
2ch,9,11,"Solomon’s Death(U)",29,31
2ch,10,1,"Israel Rebels Against Rehoboam(A)",1,4
2ch,10,2,"Israel Rebels Against Rehoboam(A)",5,5
2ch,10,3,"Israel Rebels Against Rehoboam(A)",6,6
2ch,10,4,"Israel Rebels Against Rehoboam(A)",7,7
2ch,10,5,"Israel Rebels Against Rehoboam(A)",8,9
2ch,10,6,"Israel Rebels Against Rehoboam(A)",10,11
2ch,10,7,"Israel Rebels Against Rehoboam(A)",12,15
2ch,10,8,"Israel Rebels Against Rehoboam(A)",16,16
2ch,10,9,"Israel Rebels Against Rehoboam(A)",16,16
2ch,10,10,"Israel Rebels Against Rehoboam(A)",16,17
2ch,10,11,"Israel Rebels Against Rehoboam(A)",18,19
2ch,11,1,"(无小标题)",1,1
2ch,11,2,"(无小标题)",2,4
2ch,11,3,"Rehoboam Fortifies Judah",5,12
2ch,11,4,"Rehoboam Fortifies Judah",13,17
2ch,11,5,"Rehoboam’s Family",18,21
2ch,11,6,"Rehoboam’s Family",22,23
2ch,12,1,"Shishak Attacks Jerusalem(A)",1,4
2ch,12,2,"Shishak Attacks Jerusalem(A)",5,5
2ch,12,3,"Shishak Attacks Jerusalem(A)",6,6
2ch,12,4,"Shishak Attacks Jerusalem(A)",7,8
2ch,12,5,"Shishak Attacks Jerusalem(A)",9,11
2ch,12,6,"Shishak Attacks Jerusalem(A)",12,12
2ch,12,7,"Shishak Attacks Jerusalem(A)",13,14
2ch,12,8,"Shishak Attacks Jerusalem(A)",15,16
2ch,13,1,"Abijah King of Judah(A)",1,2
2ch,13,2,"Abijah King of Judah(A)",2,3
2ch,13,3,"Abijah King of Judah(A)",4,7
2ch,13,4,"Abijah King of Judah(A)",8,9
2ch,13,5,"Abijah King of Judah(A)",10,12
2ch,13,6,"Abijah King of Judah(A)",13,18
2ch,13,7,"Abijah King of Judah(A)",19,20
2ch,13,8,"Abijah King of Judah(A)",21,21
2ch,13,9,"Abijah King of Judah(A)",22,22
2ch,14,1,"(无小标题)",1,1
2ch,14,2,"Asa King of Judah(A)",2,6
2ch,14,3,"Asa King of Judah(A)",7,7
2ch,14,4,"Asa King of Judah(A)",8,8
2ch,14,5,"Asa King of Judah(A)",9,10
2ch,14,6,"Asa King of Judah(A)",11,11
2ch,14,7,"Asa King of Judah(A)",12,15
2ch,15,1,"Asa’s Reform(A)",1,7
2ch,15,2,"Asa’s Reform(A)",8,8
2ch,15,3,"Asa’s Reform(A)",9,9
2ch,15,4,"Asa’s Reform(A)",10,15
2ch,15,5,"Asa’s Reform(A)",16,18
2ch,15,6,"Asa’s Reform(A)",19,19
2ch,16,1,"Asa’s Last Years(A)(B)",1,1
2ch,16,2,"Asa’s Last Years(A)(B)",2,3
2ch,16,3,"Asa’s Last Years(A)(B)",4,6
2ch,16,4,"Asa’s Last Years(A)(B)",7,9
2ch,16,5,"Asa’s Last Years(A)(B)",10,10
2ch,16,6,"Asa’s Last Years(A)(B)",11,14
2ch,17,1,"Jehoshaphat King of Judah",1,2
2ch,17,2,"Jehoshaphat King of Judah",3,6
2ch,17,3,"Jehoshaphat King of Judah",7,9
2ch,17,4,"Jehoshaphat King of Judah",10,11
2ch,17,5,"Jehoshaphat King of Judah",12,14
2ch,17,6,"Jehoshaphat King of Judah",19,19
2ch,18,1,"Micaiah Prophesies Against Ahab(A)",1,3
2ch,18,2,"Micaiah Prophesies Against Ahab(A)",3,4
2ch,18,3,"Micaiah Prophesies Against Ahab(A)",5,5
2ch,18,4,"Micaiah Prophesies Against Ahab(A)",5,5
2ch,18,5,"Micaiah Prophesies Against Ahab(A)",6,6
2ch,18,6,"Micaiah Prophesies Against Ahab(A)",7,7
2ch,18,7,"Micaiah Prophesies Against Ahab(A)",7,7
2ch,18,8,"Micaiah Prophesies Against Ahab(A)",8,8
2ch,18,9,"Micaiah Prophesies Against Ahab(A)",9,10
2ch,18,10,"Micaiah Prophesies Against Ahab(A)",11,11
2ch,18,11,"Micaiah Prophesies Against Ahab(A)",12,12
2ch,18,12,"Micaiah Prophesies Against Ahab(A)",13,13
2ch,18,13,"Micaiah Prophesies Against Ahab(A)",14,14
2ch,18,14,"Micaiah Prophesies Against Ahab(A)",14,14
2ch,18,15,"Micaiah Prophesies Against Ahab(A)",15,15
2ch,18,16,"Micaiah Prophesies Against Ahab(A)",16,16
2ch,18,17,"Micaiah Prophesies Against Ahab(A)",17,17
2ch,18,18,"Micaiah Prophesies Against Ahab(A)",18,19
2ch,18,19,"Micaiah Prophesies Against Ahab(A)",19,20
2ch,18,20,"Micaiah Prophesies Against Ahab(A)",20,20
2ch,18,21,"Micaiah Prophesies Against Ahab(A)",21,21
