book,chapter,paragraph,title,startVerseNo,endVerseNo
2pe,1,1,"(无小标题)",1,1
2pe,1,2,"(无小标题)",1,1
2pe,1,3,"(无小标题)",2,2
2pe,1,4,"Confirming One’s Calling and Election",3,4
2pe,1,5,"Confirming One’s Calling and Election",5,9
2pe,1,6,"Confirming One’s Calling and Election",10,11
2pe,1,7,"Prophecy of Scripture",12,15
2pe,1,8,"Prophecy of Scripture",16,18
2pe,1,9,"Prophecy of Scripture",19,21
2pe,2,1,"False Teachers and Their Destruction",1,3
2pe,2,2,"False Teachers and Their Destruction",4,10
2pe,2,3,"False Teachers and Their Destruction",10,12
2pe,2,4,"False Teachers and Their Destruction",13,16
2pe,2,5,"False Teachers and Their Destruction",17,22
2pe,3,1,"The Day of the Lord",1,2
2pe,3,2,"The Day of the Lord",3,7
2pe,3,3,"The Day of the Lord",8,9
2pe,3,4,"The Day of the Lord",10,10
2pe,3,5,"The Day of the Lord",11,13
2pe,3,6,"The Day of the Lord",14,16
2pe,3,7,"The Day of the Lord",17,18
