book,chapter,paragraph,title,startVerseNo,endVerseNo
exo,1,1,"The Israelites Oppressed",1,5
exo,1,2,"The Israelites Oppressed",6,7
exo,1,3,"The Israelites Oppressed",8,10
exo,1,4,"The Israelites Oppressed",11,14
exo,1,5,"The Israelites Oppressed",15,18
exo,1,6,"The Israelites Oppressed",19,19
exo,1,7,"The Israelites Oppressed",20,21
exo,1,8,"The Israelites Oppressed",22,22
exo,2,1,"The Birth of Moses",1,4
exo,2,2,"The Birth of Moses",5,6
exo,2,3,"The Birth of Moses",7,7
exo,2,4,"The Birth of Moses",8,10
exo,2,5,"Moses Flees to Midian",11,13
exo,2,6,"Moses Flees to Midian",14,14
exo,2,7,"Moses Flees to Midian",15,17
exo,2,8,"Moses Flees to Midian",18,18
exo,2,9,"Moses Flees to Midian",19,19
exo,2,10,"Moses Flees to Midian",20,20
exo,2,11,"Moses Flees to Midian",21,22
exo,2,12,"Moses Flees to Midian",23,25
exo,3,1,"Moses and the Burning Bush",1,3
exo,3,2,"Moses and the Burning Bush",4,4
exo,3,3,"Moses and the Burning Bush",4,4
exo,3,4,"Moses and the Burning Bush",5,6
exo,3,5,"Moses and the Burning Bush",7,10
exo,3,6,"Moses and the Burning Bush",11,11
exo,3,7,"Moses and the Burning Bush",12,12
exo,3,8,"Moses and the Burning Bush",13,13
exo,3,9,"Moses and the Burning Bush",14,14
exo,3,10,"Moses and the Burning Bush",15,15
exo,3,11,"Moses and the Burning Bush",15,15
exo,3,12,"Moses and the Burning Bush",16,17
exo,3,13,"Moses and the Burning Bush",18,20
exo,3,14,"Moses and the Burning Bush",21,22
exo,4,1,"Signs for Moses",1,1
exo,4,2,"Signs for Moses",2,2
exo,4,3,"Signs for Moses",2,2
exo,4,4,"Signs for Moses",3,3
exo,4,5,"Signs for Moses",3,5
exo,4,6,"Signs for Moses",6,6
exo,4,7,"Signs for Moses",7,7
exo,4,8,"Signs for Moses",8,9
exo,4,9,"Signs for Moses",10,10
exo,4,10,"Signs for Moses",11,12
exo,4,11,"Signs for Moses",13,13
exo,4,12,"Signs for Moses",14,17
exo,4,13,"Moses Returns to Egypt",18,18
exo,4,14,"Moses Returns to Egypt",18,18
exo,4,15,"Moses Returns to Egypt",19,20
exo,4,16,"Moses Returns to Egypt",21,23
exo,4,17,"Moses Returns to Egypt",24,26
exo,4,18,"Moses Returns to Egypt",27,28
exo,4,19,"Moses Returns to Egypt",29,31
exo,5,1,"Bricks Without Straw",1,1
exo,5,2,"Bricks Without Straw",2,2
exo,5,3,"Bricks Without Straw",3,3
exo,5,4,"Bricks Without Straw",4,5
exo,5,5,"Bricks Without Straw",6,9
exo,5,6,"Bricks Without Straw",10,14
exo,5,7,"Bricks Without Straw",15,16
exo,5,8,"Bricks Without Straw",17,18
exo,5,9,"Bricks Without Straw",19,21
exo,5,10,"God Promises Deliverance",22,23
exo,6,1,"(无小标题)",1,1
exo,6,2,"(无小标题)",2,5
exo,6,3,"(无小标题)",6,8
exo,6,4,"(无小标题)",9,9
exo,6,5,"(无小标题)",10,11
exo,6,6,"(无小标题)",12,12
exo,6,7,"Family Record of Moses and Aaron",13,13
exo,6,8,"Family Record of Moses and Aaron",26,27
exo,6,9,"Aaron to Speak for Moses",28,29
exo,6,10,"Aaron to Speak for Moses",30,30
exo,7,1,"(无小标题)",1,5
exo,7,2,"(无小标题)",6,7
exo,7,3,"Aaron’s Staff Becomes a Snake",8,9
exo,7,4,"Aaron’s Staff Becomes a Snake",10,13
exo,7,5,"The Plague of Blood",14,18
exo,7,6,"The Plague of Blood",19,19
exo,7,7,"The Plague of Blood",20,21
exo,7,8,"The Plague of Blood",22,24
exo,7,9,"The Plague of Frogs",25,25
exo,8,1,"(无小标题)",1,4
exo,8,2,"(无小标题)",5,5
exo,8,3,"(无小标题)",6,7
exo,8,4,"(无小标题)",8,8
exo,8,5,"(无小标题)",9,9
exo,8,6,"(无小标题)",10,10
exo,8,7,"(无小标题)",10,11
exo,8,8,"(无小标题)",12,15
exo,8,9,"The Plague of Gnats",16,18
exo,8,10,"The Plague of Gnats",18,19
exo,8,11,"The Plague of Flies",20,21
exo,8,12,"The Plague of Flies",22,23
exo,8,13,"The Plague of Flies",24,24
exo,8,14,"The Plague of Flies",25,25
exo,8,15,"The Plague of Flies",26,27
exo,8,16,"The Plague of Flies",28,28
exo,8,17,"The Plague of Flies",29,29
exo,8,18,"The Plague of Flies",30,32
exo,9,1,"The Plague on Livestock",1,4
exo,9,2,"The Plague on Livestock",5,7
exo,9,3,"The Plague of Boils",8,9
exo,9,4,"The Plague of Boils",10,12
exo,9,5,"The Plague of Hail",13,19
exo,9,6,"The Plague of Hail",20,21
exo,9,7,"The Plague of Hail",22,26
exo,9,8,"The Plague of Hail",27,28
exo,9,9,"The Plague of Hail",29,30
exo,9,10,"The Plague of Hail",31,32
exo,9,11,"The Plague of Hail",33,35
exo,10,1,"The Plague of Locusts",1,2
exo,10,2,"The Plague of Locusts",3,6
exo,10,3,"The Plague of Locusts",7,7
exo,10,4,"The Plague of Locusts",8,8
exo,10,5,"The Plague of Locusts",9,9
exo,10,6,"The Plague of Locusts",10,11
exo,10,7,"The Plague of Locusts",12,12
exo,10,8,"The Plague of Locusts",13,15
exo,10,9,"The Plague of Locusts",16,17
exo,10,10,"The Plague of Locusts",18,20
exo,10,11,"The Plague of Darkness",21,23
exo,10,12,"The Plague of Darkness",24,24
exo,10,13,"The Plague of Darkness",25,26
exo,10,14,"The Plague of Darkness",27,28
exo,10,15,"The Plague of Darkness",29,29
exo,11,1,"The Plague on the Firstborn",1,3
exo,11,2,"The Plague on the Firstborn",4,8
exo,11,3,"The Plague on the Firstborn",9,10
exo,12,1,"The Passover and the Festival of Unleavened Bread(A)",1,11
exo,12,2,"The Passover and the Festival of Unleavened Bread(A)",12,13
exo,12,3,"The Passover and the Festival of Unleavened Bread(A)",14,16
exo,12,4,"The Passover and the Festival of Unleavened Bread(A)",17,20
exo,12,5,"The Passover and the Festival of Unleavened Bread(A)",21,23
exo,12,6,"The Passover and the Festival of Unleavened Bread(A)",24,28
exo,12,7,"The Passover and the Festival of Unleavened Bread(A)",29,30
exo,12,8,"The Exodus",31,32
exo,12,9,"The Exodus",33,36
exo,12,10,"The Exodus",37,39
exo,12,11,"The Exodus",40,42
exo,12,12,"Passover Restrictions",43,43
exo,12,13,"Passover Restrictions",43,45
exo,12,14,"Passover Restrictions",46,47
exo,12,15,"Passover Restrictions",48,49
exo,12,16,"Passover Restrictions",50,51
exo,13,1,"Consecration of the Firstborn",1,2
exo,13,2,"Consecration of the Firstborn",3,10
exo,13,3,"Consecration of the Firstborn",11,13
exo,13,4,"Consecration of the Firstborn",14,16
exo,13,5,"Crossing the Sea",17,18
exo,13,6,"Crossing the Sea",19,19
exo,13,7,"Crossing the Sea",20,22
exo,14,1,"(无小标题)",1,4
exo,14,2,"(无小标题)",5,9
exo,14,3,"(无小标题)",10,12
exo,14,4,"(无小标题)",13,14
exo,14,5,"(无小标题)",15,18
exo,14,6,"(无小标题)",19,20
exo,14,7,"(无小标题)",21,22
exo,14,8,"(无小标题)",23,25
