book,chapter,paragraph,title,startVerseNo,endVerseNo
act,1,1,"Jesus Taken Up Into Heaven",1,5
act,1,2,"Jesus Taken Up Into Heaven",6,6
act,1,3,"Jesus Taken Up Into Heaven",7,8
act,1,4,"Jesus Taken Up Into Heaven",9,9
act,1,5,"Jesus Taken Up Into Heaven",10,11
act,1,6,"Matthias Chosen to Replace Judas",12,14
act,1,7,"Matthias Chosen to Replace Judas",15,17
act,1,8,"Matthias Chosen to Replace Judas",18,19
act,1,9,"Matthias Chosen to Replace Judas",20,20
act,1,10,"Matthias Chosen to Replace Judas",20,20
act,1,11,"Matthias Chosen to Replace Judas",20,20
act,1,12,"Matthias Chosen to Replace Judas",20,20
act,1,13,"Matthias Chosen to Replace Judas",21,22
act,1,14,"Matthias Chosen to Replace Judas",23,26
act,2,1,"The Holy Spirit Comes at Pentecost",1,4
act,2,2,"The Holy Spirit Comes at Pentecost",5,12
act,2,3,"The Holy Spirit Comes at Pentecost",13,13
act,2,4,"Peter Addresses the Crowd",14,16
act,2,5,"Peter Addresses the Crowd",17,21
act,2,6,"Peter Addresses the Crowd",22,25
act,2,7,"Peter Addresses the Crowd",25,28
act,2,8,"Peter Addresses the Crowd",29,34
act,2,9,"Peter Addresses the Crowd",34,35
act,2,10,"Peter Addresses the Crowd",36,36
act,2,11,"Peter Addresses the Crowd",37,37
act,2,12,"Peter Addresses the Crowd",38,39
act,2,13,"Peter Addresses the Crowd",40,41
act,2,14,"The Fellowship of the Believers",42,47
act,3,1,"Peter Heals a Lame Beggar",1,5
act,3,2,"Peter Heals a Lame Beggar",6,10
act,3,3,"Peter Speaks to the Onlookers",11,16
act,3,4,"Peter Speaks to the Onlookers",17,23
act,3,5,"Peter Speaks to the Onlookers",24,26
act,4,1,"Peter and John Before the Sanhedrin",1,4
act,4,2,"Peter and John Before the Sanhedrin",5,7
act,4,3,"Peter and John Before the Sanhedrin",8,11
act,4,4,"Peter and John Before the Sanhedrin",11,11
act,4,5,"Peter and John Before the Sanhedrin",12,12
act,4,6,"Peter and John Before the Sanhedrin",13,17
act,4,7,"Peter and John Before the Sanhedrin",18,20
act,4,8,"Peter and John Before the Sanhedrin",21,22
act,4,9,"The Believers Pray",23,25
act,4,10,"The Believers Pray",25,26
act,4,11,"The Believers Pray",27,30
act,4,12,"The Believers Pray",31,31
act,4,13,"The Believers Share Their Possessions",32,35
act,4,14,"The Believers Share Their Possessions",36,37
act,5,1,"Ananias and Sapphira",1,2
act,5,2,"Ananias and Sapphira",3,4
act,5,3,"Ananias and Sapphira",5,6
act,5,4,"Ananias and Sapphira",7,8
