book,chapter,paragraph,title,startVerseNo,endVerseNo
est,1,1,"Queen Vashti Deposed",1,3
est,1,2,"Queen Vashti Deposed",4,8
est,1,3,"Queen Vashti Deposed",9,9
est,1,4,"Queen Vashti Deposed",10,12
est,1,5,"Queen Vashti Deposed",13,14
est,1,6,"Queen Vashti Deposed",15,15
est,1,7,"Queen Vashti Deposed",16,18
est,1,8,"Queen Vashti Deposed",19,20
est,1,9,"Queen Vashti Deposed",21,22
est,2,1,"Esther Made Queen",1,4
est,2,2,"Esther Made Queen",5,7
est,2,3,"Esther Made Queen",8,9
est,2,4,"Esther Made Queen",10,11
est,2,5,"Esther Made Queen",12,14
est,2,6,"Esther Made Queen",15,16
est,2,7,"Esther Made Queen",17,18
est,2,8,"Mordecai Uncovers a Conspiracy",19,20
est,2,9,"Mordecai Uncovers a Conspiracy",21,23
est,3,1,"Haman’s Plot to Destroy the Jews",1,2
est,3,2,"Haman’s Plot to Destroy the Jews",3,4
est,3,3,"Haman’s Plot to Destroy the Jews",5,6
est,3,4,"Haman’s Plot to Destroy the Jews",7,7
est,3,5,"Haman’s Plot to Destroy the Jews",8,9
est,3,6,"Haman’s Plot to Destroy the Jews",10,11
est,3,7,"Haman’s Plot to Destroy the Jews",12,14
est,3,8,"Haman’s Plot to Destroy the Jews",15,15
est,4,1,"Mordecai Persuades Esther to Help",1,3
est,4,2,"Mordecai Persuades Esther to Help",4,5
est,4,3,"Mordecai Persuades Esther to Help",6,8
est,4,4,"Mordecai Persuades Esther to Help",9,11
est,4,5,"Mordecai Persuades Esther to Help",12,14
est,4,6,"Mordecai Persuades Esther to Help",15,16
est,4,7,"Mordecai Persuades Esther to Help",17,17
est,5,1,"Esther’s Request to the King",1,2
est,5,2,"Esther’s Request to the King",3,3
est,5,3,"Esther’s Request to the King",4,4
est,5,4,"Esther’s Request to the King",5,5
est,5,5,"Esther’s Request to the King",5,6
est,5,6,"Esther’s Request to the King",7,8
est,5,7,"Haman’s Rage Against Mordecai",9,10
est,5,8,"Haman’s Rage Against Mordecai",10,13
est,5,9,"Haman’s Rage Against Mordecai",14,14
est,6,1,"Mordecai Honored",1,2
est,6,2,"Mordecai Honored",3,3
est,6,3,"Mordecai Honored",3,3
est,6,4,"Mordecai Honored",4,4
est,6,5,"Mordecai Honored",5,5
est,6,6,"Mordecai Honored",5,5
est,6,7,"Mordecai Honored",6,6
est,6,8,"Mordecai Honored",6,9
est,6,9,"Mordecai Honored",10,10
est,6,10,"Mordecai Honored",11,11
est,6,11,"Mordecai Honored",12,13
est,6,12,"Mordecai Honored",13,14
est,7,1,"Haman Impaled",1,2
est,7,2,"Haman Impaled",3,4
est,7,3,"Haman Impaled",5,5
est,7,4,"Haman Impaled",6,6
est,7,5,"Haman Impaled",6,7
est,7,6,"Haman Impaled",8,8
est,7,7,"Haman Impaled",8,8
est,7,8,"Haman Impaled",8,9
est,7,9,"Haman Impaled",9,10
est,8,1,"The King’s Edict in Behalf of the Jews",1,2
est,8,2,"The King’s Edict in Behalf of the Jews",3,4
est,8,3,"The King’s Edict in Behalf of the Jews",5,6
est,8,4,"The King’s Edict in Behalf of the Jews",7,8
est,8,5,"The King’s Edict in Behalf of the Jews",9,10
est,8,6,"The King’s Edict in Behalf of the Jews",11,13
est,8,7,"The King’s Edict in Behalf of the Jews",14,14
est,8,8,"The Triumph of the Jews",15,17
est,9,1,"(无小标题)",1,4
est,9,2,"(无小标题)",5,10
est,9,3,"(无小标题)",11,12
est,9,4,"(无小标题)",13,13
est,9,5,"(无小标题)",14,15
est,9,6,"(无小标题)",16,17
est,9,7,"(无小标题)",18,18
est,9,8,"(无小标题)",19,19
est,9,9,"Purim Established",20,22
est,9,10,"Purim Established",23,28
est,9,11,"Purim Established",29,32
est,10,1,"The Greatness of Mordecai",1,3
