book,chapter,paragraph,title,startVerseNo,endVerseNo
hab,1,1,"(无小标题)",1,1
hab,1,2,"Habakkuk’s Complaint",2,4
hab,1,3,"The Lord’s Answer",5,11
hab,1,4,"Habakkuk’s Second Complaint",12,17
hab,2,1,"(无小标题)",1,1
hab,2,2,"The Lord’s Answer",2,2
hab,2,3,"The Lord’s Answer",2,3
hab,2,4,"The Lord’s Answer",4,5
hab,2,5,"The Lord’s Answer",6,6
hab,2,6,"The Lord’s Answer",6,8
hab,2,7,"The Lord’s Answer",9,11
hab,2,8,"The Lord’s Answer",12,14
hab,2,9,"The Lord’s Answer",15,17
hab,2,10,"The Lord’s Answer",18,19
hab,2,11,"The Lord’s Answer",20,20
hab,3,1,"Habakkuk’s Prayer",1,1
hab,3,2,"Habakkuk’s Prayer",2,2
hab,3,3,"Habakkuk’s Prayer",3,7
hab,3,4,"Habakkuk’s Prayer",8,10
hab,3,5,"Habakkuk’s Prayer",11,15
hab,3,6,"Habakkuk’s Prayer",16,18
hab,3,7,"Habakkuk’s Prayer",19,19
hab,3,8,"Habakkuk’s Prayer",19,19
