book,chapter,paragraph,title,startVerseNo,endVerseNo
hag,1,1,"A Call to Build the House of the Lord",1,1
hag,1,2,"A Call to Build the House of the Lord",2,2
hag,1,3,"A Call to Build the House of the Lord",3,4
hag,1,4,"A Call to Build the House of the Lord",5,6
hag,1,5,"A Call to Build the House of the Lord",7,11
hag,1,6,"A Call to Build the House of the Lord",12,12
hag,1,7,"A Call to Build the House of the Lord",13,15
hag,1,8,"The Promised Glory of the New House",15,15
hag,2,1,"(无小标题)",1,5
hag,2,2,"(无小标题)",6,9
hag,2,3,"Blessings for a Defiled People",10,12
hag,2,4,"Blessings for a Defiled People",12,12
hag,2,5,"Blessings for a Defiled People",13,13
hag,2,6,"Blessings for a Defiled People",13,13
hag,2,7,"Blessings for a Defiled People",14,14
hag,2,8,"Blessings for a Defiled People",15,19
hag,2,9,"Blessings for a Defiled People",19,19
hag,2,10,"Zerubbabel the Lord’s Signet Ring",20,22
hag,2,11,"Zerubbabel the Lord’s Signet Ring",23,23
