book,chapter,paragraph,title,startVerseNo,endVerseNo
jas,1,1,"(无小标题)",1,1
jas,1,2,"(无小标题)",1,1
jas,1,3,"(无小标题)",1,1
jas,1,4,"Trials and Temptations",2,8
jas,1,5,"Trials and Temptations",9,11
jas,1,6,"Trials and Temptations",12,12
jas,1,7,"Trials and Temptations",13,15
jas,1,8,"Trials and Temptations",16,18
jas,1,9,"Listening and Doing",19,21
jas,1,10,"Listening and Doing",22,25
jas,1,11,"Listening and Doing",26,27
jas,2,1,"Favoritism Forbidden",1,4
jas,2,2,"Favoritism Forbidden",5,7
jas,2,3,"Favoritism Forbidden",8,11
jas,2,4,"Favoritism Forbidden",12,13
jas,2,5,"Faith and Deeds",14,17
jas,2,6,"Faith and Deeds",18,18
jas,2,7,"Faith and Deeds",18,19
jas,2,8,"Faith and Deeds",20,24
jas,2,9,"Faith and Deeds",25,26
jas,3,1,"Taming the Tongue",1,2
jas,3,2,"Taming the Tongue",3,6
jas,3,3,"Taming the Tongue",7,8
jas,3,4,"Taming the Tongue",9,12
jas,3,5,"Two Kinds of Wisdom",13,16
jas,3,6,"Two Kinds of Wisdom",17,18
jas,4,1,"Submit Yourselves to God",1,3
jas,4,2,"Submit Yourselves to God",4,6
jas,4,3,"Submit Yourselves to God",6,6
jas,4,4,"Submit Yourselves to God",7,10
jas,4,5,"Submit Yourselves to God",11,12
jas,4,6,"Boasting About Tomorrow",13,17
jas,5,1,"Warning to Rich Oppressors",1,6
jas,5,2,"Patience in Suffering",7,9
jas,5,3,"Patience in Suffering",10,11
jas,5,4,"Patience in Suffering",12,12
jas,5,5,"The Prayer of Faith",13,16
jas,5,6,"The Prayer of Faith",17,18
jas,5,7,"The Prayer of Faith",19,20
