book,chapter,paragraph,title,startVerseNo,endVerseNo
jdg,1,1,"Israel Fights the Remaining Canaanites(A)",1,1
jdg,1,2,"Israel Fights the Remaining Canaanites(A)",2,2
jdg,1,3,"Israel Fights the Remaining Canaanites(A)",3,3
jdg,1,4,"Israel Fights the Remaining Canaanites(A)",4,6
jdg,1,5,"Israel Fights the Remaining Canaanites(A)",7,7
jdg,1,6,"Israel Fights the Remaining Canaanites(A)",8,8
jdg,1,7,"Israel Fights the Remaining Canaanites(A)",9,11
jdg,1,8,"Israel Fights the Remaining Canaanites(A)",12,13
jdg,1,9,"Israel Fights the Remaining Canaanites(A)",14,14
jdg,1,10,"Israel Fights the Remaining Canaanites(A)",15,15
jdg,1,11,"Israel Fights the Remaining Canaanites(A)",16,16
jdg,1,12,"Israel Fights the Remaining Canaanites(A)",17,18
jdg,1,13,"Israel Fights the Remaining Canaanites(A)",19,21
jdg,1,14,"Israel Fights the Remaining Canaanites(A)",22,26
jdg,1,15,"Israel Fights the Remaining Canaanites(A)",27,36
jdg,2,1,"The Angel of the Lord at Bokim",1,3
jdg,2,2,"The Angel of the Lord at Bokim",4,5
jdg,2,3,"Disobedience and Defeat(O)",6,7
jdg,2,4,"Disobedience and Defeat(O)",8,9
jdg,2,5,"Disobedience and Defeat(O)",10,15
jdg,2,6,"Disobedience and Defeat(O)",16,19
jdg,2,7,"Disobedience and Defeat(O)",20,23
jdg,3,1,"(无小标题)",1,4
jdg,3,2,"(无小标题)",5,6
jdg,3,3,"Othniel",7,11
jdg,3,4,"Ehud",12,14
jdg,3,5,"Ehud",15,19
jdg,3,6,"Ehud",19,19
jdg,3,7,"Ehud",20,23
jdg,3,8,"Ehud",24,25
jdg,3,9,"Ehud",26,27
jdg,3,10,"Ehud",28,30
jdg,3,11,"Shamgar",31,31
jdg,4,1,"Deborah",1,3
jdg,4,2,"Deborah",4,7
jdg,4,3,"Deborah",8,8
jdg,4,4,"Deborah",9,10
jdg,4,5,"Deborah",11,11
jdg,4,6,"Deborah",12,13
jdg,4,7,"Deborah",14,15
jdg,4,8,"Deborah",16,17
jdg,4,9,"Deborah",18,18
jdg,4,10,"Deborah",19,19
jdg,4,11,"Deborah",20,20
jdg,4,12,"Deborah",21,21
jdg,4,13,"Deborah",22,22
jdg,4,14,"Deborah",23,24
jdg,5,1,"The Song of Deborah",1,1
jdg,5,2,"The Song of Deborah",2,2
jdg,5,3,"The Song of Deborah",3,3
jdg,5,4,"The Song of Deborah",4,5
jdg,5,5,"The Song of Deborah",6,9
jdg,5,6,"The Song of Deborah",10,11
jdg,5,7,"The Song of Deborah",11,12
jdg,5,8,"The Song of Deborah",13,18
jdg,5,9,"The Song of Deborah",19,23
jdg,5,10,"The Song of Deborah",24,27
jdg,5,11,"The Song of Deborah",28,30
jdg,5,12,"The Song of Deborah",31,31
jdg,5,13,"The Song of Deborah",31,31
jdg,6,1,"Gideon",1,6
jdg,6,2,"Gideon",7,10
jdg,6,3,"Gideon",11,12
jdg,6,4,"Gideon",13,13
jdg,6,5,"Gideon",14,14
jdg,6,6,"Gideon",15,15
jdg,6,7,"Gideon",16,16
jdg,6,8,"Gideon",17,18
jdg,6,9,"Gideon",18,18
jdg,6,10,"Gideon",19,19
jdg,6,11,"Gideon",20,22
jdg,6,12,"Gideon",23,23
jdg,6,13,"Gideon",24,24
jdg,6,14,"Gideon",25,26
jdg,6,15,"Gideon",27,27
jdg,6,16,"Gideon",28,28
jdg,6,17,"Gideon",29,29
jdg,6,18,"Gideon",29,29
jdg,6,19,"Gideon",30,30
jdg,6,20,"Gideon",31,32
jdg,6,21,"Gideon",33,35
jdg,6,22,"Gideon",36,38
jdg,6,23,"Gideon",39,40
jdg,7,1,"Gideon Defeats the Midianites",1,3
jdg,7,2,"Gideon Defeats the Midianites",4,4
jdg,7,3,"Gideon Defeats the Midianites",5,6
jdg,7,4,"Gideon Defeats the Midianites",7,8
jdg,7,5,"Gideon Defeats the Midianites",8,12
jdg,7,6,"Gideon Defeats the Midianites",13,13
jdg,7,7,"Gideon Defeats the Midianites",14,14
jdg,7,8,"Gideon Defeats the Midianites",15,16
jdg,7,9,"Gideon Defeats the Midianites",17,18
jdg,7,10,"Gideon Defeats the Midianites",19,21
jdg,7,11,"Gideon Defeats the Midianites",22,24
jdg,7,12,"Gideon Defeats the Midianites",24,25
jdg,8,1,"Zebah and Zalmunna",1,1
jdg,8,2,"Zebah and Zalmunna",2,3
jdg,8,3,"Zebah and Zalmunna",4,5
jdg,8,4,"Zebah and Zalmunna",6,6
jdg,8,5,"Zebah and Zalmunna",7,7
jdg,8,6,"Zebah and Zalmunna",8,9
jdg,8,7,"Zebah and Zalmunna",10,12
jdg,8,8,"Zebah and Zalmunna",13,17
jdg,8,9,"Zebah and Zalmunna",18,18
jdg,8,10,"Zebah and Zalmunna",18,18
jdg,8,11,"Zebah and Zalmunna",19,20
jdg,8,12,"Zebah and Zalmunna",21,21
jdg,8,13,"Gideon’s Ephod",22,22
jdg,8,14,"Gideon’s Ephod",23,24
jdg,8,15,"Gideon’s Ephod",25,27
jdg,8,16,"Gideon’s Death",28,28
jdg,8,17,"Gideon’s Death",29,32
jdg,8,18,"Gideon’s Death",33,35
jdg,9,1,"Abimelek",1,2
jdg,9,2,"Abimelek",3,6
jdg,9,3,"Abimelek",7,8
jdg,9,4,"Abimelek",9,9
jdg,9,5,"Abimelek",10,10
jdg,9,6,"Abimelek",11,11
jdg,9,7,"Abimelek",12,12
jdg,9,8,"Abimelek",13,13
jdg,9,9,"Abimelek",14,14
jdg,9,10,"Abimelek",15,15
jdg,9,11,"Abimelek",16,20
jdg,9,12,"Abimelek",21,21
jdg,9,13,"Abimelek",22,25
jdg,9,14,"Abimelek",26,29
jdg,9,15,"Abimelek",30,33
jdg,9,16,"Abimelek",34,35
jdg,9,17,"Abimelek",36,36
jdg,9,18,"Abimelek",36,36
jdg,9,19,"Abimelek",37,37
jdg,9,20,"Abimelek",38,38
jdg,9,21,"Abimelek",39,41
jdg,9,22,"Abimelek",42,45
jdg,9,23,"Abimelek",46,49
jdg,9,24,"Abimelek",50,53
jdg,9,25,"Abimelek",54,55
jdg,9,26,"Abimelek",56,57
jdg,10,1,"Tola",1,2
jdg,10,2,"Jair",3,5
jdg,10,3,"Jephthah",6,10
jdg,10,4,"Jephthah",11,14
jdg,10,5,"Jephthah",15,16
jdg,10,6,"Jephthah",17,18
jdg,11,1,"(无小标题)",1,3
jdg,11,2,"(无小标题)",4,6
jdg,11,3,"(无小标题)",7,7
jdg,11,4,"(无小标题)",8,8
jdg,11,5,"(无小标题)",9,9
jdg,11,6,"(无小标题)",10,11
jdg,11,7,"(无小标题)",12,12
jdg,11,8,"(无小标题)",13,13
jdg,11,9,"(无小标题)",14,15
jdg,11,10,"(无小标题)",28,28
jdg,11,11,"(无小标题)",29,31
jdg,11,12,"(无小标题)",32,33
jdg,11,13,"(无小标题)",34,35
jdg,11,14,"(无小标题)",36,37
jdg,11,15,"(无小标题)",38,39
jdg,11,16,"(无小标题)",39,40
jdg,12,1,"Jephthah and Ephraim",1,1
jdg,12,2,"Jephthah and Ephraim",2,3
jdg,12,3,"Jephthah and Ephraim",4,6
jdg,12,4,"Jephthah and Ephraim",7,7
jdg,12,5,"Ibzan, Elon and Abdon",8,10
jdg,12,6,"Ibzan, Elon and Abdon",11,12
