book,chapter,paragraph,title,startVerseNo,endVerseNo
job,1,1,"Prologue",1,3
job,1,2,"Prologue",4,5
job,1,3,"Prologue",6,7
job,1,4,"Prologue",7,7
job,1,5,"Prologue",8,8
job,1,6,"Prologue",9,11
job,1,7,"Prologue",12,12
job,1,8,"Prologue",12,12
job,1,9,"Prologue",13,15
job,1,10,"Prologue",16,16
job,1,11,"Prologue",17,17
job,1,12,"Prologue",18,19
job,1,13,"Prologue",20,21
job,1,14,"Prologue",21,21
job,1,15,"Prologue",22,22
job,2,1,"(无小标题)",1,2
job,2,2,"(无小标题)",2,2
job,2,3,"(无小标题)",3,3
job,2,4,"(无小标题)",4,5
job,2,5,"(无小标题)",6,6
job,2,6,"(无小标题)",7,8
job,2,7,"(无小标题)",9,9
job,2,8,"(无小标题)",10,10
job,2,9,"(无小标题)",10,10
job,2,10,"(无小标题)",11,13
job,3,1,"Job Speaks",1,2
job,3,2,"Job Speaks",3,10
job,3,3,"Job Speaks",11,19
job,3,4,"Job Speaks",20,26
job,4,1,"Eliphaz",1,1
job,4,2,"Eliphaz",2,6
job,4,3,"Eliphaz",7,11
job,4,4,"Eliphaz",12,21
job,5,1,"(无小标题)",1,7
job,5,2,"(无小标题)",8,16
job,5,3,"(无小标题)",17,26
job,5,4,"(无小标题)",27,27
job,6,1,"Job",1,1
job,6,2,"Job",2,7
job,6,3,"Job",8,10
job,6,4,"Job",11,13
job,6,5,"Job",14,23
job,6,6,"Job",24,27
job,6,7,"Job",28,30
job,7,1,"(无小标题)",1,5
job,7,2,"(无小标题)",6,10
job,7,3,"(无小标题)",11,16
job,7,4,"(无小标题)",17,21
job,8,1,"Bildad",1,1
job,8,2,"Bildad",2,7
job,8,3,"Bildad",8,19
job,8,4,"Bildad",20,22
job,9,1,"Job",1,1
job,9,2,"Job",2,13
job,9,3,"Job",14,20
job,9,4,"Job",21,24
job,9,5,"Job",25,31
job,9,6,"Job",32,35
job,10,1,"(无小标题)",1,7
job,10,2,"(无小标题)",8,12
job,10,3,"(无小标题)",13,17
job,10,4,"(无小标题)",18,22
job,11,1,"Zophar",1,1
job,11,2,"Zophar",2,6
job,11,3,"Zophar",7,9
job,11,4,"Zophar",10,12
job,11,5,"Zophar",13,20
job,12,1,"Job",1,1
job,12,2,"Job",2,3
job,12,3,"Job",4,6
job,12,4,"Job",7,12
job,12,5,"Job",13,25
job,13,1,"(无小标题)",1,12
job,13,2,"(无小标题)",13,19
job,13,3,"(无小标题)",20,27
job,13,4,"(无小标题)",28,28
job,14,1,"(无小标题)",1,6
job,14,2,"(无小标题)",7,12
job,14,3,"(无小标题)",13,17
job,14,4,"(无小标题)",18,22
job,15,1,"Eliphaz",1,1
job,15,2,"Eliphaz",2,6
job,15,3,"Eliphaz",7,13
job,15,4,"Eliphaz",14,16
job,15,5,"Eliphaz",17,26
job,15,6,"Eliphaz",27,35
job,16,1,"Job",1,1
job,16,2,"Job",2,5
job,16,3,"Job",6,14
job,16,4,"Job",15,17
job,16,5,"Job",18,21
job,16,6,"Job",22,22
job,17,1,"(无小标题)",1,2
job,17,2,"(无小标题)",3,5
job,17,3,"(无小标题)",6,9
job,17,4,"(无小标题)",10,16
job,18,1,"Bildad",1,1
job,18,2,"Bildad",2,4
job,18,3,"Bildad",5,21
job,19,1,"Job",1,1
job,19,2,"Job",2,6
job,19,3,"Job",7,12
job,19,4,"Job",13,20
job,19,5,"Job",21,22
job,19,6,"Job",23,27
job,19,7,"Job",28,29
job,20,1,"Zophar",1,1
job,20,2,"Zophar",2,3
job,20,3,"Zophar",4,11
job,20,4,"Zophar",12,19
job,20,5,"Zophar",20,29
job,21,1,"Job",1,1
job,21,2,"Job",2,3
job,21,3,"Job",4,16
job,21,4,"Job",17,21
job,21,5,"Job",22,26
job,21,6,"Job",27,33
job,21,7,"Job",34,34
job,22,1,"Eliphaz",1,1
job,22,2,"Eliphaz",2,3
job,22,3,"Eliphaz",4,11
job,22,4,"Eliphaz",12,20
job,22,5,"Eliphaz",21,30
job,23,1,"Job",1,1
job,23,2,"Job",2,7
job,23,3,"Job",8,12
job,23,4,"Job",13,17
job,24,1,"(无小标题)",1,12
job,24,2,"(无小标题)",13,17
job,24,3,"(无小标题)",18,24
job,24,4,"(无小标题)",25,25
job,25,1,"Bildad",1,1
job,25,2,"Bildad",2,6
job,26,1,"Job",1,1
job,26,2,"Job",2,4
job,26,3,"Job",5,14
job,27,1,"Job’s Final Word to His Friends",1,1
job,27,2,"Job’s Final Word to His Friends",2,6
job,27,3,"Job’s Final Word to His Friends",7,10
job,27,4,"Job’s Final Word to His Friends",11,12
job,27,5,"Job’s Final Word to His Friends",13,23
job,28,1,"Interlude: Where Wisdom Is Found",1,11
job,28,2,"Interlude: Where Wisdom Is Found",12,19
job,28,3,"Interlude: Where Wisdom Is Found",20,28
job,29,1,"Job’s Final Defense",1,1
job,29,2,"Job’s Final Defense",2,6
job,29,3,"Job’s Final Defense",7,17
job,29,4,"Job’s Final Defense",18,20
job,29,5,"Job’s Final Defense",21,25
job,30,1,"(无小标题)",1,8
job,30,2,"(无小标题)",9,15
job,30,3,"(无小标题)",16,19
job,30,4,"(无小标题)",20,23
job,30,5,"(无小标题)",24,31
job,31,1,"(无小标题)",1,4
job,31,2,"(无小标题)",5,8
job,31,3,"(无小标题)",9,12
job,31,4,"(无小标题)",13,15
job,31,5,"(无小标题)",16,23
job,31,6,"(无小标题)",24,28
job,31,7,"(无小标题)",29,34
job,31,8,"(无小标题)",35,37
job,31,9,"(无小标题)",38,40
job,31,10,"(无小标题)",40,40
job,32,1,"Elihu",1,5
job,32,2,"Elihu",6,6
job,32,3,"Elihu",6,9
job,32,4,"Elihu",10,14
job,32,5,"Elihu",15,22
job,33,1,"(无小标题)",1,7
job,33,2,"(无小标题)",8,11
job,33,3,"(无小标题)",12,18
job,33,4,"(无小标题)",19,28
job,33,5,"(无小标题)",29,30
job,33,6,"(无小标题)",31,33
job,34,1,"(无小标题)",1,1
job,34,2,"(无小标题)",2,4
job,34,3,"(无小标题)",5,9
job,34,4,"(无小标题)",10,15
job,34,5,"(无小标题)",16,20
job,34,6,"(无小标题)",21,30
job,34,7,"(无小标题)",31,33
job,34,8,"(无小标题)",34,37
job,35,1,"(无小标题)",1,1
job,35,2,"(无小标题)",2,3
job,35,3,"(无小标题)",4,8
job,35,4,"(无小标题)",9,16
job,36,1,"(无小标题)",1,1
job,36,2,"(无小标题)",2,4
job,36,3,"(无小标题)",5,12
job,36,4,"(无小标题)",13,15
job,36,5,"(无小标题)",16,21
job,36,6,"(无小标题)",22,26
job,36,7,"(无小标题)",27,33
job,37,1,"(无小标题)",1,13
job,37,2,"(无小标题)",14,18
job,37,3,"(无小标题)",19,24
job,38,1,"The Lord Speaks",1,1
job,38,2,"The Lord Speaks",2,3
job,38,3,"The Lord Speaks",4,7
job,38,4,"The Lord Speaks",8,11
job,38,5,"The Lord Speaks",12,15
job,38,6,"The Lord Speaks",16,18
job,38,7,"The Lord Speaks",19,21
job,38,8,"The Lord Speaks",22,30
job,38,9,"The Lord Speaks",31,33
job,38,10,"The Lord Speaks",34,38
job,38,11,"The Lord Speaks",39,41
job,39,1,"(无小标题)",1,4
job,39,2,"(无小标题)",5,8
job,39,3,"(无小标题)",9,12
job,39,4,"(无小标题)",13,18
job,39,5,"(无小标题)",19,25
job,39,6,"(无小标题)",26,30
job,40,1,"(无小标题)",1,1
job,40,2,"(无小标题)",2,2
job,40,3,"(无小标题)",3,3
job,40,4,"(无小标题)",4,5
job,40,5,"(无小标题)",6,6
job,40,6,"(无小标题)",7,7
job,40,7,"(无小标题)",8,14
job,40,8,"(无小标题)",15,24
job,41,1,"(无小标题)",1,11
job,41,2,"(无小标题)",12,34
job,42,1,"Job",1,1
job,42,2,"Job",2,3
job,42,3,"Job",4,6
job,42,4,"Epilogue",7,9
job,42,5,"Epilogue",10,11
job,42,6,"Epilogue",12,15
job,42,7,"Epilogue",16,17
