book,chapter,paragraph,title,startVerseNo,endVerseNo
nahum,1,1,"(无小标题)",1,1
nahum,1,2,"The Lord’s Anger Against Nineveh",2,6
nahum,1,3,"The Lord’s Anger Against Nineveh",7,8
nahum,1,4,"The Lord’s Anger Against Nineveh",9,11
nahum,1,5,"The Lord’s Anger Against Nineveh",12,12
nahum,1,6,"The Lord’s Anger Against Nineveh",12,13
nahum,1,7,"The Lord’s Anger Against Nineveh",14,14
nahum,1,8,"The Lord’s Anger Against Nineveh",15,15
nahum,2,1,"Nineveh to Fall",1,1
nahum,2,2,"Nineveh to Fall",2,2
nahum,2,3,"Nineveh to Fall",3,4
nahum,2,4,"Nineveh to Fall",5,10
nahum,2,5,"Nineveh to Fall",11,12
nahum,2,6,"Nineveh to Fall",13,13
nahum,3,1,"Woe to Nineveh",1,4
nahum,3,2,"Woe to Nineveh",5,7
nahum,3,3,"Woe to Nineveh",8,11
nahum,3,4,"Woe to Nineveh",12,13
nahum,3,5,"Woe to Nineveh",14,17
nahum,3,6,"Woe to Nineveh",18,19
