book,chapter,paragraph,title,startVerseNo,endVerseNo
neh,1,1,"Nehemiah’s Prayer",1,1
neh,1,2,"Nehemiah’s Prayer",1,2
neh,1,3,"Nehemiah’s Prayer",3,3
neh,1,4,"Nehemiah’s Prayer",4,5
neh,1,5,"Nehemiah’s Prayer",11,11
neh,2,1,"Artaxerxes Sends Nehemiah to Jerusalem",1,2
neh,2,2,"Artaxerxes Sends Nehemiah to Jerusalem",2,3
neh,2,3,"Artaxerxes Sends Nehemiah to Jerusalem",4,4
neh,2,4,"Artaxerxes Sends Nehemiah to Jerusalem",4,5
neh,2,5,"Artaxerxes Sends Nehemiah to Jerusalem",6,6
neh,2,6,"Artaxerxes Sends Nehemiah to Jerusalem",7,9
neh,2,7,"Artaxerxes Sends Nehemiah to Jerusalem",10,10
neh,2,8,"Nehemiah Inspects Jerusalem’s Walls",11,12
neh,2,9,"Nehemiah Inspects Jerusalem’s Walls",13,16
neh,2,10,"Nehemiah Inspects Jerusalem’s Walls",17,18
neh,2,11,"Nehemiah Inspects Jerusalem’s Walls",18,18
neh,2,12,"Nehemiah Inspects Jerusalem’s Walls",19,19
neh,2,13,"Nehemiah Inspects Jerusalem’s Walls",20,20
neh,3,1,"Builders of the Wall",1,2
neh,3,2,"Builders of the Wall",3,5
neh,3,3,"Builders of the Wall",6,12
neh,3,4,"Builders of the Wall",13,13
neh,3,5,"Builders of the Wall",14,14
neh,3,6,"Builders of the Wall",15,16
neh,3,7,"Builders of the Wall",17,21
neh,3,8,"Builders of the Wall",22,27
neh,3,9,"Builders of the Wall",28,32
neh,4,1,"Opposition to the Rebuilding",1,2
neh,4,2,"Opposition to the Rebuilding",3,3
neh,4,3,"Opposition to the Rebuilding",4,5
neh,4,4,"Opposition to the Rebuilding",6,6
neh,4,5,"Opposition to the Rebuilding",7,9
neh,4,6,"Opposition to the Rebuilding",10,10
neh,4,7,"Opposition to the Rebuilding",11,11
neh,4,8,"Opposition to the Rebuilding",12,12
neh,4,9,"Opposition to the Rebuilding",13,14
neh,4,10,"Opposition to the Rebuilding",15,15
neh,4,11,"Opposition to the Rebuilding",16,18
neh,4,12,"Opposition to the Rebuilding",19,20
neh,4,13,"Opposition to the Rebuilding",21,23
