book,chapter,paragraph,title,startVerseNo,endVerseNo
psa,1,1,"Psalm 1",1,3
psa,1,2,"Psalm 1",1,3
psa,1,3,"Psalm 1",4,5
psa,1,4,"Psalm 1",4,5
psa,1,5,"Psalm 1",6,6
psa,1,6,"Psalm 1",6,6
psa,2,1,"Psalm 2",1,3
psa,2,2,"Psalm 2",1,3
psa,2,3,"Psalm 2",4,6
psa,2,4,"Psalm 2",4,6
psa,2,5,"Psalm 2",7,7
psa,2,6,"Psalm 2",7,9
psa,2,7,"Psalm 2",7,9
psa,2,8,"Psalm 2",10,12
psa,2,9,"Psalm 2",10,12
psa,3,1,"A psalm of David. When he fled from his son Absalom.(A)",1,2
psa,3,2,"A psalm of David. When he fled from his son Absalom.(A)",1,2
psa,3,3,"A psalm of David. When he fled from his son Absalom.(A)",3,4
psa,3,4,"A psalm of David. When he fled from his son Absalom.(A)",3,4
psa,3,5,"A psalm of David. When he fled from his son Absalom.(A)",5,6
psa,3,6,"A psalm of David. When he fled from his son Absalom.(A)",5,6
psa,3,7,"A psalm of David. When he fled from his son Absalom.(A)",7,7
psa,3,8,"A psalm of David. When he fled from his son Absalom.(A)",7,7
psa,3,9,"A psalm of David. When he fled from his son Absalom.(A)",8,8
psa,3,10,"A psalm of David. When he fled from his son Absalom.(A)",8,8
psa,4,1,"For the director of music. With stringed instruments. A psalm of David.",1,1
psa,4,2,"For the director of music. With stringed instruments. A psalm of David.",1,1
psa,4,3,"For the director of music. With stringed instruments. A psalm of David.",2,3
psa,4,4,"For the director of music. With stringed instruments. A psalm of David.",2,3
psa,4,5,"For the director of music. With stringed instruments. A psalm of David.",4,5
psa,4,6,"For the director of music. With stringed instruments. A psalm of David.",4,5
psa,4,7,"For the director of music. With stringed instruments. A psalm of David.",6,7
psa,4,8,"For the director of music. With stringed instruments. A psalm of David.",6,7
psa,4,9,"For the director of music. With stringed instruments. A psalm of David.",8,8
psa,4,10,"For the director of music. With stringed instruments. A psalm of David.",8,8
psa,5,1,"For the director of music. For pipes. A psalm of David.",1,2
psa,5,2,"For the director of music. For pipes. A psalm of David.",1,2
psa,5,3,"For the director of music. For pipes. A psalm of David.",3,7
psa,5,4,"For the director of music. For pipes. A psalm of David.",3,7
psa,5,5,"For the director of music. For pipes. A psalm of David.",8,11
psa,5,6,"For the director of music. For pipes. A psalm of David.",8,11
psa,5,7,"For the director of music. For pipes. A psalm of David.",12,12
psa,5,8,"For the director of music. For pipes. A psalm of David.",12,12
