book,chapter,paragraph,title,startVerseNo,endVerseNo
rev,1,1,"Prologue",1,3
rev,1,2,"Greetings and Doxology",4,4
rev,1,3,"Greetings and Doxology",4,4
rev,1,4,"Greetings and Doxology",4,5
rev,1,5,"Greetings and Doxology",5,6
rev,1,6,"Greetings and Doxology",7,7
rev,1,7,"Greetings and Doxology",8,8
rev,1,8,"John’s Vision of Christ",9,11
rev,1,9,"John’s Vision of Christ",12,16
rev,1,10,"John’s Vision of Christ",17,18
rev,1,11,"John’s Vision of Christ",19,20
rev,2,1,"To the Church in Ephesus",1,1
rev,2,2,"To the Church in Smyrna",8,8
rev,2,3,"To the Church in Pergamum",12,12
rev,2,4,"To the Church in Thyatira",18,18
rev,3,1,"To the Church in Sardis",1,1
rev,3,2,"To the Church in Philadelphia",7,7
rev,3,3,"To the Church in Laodicea",14,14
rev,4,1,"The Throne in Heaven",1,6
rev,4,2,"The Throne in Heaven",6,8
rev,4,3,"The Throne in Heaven",9,10
rev,4,4,"The Throne in Heaven",11,11
rev,5,1,"The Scroll and the Lamb",1,5
rev,5,2,"The Scroll and the Lamb",6,9
rev,5,3,"The Scroll and the Lamb",9,10
rev,5,4,"The Scroll and the Lamb",11,12
rev,5,5,"The Scroll and the Lamb",12,12
rev,5,6,"The Scroll and the Lamb",13,13
rev,5,7,"The Scroll and the Lamb",13,13
rev,5,8,"The Scroll and the Lamb",14,14
rev,6,1,"The Seals",1,2
rev,6,2,"The Seals",3,4
rev,6,3,"The Seals",5,6
rev,6,4,"The Seals",7,8
rev,6,5,"The Seals",9,11
rev,6,6,"The Seals",12,14
rev,6,7,"The Seals",15,17
rev,7,1,"144,000 Sealed",1,4
rev,7,2,"The Great Multitude in White Robes",9,10
rev,7,3,"The Great Multitude in White Robes",10,10
rev,7,4,"The Great Multitude in White Robes",11,12
rev,7,5,"The Great Multitude in White Robes",12,12
rev,7,6,"The Great Multitude in White Robes",13,13
rev,7,7,"The Great Multitude in White Robes",14,14
rev,7,8,"The Great Multitude in White Robes",14,15
rev,7,9,"The Great Multitude in White Robes",15,17
rev,8,1,"The Seventh Seal and the Golden Censer",1,1
rev,8,2,"The Seventh Seal and the Golden Censer",2,2
rev,8,3,"The Seventh Seal and the Golden Censer",3,5
rev,8,4,"The Trumpets",6,6
rev,8,5,"The Trumpets",7,7
rev,8,6,"The Trumpets",8,9
rev,8,7,"The Trumpets",10,11
