book,chapter,paragraph,title,startVerseNo,endVerseNo
rom,1,1,"(无小标题)",1,6
rom,1,2,"(无小标题)",7,7
rom,1,3,"(无小标题)",7,7
rom,1,4,"Paul’s Longing to Visit Rome",8,10
rom,1,5,"Paul’s Longing to Visit Rome",11,13
rom,1,6,"Paul’s Longing to Visit Rome",14,15
rom,1,7,"Paul’s Longing to Visit Rome",16,17
rom,1,8,"God’s Wrath Against Sinful Humanity",18,20
rom,1,9,"God’s Wrath Against Sinful Humanity",21,23
rom,1,10,"God’s Wrath Against Sinful Humanity",24,25
rom,1,11,"God’s Wrath Against Sinful Humanity",26,27
rom,1,12,"God’s Wrath Against Sinful Humanity",28,32
rom,2,1,"God’s Righteous Judgment",1,4
rom,2,2,"God’s Righteous Judgment",5,11
rom,2,3,"God’s Righteous Judgment",12,16
rom,2,4,"The Jews and the Law",17,24
rom,2,5,"The Jews and the Law",25,27
rom,2,6,"The Jews and the Law",28,29
rom,3,1,"God’s Faithfulness",1,2
rom,3,2,"God’s Faithfulness",3,4
rom,3,3,"God’s Faithfulness",4,4
rom,3,4,"God’s Faithfulness",5,8
rom,3,5,"No One Is Righteous",9,10
rom,3,6,"No One Is Righteous",10,18
rom,3,7,"No One Is Righteous",19,20
rom,3,8,"Righteousness Through Faith",21,26
rom,3,9,"Righteousness Through Faith",27,31
rom,4,1,"Abraham Justified by Faith",1,3
rom,4,2,"Abraham Justified by Faith",4,6
rom,4,3,"Abraham Justified by Faith",7,8
rom,4,4,"Abraham Justified by Faith",9,12
rom,4,5,"Abraham Justified by Faith",13,15
rom,4,6,"Abraham Justified by Faith",16,17
rom,4,7,"Abraham Justified by Faith",18,25
rom,5,1,"Peace and Hope",1,5
rom,5,2,"Peace and Hope",6,8
rom,5,3,"Peace and Hope",9,11
rom,5,4,"Death Through Adam, Life Through Christ",12,12
rom,5,5,"Death Through Adam, Life Through Christ",13,14
rom,5,6,"Death Through Adam, Life Through Christ",15,17
rom,5,7,"Death Through Adam, Life Through Christ",18,19
rom,5,8,"Death Through Adam, Life Through Christ",20,21
rom,6,1,"Dead to Sin, Alive in Christ",1,4
rom,6,2,"Dead to Sin, Alive in Christ",5,7
rom,6,3,"Dead to Sin, Alive in Christ",8,10
rom,6,4,"Dead to Sin, Alive in Christ",11,14
rom,6,5,"Slaves to Righteousness",15,18
rom,6,6,"Slaves to Righteousness",19,23
rom,7,1,"Released From the Law, Bound to Christ",1,3
rom,7,2,"Released From the Law, Bound to Christ",4,6
rom,7,3,"The Law and Sin",7,12
rom,7,4,"The Law and Sin",13,13
rom,7,5,"The Law and Sin",14,20
rom,7,6,"The Law and Sin",21,25
rom,7,7,"The Law and Sin",25,25
rom,8,1,"Life Through the Spirit",1,4
rom,8,2,"Life Through the Spirit",5,8
rom,8,3,"Life Through the Spirit",9,11
rom,8,4,"Life Through the Spirit",12,13
rom,8,5,"Life Through the Spirit",14,17
rom,8,6,"Present Suffering and Future Glory",18,21
rom,8,7,"Present Suffering and Future Glory",22,25
rom,8,8,"Present Suffering and Future Glory",26,27
rom,8,9,"Present Suffering and Future Glory",28,30
rom,8,10,"More Than Conquerors",31,36
rom,8,11,"More Than Conquerors",36,36
rom,8,12,"More Than Conquerors",37,39
rom,9,1,"Paul’s Anguish Over Israel",1,5
rom,9,2,"God’s Sovereign Choice",6,9
rom,9,3,"God’s Sovereign Choice",10,13
rom,9,4,"God’s Sovereign Choice",14,15
rom,9,5,"God’s Sovereign Choice",15,15
rom,9,6,"God’s Sovereign Choice",16,18
rom,9,7,"God’s Sovereign Choice",19,21
rom,9,8,"God’s Sovereign Choice",22,25
rom,9,9,"God’s Sovereign Choice",25,25
rom,9,10,"God’s Sovereign Choice",26,26
rom,9,11,"God’s Sovereign Choice",26,26
rom,9,12,"God’s Sovereign Choice",27,27
rom,9,13,"God’s Sovereign Choice",27,28
rom,9,14,"God’s Sovereign Choice",29,29
rom,9,15,"God’s Sovereign Choice",29,29
rom,9,16,"Israel’s Unbelief",30,33
rom,9,17,"Israel’s Unbelief",33,33
rom,10,1,"(无小标题)",1,4
rom,10,2,"(无小标题)",5,13
rom,10,3,"(无小标题)",14,15
rom,10,4,"(无小标题)",16,18
rom,10,5,"(无小标题)",18,18
rom,10,6,"(无小标题)",19,19
rom,10,7,"(无小标题)",19,19
rom,10,8,"(无小标题)",20,20
rom,10,9,"(无小标题)",20,20
rom,10,10,"(无小标题)",21,21
rom,10,11,"(无小标题)",21,21
rom,11,1,"The Remnant of Israel",1,6
rom,11,2,"The Remnant of Israel",7,8
rom,11,3,"The Remnant of Israel",8,8
rom,11,4,"The Remnant of Israel",9,9
rom,11,5,"The Remnant of Israel",9,10
rom,11,6,"Ingrafted Branches",11,12
rom,11,7,"Ingrafted Branches",13,16
rom,11,8,"Ingrafted Branches",17,21
rom,11,9,"Ingrafted Branches",22,24
rom,11,10,"All Israel Will Be Saved",25,26
rom,11,11,"All Israel Will Be Saved",26,27
rom,11,12,"All Israel Will Be Saved",28,32
rom,11,13,"Doxology",33,36
rom,12,1,"A Living Sacrifice",1,2
rom,12,2,"Humble Service in the Body of Christ",3,8
rom,12,3,"Love in Action",9,13
rom,12,4,"Love in Action",14,16
rom,12,5,"Love in Action",17,20
rom,12,6,"Love in Action",20,20
rom,12,7,"Love in Action",21,21
rom,13,1,"Submission to Governing Authorities",1,5
rom,13,2,"Submission to Governing Authorities",6,7
rom,13,3,"Love Fulfills the Law",8,10
rom,13,4,"The Day Is Near",11,14
rom,14,1,"The Weak and the Strong",1,4
rom,14,2,"The Weak and the Strong",5,9
rom,14,3,"The Weak and the Strong",10,11
rom,14,4,"The Weak and the Strong",11,11
rom,14,5,"The Weak and the Strong",12,12
rom,14,6,"The Weak and the Strong",13,18
rom,14,7,"The Weak and the Strong",19,21
rom,14,8,"The Weak and the Strong",22,23
rom,15,1,"(无小标题)",1,4
rom,15,2,"(无小标题)",5,6
rom,15,3,"(无小标题)",7,9
rom,15,4,"(无小标题)",9,9
rom,15,5,"(无小标题)",10,10
rom,15,6,"(无小标题)",10,10
rom,15,7,"(无小标题)",11,11
rom,15,8,"(无小标题)",11,11
rom,15,9,"(无小标题)",12,12
rom,15,10,"(无小标题)",12,12
rom,15,11,"(无小标题)",13,13
rom,15,12,"Paul the Minister to the Gentiles",14,16
rom,15,13,"Paul the Minister to the Gentiles",17,21
rom,15,14,"Paul the Minister to the Gentiles",21,21
rom,15,15,"Paul the Minister to the Gentiles",22,22
rom,15,16,"Paul’s Plan to Visit Rome",23,29
rom,15,17,"Paul’s Plan to Visit Rome",30,33
rom,16,1,"Personal Greetings",1,2
rom,16,2,"Personal Greetings",17,19
rom,16,3,"Personal Greetings",20,20
rom,16,4,"Personal Greetings",20,20
rom,16,5,"Personal Greetings",21,21
rom,16,6,"Personal Greetings",22,22
rom,16,7,"Personal Greetings",23,23
rom,16,8,"Personal Greetings",23,24
rom,16,9,"Personal Greetings",25,27
