book,chapter,paragraph,title,startVerseNo,endVerseNo
zephaniah,1,1,"(无小标题)",1,1
zephaniah,1,2,"Judgment on the Whole Earth in the Day of the Lord",2,3
zephaniah,1,3,"Judgment on the Whole Earth in the Day of the Lord",3,6
zephaniah,1,4,"Judgment on the Whole Earth in the Day of the Lord",7,7
zephaniah,1,5,"Judgment on the Whole Earth in the Day of the Lord",8,9
zephaniah,1,6,"Judgment on the Whole Earth in the Day of the Lord",10,13
zephaniah,1,7,"Judgment on the Whole Earth in the Day of the Lord",14,16
zephaniah,1,8,"Judgment on the Whole Earth in the Day of the Lord",17,18
zephaniah,1,9,"Judgment on the Whole Earth in the Day of the Lord",18,18
zephaniah,2,1,"Judah and Jerusalem Judged Along With the Nations",1,3
zephaniah,2,2,"Judah and Jerusalem Judged Along With the Nations",4,7
zephaniah,2,3,"Judah and Jerusalem Judged Along With the Nations",8,9
zephaniah,2,4,"Judah and Jerusalem Judged Along With the Nations",10,11
zephaniah,2,5,"Judah and Jerusalem Judged Along With the Nations",12,12
zephaniah,2,6,"Judah and Jerusalem Judged Along With the Nations",13,15
zephaniah,3,1,"(无小标题)",1,5
zephaniah,3,2,"(无小标题)",6,8
zephaniah,3,3,"Restoration of Israel’s Remnant",9,13
zephaniah,3,4,"Restoration of Israel’s Remnant",14,17
zephaniah,3,5,"Restoration of Israel’s Remnant",18,20
