ts_code,period,dcf_equity_value_ttm,dcf_equity_value_ttm_growth_r,total_mv,symbol,name,area,industry,market,list_date,list_status
000001.SZ,1990Q4,,,,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,1991Q4,,,,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,1992Q4,,,,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,1993Q4,,,,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,1994Q4,,,,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,1995Q4,,,,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,1996Q4,,,,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,1999Q2,,,,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2001Q4,,,,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2002Q4,,,,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2008Q2,,,,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2012Q2,,,,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2012Q4,,,,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2013Q4,,,,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2014Q1,,,10253843.0715,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2014Q2,,,11322070.7339,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2014Q3,,,11584843.314,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2014Q4,549867510255.2277,549867510255.2277,18097033.3426,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2015Q1,,,17994209.2895,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2015Q2,4326626813378.9766,4326626813378.9766,20804815.1061,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2015Q3,3403260107865.6396,3403260107865.6396,15009801.2698,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2015Q4,,,17156102.6907,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2016Q1,1428607795651.3088,1428607795651.3088,15224431.4119,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2016Q2,,,14938257.8884,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2016Q3,,,15573563.109,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2016Q4,440835632307.8845,440835632307.8845,15625074.3431,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2017Q1,,,15745267.2226,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2017Q2,,,16123016.2727,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2017Q3,191913394141.86392,191913394141.86392,19076327.0276,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2017Q4,,,22836647.1168,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2018Q1,1031880414359.6045,1031880414359.6045,18715748.3889,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2018Q2,500944087531.6126,500944087531.6126,15607903.9317,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2018Q3,805582151676.5522,805582151676.5522,18973304.5594,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2018Q4,,,16105845.8613,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2019Q1,,,22012467.3712,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2019Q2,,,23660826.8623,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2019Q3,1042968469116.0322,1042968469116.0322,30253826.4707,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2019Q4,,,31922735.4357,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2020Q1,,,24839575.2934,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2020Q2,,,24839575.2934,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2020Q3,,,29438777.9064,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2020Q4,,,37531045.7949,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2021Q1,,,42712425.9538,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2021Q2,,,43896186.9639,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2021Q3,,,34794811.329,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2021Q4,,,31980953.1903,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2022Q1,,,29846302.1885,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2022Q2,1934815805970.894,1738759593306.3403,29070065.4606,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2022Q3,643413249651.2498,613795237465.8507,22976607.1464,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2022Q4,3617502879234.4893,3539335408814.551,25538188.3486,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2023Q1,2651583679343.874,2644820637124.341,24315615.5021,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2023Q2,755130906347.4512,761742300836.9982,21792846.1364,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2023Q3,4405992538630.48,4346201856182.6943,21734628.3818,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2023Q4,2450841318996.4824,2297425378842.8926,18222157.1879,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2024Q1,,,20415025.9443,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2024Q2,4599707812541.332,4084409902248.4663,19697006.971,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2024Q3,3342858578071.53,2863937749511.6396,23694626.1198,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2024Q4,1923220419484.1118,1597653318530.62,22704924.2917,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2025Q1,7018582327323.211,5441186573912.613,21851063.8909,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2025Q2,3799303777230.3584,3246893917242.38,23422943.265,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2025Q3,,,22006311.2365,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2025Q4,9004049445081.79,6924743309147.957,22142152.6639,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2026Q1,5316479266236.129,3921160022855.6914,21501757.3634,000001,平安银行,深圳,银行,主板,19910403,L
000001.SZ,2026Q2,,,22297400.0095,000001,平安银行,深圳,银行,主板,19910403,L
000002.SZ,1990Q4,,,,000002,万科Ａ,深圳,全国地产,主板,19910129,L
000002.SZ,1991Q4,,,,000002,万科Ａ,深圳,全国地产,主板,19910129,L
000002.SZ,1992Q4,,,,000002,万科Ａ,深圳,全国地产,主板,19910129,L
000002.SZ,1993Q4,,,,000002,万科Ａ,深圳,全国地产,主板,19910129,L
000002.SZ,1994Q4,,,,000002,万科Ａ,深圳,全国地产,主板,19910129,L
000002.SZ,1995Q4,,,,000002,万科Ａ,深圳,全国地产,主板,19910129,L
000002.SZ,1996Q4,,,,000002,万科Ａ,深圳,全国地产,主板,19910129,L
000002.SZ,1997Q4,,,,000002,万科Ａ,深圳,全国地产,主板,19910129,L
000002.SZ,1998Q4,,,,000002,万科Ａ,深圳,全国地产,主板,19910129,L
000002.SZ,1999Q4,,,,000002,万科Ａ,深圳,全国地产,主板,19910129,L
000002.SZ,2000Q4,,,,000002,万科Ａ,深圳,全国地产,主板,19910129,L
000002.SZ,2001Q4,,,,000002,万科Ａ,深圳,全国地产,主板,19910129,L
