行业,股票数,Q1利润同比%,Q1收入同比%,25H1利润同比%,25全年利润同比%,Q1扭亏,2026YTD涨幅%,PE,PB,弹性得分
有色金属,147,115.64298485437239,37.906135888926414,37.5906974725835,53.49353408980046,False,3.9413266671344482,22.49,3.39,78.3963133640553
计算机,358,122.59294148959272,4.805742727867401,39.847303853035164,86.93264069178134,False,-14.687618733281393,67.24,3.68,75.16129032258064
国防军工,141,90.16623114211315,45.82172826164703,5.951002751313217,10.543014860179568,False,-8.679342448048144,65.54,3.5,74.92050691244239
环保,137,20.2221182807375,13.4776061625828,-3.921762874243917,19.88838582251864,False,3.839673219300477,27.31,1.66,73.01497695852535
电力设备,407,56.12896480908083,22.297014096601764,9.216752003646068,75.60229760503208,False,4.90155359265203,36.45,3.35,71.48041474654379
电子,505,71.78214591944672,28.573915805825088,31.017014694014723,39.3313661079006,False,41.95163704439453,80.54,6.82,71.42511520737327
商贸零售,99,50.27989652270619,6.5501953343772845,-12.81366907922531,-171.79045749351712,False,-23.76918917357044,35.03,1.68,62.72926267281106
基础化工,444,15.270271085414834,10.564242531405421,6.076581517056434,4.709471391465714,False,6.302274042342959,31.32,2.34,57.17165898617511
社会服务,84,12.251969332061297,7.012376810534793,8.155315888484349,-7.952607357741382,False,-13.76269051460336,41.21,2.56,54.3352534562212
医药生物,504,7.211426340805516,2.23761691081259,-3.177982906133392,-2.103331247963325,False,-11.958399972293032,30.33,2.35,52.62903225806451
交通运输,128,19.54630504239363,4.863250728501423,2.829878863447921,-18.77890716099284,False,-9.124158012910467,16.8,1.19,52.498847926267274
纺织服饰,108,-1.4197537765396895,4.745962888557131,-7.100001739834594,15.594971240598543,False,-8.811970711470163,24.42,1.71,50.975806451612904
石油石化,48,15.276207903876227,-2.8581447342235333,-14.430481190292344,-11.746479331751058,False,1.3917131215352097,19.71,1.36,50.84447004608295
银行,42,2.9987133468754035,7.5995576468509185,0.7958909166872363,-0.7841745741284267,False,-2.1972268706669795,6.26,0.52,49.616359447004605
通信,128,4.751864109798443,5.807490408300642,7.916693062447111,7.285966104149333,False,55.078778228562285,68.12,7.22,48.20737327188941
传媒,131,-1.1619073294394489,3.339194074666074,28.942496546415253,19.484283231715736,False,-16.723395429979625,35.4,2.55,45.68894009216589
机械设备,603,-4.564340344038209,8.384571033275456,19.76188504297738,11.992376585905596,False,13.41451507162683,46.57,3.48,44.14976958525345
非银金融,81,-0.822845016063567,-4.570450857683516,18.683330550605405,28.074329429535894,False,-16.262280078280934,11.15,1.1,42.937788018433174
美容护理,31,-12.28032041325504,5.325799751374616,-14.530978177086162,-10.90528178441107,False,-19.04821760772286,31.13,2.49,40.86405529953917
煤炭,37,-3.0621253742001198,1.032641561327563,-33.08915611084604,-28.270777928600012,False,21.213673909172527,23.65,1.52,35.4205069124424
轻工制造,169,-17.51591926956516,6.107410950235592,-18.746786848468012,-36.60936608603335,False,-8.674456332012237,34.38,1.91,31.70046082949309
食品饮料,126,-10.162038202620916,-3.042504452880068,-0.8908884702872877,-33.84095237806501,False,-12.967595501488793,20.15,3.19,28.349078341013826
汽车,317,-21.37919309492777,3.6682623895939237,6.719580752237797,-0.5953302684541528,False,-12.45884992917048,26.51,2.28,27.95852534562212
建筑装饰,164,-15.256384142417168,-6.089527118525762,-6.530816010397256,-18.71814883287819,False,-3.8569774774350862,14.8,0.77,25.55069124423963
公用事业,133,-7.103102658370563,-2.466059516134611,7.455543356076566,-24.224778875910612,False,10.830489004223098,21.76,1.73,24.879032258064516
家用电器,103,-8.149775980191198,-0.20051678262631434,12.981411181152836,-33.23993399375171,False,-4.411043291020544,15.13,2.28,24.513824884792626
农林牧渔,114,-109.14289656046923,3.384517643977669,166.5366898649592,-26.301742269835582,False,-20.371662417818314,38.85,2.14,19.335253456221196
建筑材料,76,-33.43911691287338,-0.8391770731294712,49.065079175886254,-22.070714814090287,False,21.463960394193382,38.9,1.62,15.076036866359448
钢铁,32,-127.15351592702997,-5.878165306436789,2499.4278251299943,,False,-12.21888520104194,30.61,1.04,
房地产,99,,-23.21556096628693,,,False,-11.131997323732767,18.11,0.86,
综合,15,85.81853194641353,-20.140210225353428,,,False,9.091094469282579,127.55,2.82,
