book,chapter,paragraph,title,startVerseNo,endVerseNo
1th,1,1,"(无小标题)",1,1
1th,1,2,"(无小标题)",1,1
1th,1,3,"信徒的榜样",2,3
1th,1,4,"信徒的榜样",4,10
1th,2,1,"保罗在帖撒罗尼迦的工作",1,4
1th,2,2,"保罗在帖撒罗尼迦的工作",5,8
1th,2,3,"保罗在帖撒罗尼迦的工作",9,12
1th,2,4,"保罗在帖撒罗尼迦的工作",13,13
1th,2,5,"保罗在帖撒罗尼迦的工作",14,16
1th,2,6,"保罗渴望去帖撒罗尼迦",17,20
1th,3,1,"(无小标题)",1,5
1th,3,2,"喜闻佳讯",6,10
1th,3,3,"喜闻佳讯",11,13
1th,4,1,"上帝喜悦的生活",1,8
1th,4,2,"上帝喜悦的生活",9,12
1th,4,3,"复活的盼望",13,14
1th,4,4,"复活的盼望",15,18
1th,5,1,"主来的日子",1,3
1th,5,2,"主来的日子",4,11
1th,5,3,"劝勉与问候",12,15
1th,5,4,"劝勉与问候",16,18
1th,5,5,"劝勉与问候",19,22
1th,5,6,"劝勉与问候",23,24
1th,5,7,"劝勉与问候",25,27
1th,5,8,"劝勉与问候",28,28
1th,1,1,"(无小标题)",1,1
1th,1,2,"(无小标题)",1,1
1th,1,3,"信徒的榜样",2,3
1th,1,4,"信徒的榜样",4,10
1th,2,1,"保罗在帖撒罗尼迦的工作",1,4
1th,2,2,"保罗在帖撒罗尼迦的工作",5,8
1th,2,3,"保罗在帖撒罗尼迦的工作",9,12
1th,2,4,"保罗在帖撒罗尼迦的工作",13,13
1th,2,5,"保罗在帖撒罗尼迦的工作",14,16
1th,2,6,"保罗渴望去帖撒罗尼迦",17,20
1th,3,1,"(无小标题)",1,5
1th,3,2,"喜闻佳讯",6,10
1th,3,3,"喜闻佳讯",11,13
1th,4,1,"上帝喜悦的生活",1,8
1th,4,2,"上帝喜悦的生活",9,12
1th,4,3,"复活的盼望",13,14
1th,4,4,"复活的盼望",15,18
1th,5,1,"主来的日子",1,3
1th,5,2,"主来的日子",4,11
1th,5,3,"劝勉与问候",12,15
1th,5,4,"劝勉与问候",16,18
1th,5,5,"劝勉与问候",19,22
1th,5,6,"劝勉与问候",23,24
1th,5,7,"劝勉与问候",25,27
1th,5,8,"劝勉与问候",28,28
