book,chapter,paragraph,title,startVerseNo,endVerseNo
2ki,1,1,"耶和华责备亚哈谢",1,4
2ki,1,2,"耶和华责备亚哈谢",5,8
2ki,1,3,"耶和华责备亚哈谢",9,12
2ki,1,4,"耶和华责备亚哈谢",13,16
2ki,1,5,"耶和华责备亚哈谢",17,18
2ki,2,1,"以利亚被接到天上",1,3
2ki,2,2,"以利亚被接到天上",4,5
2ki,2,3,"以利亚被接到天上",6,8
2ki,2,4,"以利亚被接到天上",9,12
2ki,2,5,"以利亚被接到天上",13,14
2ki,2,6,"以利亚被接到天上",15,18
2ki,2,7,"以利沙行神迹",19,22
2ki,2,8,"以利沙行神迹",23,25
2ki,3,1,"以色列与摩押争战",1,3
2ki,3,2,"以色列与摩押争战",4,8
2ki,3,3,"以色列与摩押争战",9,12
2ki,3,4,"以色列与摩押争战",13,20
2ki,3,5,"以色列与摩押争战",21,27
2ki,4,1,"以利沙帮助穷寡妇",1,7
2ki,4,2,"以利沙和书念妇人",8,10
2ki,4,3,"以利沙和书念妇人",11,17
2ki,4,4,"以利沙和书念妇人",18,24
2ki,4,5,"以利沙和书念妇人",25,26
2ki,4,6,"以利沙和书念妇人",26,26
2ki,4,7,"以利沙和书念妇人",27,31
2ki,4,8,"以利沙和书念妇人",32,37
2ki,4,9,"用面粉解毒",38,41
2ki,4,10,"用二十个饼喂饱百人",42,44
2ki,5,1,"以利沙医治乃缦",1,7
2ki,5,2,"以利沙医治乃缦",8,14
2ki,5,3,"以利沙医治乃缦",15,19
2ki,5,4,"以利沙医治乃缦",20,27
2ki,6,1,"以利沙找回斧头",1,7
2ki,6,2,"以利沙使亚兰军败退",8,10
2ki,6,3,"以利沙使亚兰军败退",11,19
2ki,6,4,"以利沙使亚兰军败退",20,23
2ki,6,5,"撒玛利亚城被围困",24,31
2ki,6,6,"撒玛利亚城被围困",32,33
2ki,7,1,"(无小标题)",1,2
2ki,7,2,"撒玛利亚城获救",3,8
2ki,7,3,"撒玛利亚城获救",9,12
2ki,7,4,"撒玛利亚城获救",13,18
2ki,7,5,"撒玛利亚城获救",19,20
2ki,8,1,"书念妇人得回产业",1,6
2ki,8,2,"以利沙对哈薛的预言",7,9
2ki,8,3,"以利沙对哈薛的预言",10,15
2ki,8,4,"约兰做犹大王",16,22
2ki,8,5,"约兰做犹大王",23,24
2ki,8,6,"亚哈谢做犹大王",25,27
2ki,8,7,"亚哈谢做犹大王",28,29
2ki,9,1,"耶户被立为以色列王",1,3
2ki,9,2,"耶户被立为以色列王",4,10
2ki,9,3,"耶户被立为以色列王",11,13
2ki,9,4,"以色列王约兰被杀",14,16
2ki,9,5,"以色列王约兰被杀",17,20
2ki,9,6,"以色列王约兰被杀",21,26
2ki,9,7,"以色列王约兰被杀",27,28
2ki,9,8,"以色列王约兰被杀",29,29
2ki,9,9,"耶洗别被杀",30,37
2ki,10,1,"耶户铲除亚哈家",1,5
2ki,10,2,"耶户铲除亚哈家",6,11
2ki,10,3,"耶户铲除亚哈家",12,14
2ki,10,4,"耶户铲除亚哈家",15,17
2ki,10,5,"耶户计杀拜巴力之人",18,27
2ki,10,6,"耶户计杀拜巴力之人",28,31
2ki,10,7,"耶户去世",32,36
2ki,11,1,"耶何耶大立约阿施为王",1,3
2ki,11,2,"耶何耶大立约阿施为王",4,12
2ki,11,3,"耶何耶大立约阿施为王",13,16
2ki,11,4,"耶何耶大立约阿施为王",17,21
2ki,12,1,"约阿施做犹大王",1,3
2ki,12,2,"约阿施做犹大王",4,8
2ki,12,3,"约阿施做犹大王",9,16
2ki,12,4,"约阿施做犹大王",17,18
2ki,12,5,"约阿施做犹大王",19,21
2ki,13,1,"约哈斯做以色列王",1,9
2ki,13,2,"约阿施做以色列王",10,13
2ki,13,3,"以利沙病逝",14,20
2ki,13,4,"以利沙病逝",20,21
2ki,13,5,"以色列与亚兰交战",22,25
2ki,14,1,"亚玛谢做犹大王",1,7
2ki,14,2,"亚玛谢做犹大王",8,10
2ki,14,3,"亚玛谢做犹大王",11,16
2ki,14,4,"亚玛谢做犹大王",17,22
2ki,14,5,"耶罗波安二世",23,29
2ki,15,1,"亚撒利雅做犹大王",1,7
2ki,15,2,"撒迦利雅做以色列王",8,12
2ki,15,3,"沙龙做以色列王",13,15
2ki,15,4,"米拿现做以色列王",16,22
2ki,15,5,"比加辖做以色列王",23,26
2ki,15,6,"比加做以色列王",27,28
2ki,15,7,"比加做以色列王",29,31
2ki,15,8,"约坦做犹大王",32,38
2ki,16,1,"亚哈斯做犹大王",1,4
2ki,16,2,"亚哈斯做犹大王",5,9
2ki,16,3,"亚哈斯做犹大王",10,16
2ki,16,4,"亚哈斯做犹大王",17,18
2ki,16,5,"亚哈斯做犹大王",19,20
2ki,17,1,"何细亚做以色列王",1,6
2ki,17,2,"以色列人的罪恶史",7,12
2ki,17,3,"以色列人的罪恶史",13,17
2ki,17,4,"以色列人的罪恶史",18,23
2ki,17,5,"外族人移居撒玛利亚",24,28
2ki,17,6,"外族人移居撒玛利亚",29,33
2ki,17,7,"外族人移居撒玛利亚",34,41
2ki,18,1,"希西迦做犹大王",1,8
2ki,18,2,"希西迦做犹大王",9,12
2ki,18,3,"亚述人攻打耶路撒冷",13,25
2ki,18,4,"亚述人攻打耶路撒冷",26,37
2ki,19,1,"希西迦向以赛亚求助",1,7
2ki,19,2,"希西迦向上帝祷告",8,13
2ki,19,3,"希西迦向上帝祷告",14,19
2ki,19,4,"以赛亚给希西迦的信息",20,21
2ki,19,5,"以赛亚给希西迦的信息",21,24
