book,chapter,paragraph,title,startVerseNo,endVerseNo
2pe,1,1,"(无小标题)",1,1
2pe,1,2,"(无小标题)",2,2
2pe,1,3,"追求长进",3,4
2pe,1,4,"追求长进",5,9
2pe,1,5,"追求长进",10,11
2pe,1,6,"追求长进",12,15
2pe,1,7,"见证基督的荣耀",16,18
2pe,1,8,"见证基督的荣耀",19,21
2pe,2,1,"假教师",1,3
2pe,2,2,"假教师",4,16
2pe,2,3,"假教师",17,19
2pe,2,4,"假教师",20,22
2pe,3,1,"主再来的应许",1,2
2pe,3,2,"主再来的应许",3,7
2pe,3,3,"主再来的应许",8,10
2pe,3,4,"主再来的应许",11,13
2pe,3,5,"主再来的应许",14,16
2pe,3,6,"主再来的应许",17,18
2pe,3,7,"主再来的应许",18,18
2pe,1,1,"(无小标题)",1,1
2pe,1,2,"(无小标题)",2,2
2pe,1,3,"追求长进",3,4
2pe,1,4,"追求长进",5,9
2pe,1,5,"追求长进",10,11
2pe,1,6,"追求长进",12,15
2pe,1,7,"见证基督的荣耀",16,18
2pe,1,8,"见证基督的荣耀",19,21
2pe,2,1,"假教师",1,3
2pe,2,2,"假教师",4,16
2pe,2,3,"假教师",17,19
2pe,2,4,"假教师",20,22
2pe,3,1,"主再来的应许",1,2
2pe,3,2,"主再来的应许",3,7
2pe,3,3,"主再来的应许",8,10
2pe,3,4,"主再来的应许",11,13
2pe,3,5,"主再来的应许",14,16
2pe,3,6,"主再来的应许",17,18
2pe,3,7,"主再来的应许",18,18
