book,chapter,paragraph,title,startVerseNo,endVerseNo
act,1,1,"应许圣灵降临",1,5
act,1,2,"应许圣灵降临",6,8
act,1,3,"应许圣灵降临",9,11
act,1,4,"选立新使徒",12,14
act,1,5,"选立新使徒",15,17
act,1,6,"选立新使徒",18,19
act,1,7,"选立新使徒",20,21
act,1,8,"选立新使徒",23,26
act,2,1,"圣灵降临",1,4
act,2,2,"圣灵降临",5,12
act,2,3,"圣灵降临",13,13
act,2,4,"彼得讲道",14,16
act,2,5,"彼得讲道",17,21
act,2,6,"彼得讲道",22,25
act,2,7,"彼得讲道",25,28
act,2,8,"彼得讲道",29,34
act,2,9,"彼得讲道",34,35
act,2,10,"彼得讲道",36,36
act,2,11,"彼得讲道",37,39
act,2,12,"彼得讲道",40,40
act,2,13,"彼得讲道",41,42
act,2,14,"彼得讲道",43,47
act,3,1,"彼得医治瘸腿的乞丐",1,5
act,3,2,"彼得医治瘸腿的乞丐",6,6
act,3,3,"彼得医治瘸腿的乞丐",7,11
act,3,4,"彼得传扬基督",12,16
act,3,5,"彼得传扬基督",17,23
act,3,6,"彼得传扬基督",24,26
act,4,1,"唯一的救主",1,4
act,4,2,"唯一的救主",5,7
act,4,3,"唯一的救主",8,10
act,4,4,"唯一的救主",11,11
act,4,5,"唯一的救主",12,12
act,4,6,"唯一的救主",13,17
act,4,7,"唯一的救主",18,22
act,4,8,"同心祷告",23,25
act,4,9,"同心祷告",25,26
act,4,10,"同心祷告",27,30
act,4,11,"同心祷告",31,31
act,4,12,"共用一切",32,35
act,4,13,"共用一切",36,37
act,5,1,"欺骗圣灵",1,6
act,5,2,"欺骗圣灵",7,8
act,5,3,"欺骗圣灵",9,11
act,5,4,"神迹奇事",12,16
act,5,5,"使徒受迫害",17,21
act,5,6,"使徒受迫害",21,23
act,5,7,"使徒受迫害",24,26
act,5,8,"使徒受迫害",27,28
act,5,9,"使徒受迫害",29,32
act,5,10,"使徒受迫害",33,39
act,5,11,"使徒受迫害",40,42
act,6,1,"选立执事",1,4
act,6,2,"选立执事",5,6
act,6,3,"选立执事",7,7
act,6,4,"司提凡被捕",8,10
act,6,5,"司提凡被捕",11,15
act,7,1,"司提凡的申辩",1,8
act,7,2,"司提凡的申辩",9,16
act,7,3,"司提凡的申辩",17,21
act,7,4,"司提凡的申辩",22,29
act,7,5,"司提凡的申辩",30,34
act,7,6,"司提凡的申辩",35,38
act,7,7,"司提凡的申辩",39,42
act,7,8,"司提凡的申辩",42,43
act,7,9,"司提凡的申辩",44,47
act,7,10,"司提凡的申辩",48,50
act,7,11,"司提凡的申辩",51,53
act,7,12,"司提凡殉道",54,56
act,7,13,"司提凡殉道",57,60
act,8,1,"教会受迫害",1,2
act,8,2,"教会受迫害",3,3
act,8,3,"腓利传扬福音",4,8
act,8,4,"术士归主",9,13
act,8,5,"术士归主",14,17
act,8,6,"术士归主",18,19
act,8,7,"术士归主",20,23
act,8,8,"术士归主",24,24
act,8,9,"术士归主",25,25
act,8,10,"太监归主",26,29
act,8,11,"太监归主",30,30
act,8,12,"太监归主",31,32
act,8,13,"太监归主",32,33
act,8,14,"太监归主",34,37
act,8,15,"太监归主",38,40
act,9,1,"扫罗归主",1,2
act,9,2,"扫罗归主",3,6
act,9,3,"扫罗归主",7,9
act,9,4,"扫罗归主",10,10
act,9,5,"扫罗归主",11,12
act,9,6,"扫罗归主",13,14
act,9,7,"扫罗归主",15,16
act,9,8,"扫罗归主",17,20
act,9,9,"扫罗归主",21,21
act,9,10,"扫罗归主",22,22
act,9,11,"扫罗逃生",23,25
act,9,12,"扫罗逃生",26,30
act,9,13,"扫罗逃生",31,31
act,9,14,"彼得医治瘫子",32,35
act,9,15,"彼得使死人复活",36,39
act,9,16,"彼得使死人复活",40,43
act,10,1,"哥尼流邀请彼得",1,3
act,10,2,"哥尼流邀请彼得",4,4
act,10,3,"哥尼流邀请彼得",4,6
act,10,4,"哥尼流邀请彼得",7,8
act,10,5,"彼得见异象",9,13
act,10,6,"彼得见异象",14,14
act,10,7,"彼得见异象",15,16
act,10,8,"彼得见异象",17,18
act,10,9,"彼得见异象",19,21
act,10,10,"彼得见异象",22,22
act,10,11,"彼得见异象",23,26
act,10,12,"彼得见异象",27,29
act,10,13,"彼得见异象",30,33
act,10,14,"福音临到外族人",34,43
act,10,15,"福音临到外族人",44,48
act,11,1,"彼得的解释",1,3
act,11,2,"彼得的解释",4,14
act,11,3,"彼得的解释",15,18
act,11,4,"安提阿的教会",19,21
act,11,5,"安提阿的教会",22,23
act,11,6,"安提阿的教会",24,26
act,11,7,"安提阿的教会",27,30
act,12,1,"希律王的暴行",1,5
act,12,2,"彼得神奇出狱",6,10
act,12,3,"彼得神奇出狱",11,12
act,12,4,"彼得神奇出狱",13,15
act,12,5,"彼得神奇出狱",16,17
act,12,6,"彼得神奇出狱",18,19
act,12,7,"希律的下场",20,20
act,12,8,"希律的下场",21,23
act,12,9,"希律的下场",24,24
act,12,10,"希律的下场",25,25
act,13,1,"巴拿巴和扫罗接受差遣",1,3
act,13,2,"巴拿巴和扫罗接受差遣",4,5
act,13,3,"巴拿巴和扫罗接受差遣",6,11
act,13,4,"巴拿巴和扫罗接受差遣",11,12
act,13,5,"保罗传扬基督",13,15
act,13,6,"保罗传扬基督",16,20
act,13,7,"保罗传扬基督",21,25
act,13,8,"保罗传扬基督",26,33
act,13,9,"保罗传扬基督",33,33
act,13,10,"保罗传扬基督",34,34
act,13,11,"保罗传扬基督",34,34
act,13,12,"保罗传扬基督",35,35
act,13,13,"保罗传扬基督",35,35
act,13,14,"保罗传扬基督",36,40
act,13,15,"保罗传扬基督",41,41
act,13,16,"保罗传扬基督",42,43
act,13,17,"保罗传扬基督",44,47
act,13,18,"保罗传扬基督",47,47
act,13,19,"保罗传扬基督",48,49
act,13,20,"保罗传扬基督",50,52
act,14,1,"在以哥念传道",1,4
act,14,2,"在以哥念传道",5,7
act,14,3,"在路司得和特庇传福音",8,13
act,14,4,"在路司得和特庇传福音",14,17
act,14,5,"在路司得和特庇传福音",18,20
act,14,6,"返回安提阿",21,23
act,14,7,"返回安提阿",24,26
act,14,8,"返回安提阿",27,28
act,15,1,"耶路撒冷会议",1,2
act,15,2,"耶路撒冷会议",3,5
act,15,3,"耶路撒冷会议",6,11
act,15,4,"耶路撒冷会议",12,15
act,15,5,"耶路撒冷会议",16,17
act,15,6,"耶路撒冷会议",17,18
act,15,7,"耶路撒冷会议",19,21
act,15,8,"给外族信徒的信",22,23
act,15,9,"给外族信徒的信",24,29
act,15,10,"给外族信徒的信",30,35
act,15,11,"保罗与巴拿巴分手",36,38
act,15,12,"保罗与巴拿巴分手",39,41
act,16,1,"提摩太加入福音事工",1,5
act,16,2,"马其顿人的呼求",6,9
act,16,3,"马其顿人的呼求",10,15
act,16,4,"保罗和西拉入狱",16,18
act,16,5,"保罗和西拉入狱",19,24
act,16,6,"保罗和西拉入狱",25,28
act,16,7,"保罗和西拉入狱",29,30
act,16,8,"保罗和西拉入狱",31,34
act,16,9,"保罗和西拉入狱",35,37
act,16,10,"保罗和西拉入狱",38,40
