book,chapter,paragraph,title,startVerseNo,endVerseNo
amo,1,1,"(无小标题)",1,1
amo,1,2,"(无小标题)",2,2
amo,1,3,"对亚兰的审判",3,5
amo,1,4,"对非利士的审判",6,8
amo,1,5,"对泰尔的审判",9,10
amo,1,6,"对以东的审判",11,12
amo,1,7,"对亚扪的审判",13,15
amo,2,1,"对摩押的审判",1,3
amo,2,2,"对犹大的审判",4,5
amo,2,3,"对以色列的审判",6,8
amo,2,4,"对以色列的审判",9,16
amo,3,1,"责备以色列人",1,2
amo,3,2,"责备以色列人",3,11
amo,3,3,"责备以色列人",12,15
amo,4,1,"(无小标题)",1,3
amo,4,2,"(无小标题)",4,5
amo,4,3,"(无小标题)",6,6
amo,4,4,"(无小标题)",7,8
amo,4,5,"(无小标题)",9,9
amo,4,6,"(无小标题)",10,10
amo,4,7,"(无小标题)",11,11
amo,4,8,"(无小标题)",12,12
amo,4,9,"(无小标题)",13,13
amo,5,1,"劝以色列人悔改",1,3
amo,5,2,"劝以色列人悔改",4,9
amo,5,3,"劝以色列人悔改",10,15
amo,5,4,"劝以色列人悔改",16,17
amo,5,5,"劝以色列人悔改",18,20
amo,5,6,"劝以色列人悔改",21,27
amo,6,1,"预言以色列的毁灭",1,8
amo,6,2,"预言以色列的毁灭",9,10
amo,6,3,"预言以色列的毁灭",11,14
amo,7,1,"各种灾祸的异象",1,3
amo,7,2,"各种灾祸的异象",4,6
amo,7,3,"各种灾祸的异象",7,9
amo,7,4,"阿摩司被逐",10,11
amo,7,5,"阿摩司被逐",12,13
amo,7,6,"阿摩司被逐",14,17
amo,8,1,"审判之日将临",1,3
amo,8,2,"审判之日将临",4,6
amo,8,3,"审判之日将临",7,12
amo,8,4,"审判之日将临",13,13
amo,8,5,"审判之日将临",13,14
amo,9,1,"耶和华的审判",1,4
amo,9,2,"耶和华的审判",5,6
amo,9,3,"耶和华的审判",7,8
amo,9,4,"耶和华的审判",9,10
amo,9,5,"以色列的复兴",11,15
amo,9,6,"以色列的复兴",15,15
amo,1,1,"(无小标题)",1,1
amo,1,2,"(无小标题)",2,2
amo,1,3,"对亚兰的审判",3,5
amo,1,4,"对非利士的审判",6,8
amo,1,5,"对泰尔的审判",9,10
amo,1,6,"对以东的审判",11,12
amo,1,7,"对亚扪的审判",13,15
amo,2,1,"对摩押的审判",1,3
amo,2,2,"对犹大的审判",4,5
amo,2,3,"对以色列的审判",6,8
amo,2,4,"对以色列的审判",9,16
amo,3,1,"责备以色列人",1,2
amo,3,2,"责备以色列人",3,11
amo,3,3,"责备以色列人",12,15
amo,4,1,"(无小标题)",1,3
amo,4,2,"(无小标题)",4,5
amo,4,3,"(无小标题)",6,6
amo,4,4,"(无小标题)",7,8
amo,4,5,"(无小标题)",9,9
amo,4,6,"(无小标题)",10,10
amo,4,7,"(无小标题)",11,11
amo,4,8,"(无小标题)",12,12
amo,4,9,"(无小标题)",13,13
amo,5,1,"劝以色列人悔改",1,3
amo,5,2,"劝以色列人悔改",4,9
amo,5,3,"劝以色列人悔改",10,15
amo,5,4,"劝以色列人悔改",16,17
amo,5,5,"劝以色列人悔改",18,20
amo,5,6,"劝以色列人悔改",21,27
amo,6,1,"预言以色列的毁灭",1,8
amo,6,2,"预言以色列的毁灭",9,10
amo,6,3,"预言以色列的毁灭",11,14
amo,7,1,"各种灾祸的异象",1,3
amo,7,2,"各种灾祸的异象",4,6
amo,7,3,"各种灾祸的异象",7,9
amo,7,4,"阿摩司被逐",10,11
amo,7,5,"阿摩司被逐",12,13
amo,7,6,"阿摩司被逐",14,17
amo,8,1,"审判之日将临",1,3
amo,8,2,"审判之日将临",4,6
amo,8,3,"审判之日将临",7,12
amo,8,4,"审判之日将临",13,13
amo,8,5,"审判之日将临",13,14
amo,9,1,"耶和华的审判",1,4
amo,9,2,"耶和华的审判",5,6
amo,9,3,"耶和华的审判",7,8
amo,9,4,"耶和华的审判",9,10
amo,9,5,"以色列的复兴",11,15
amo,9,6,"以色列的复兴",15,15
