book,chapter,paragraph,title,startVerseNo,endVerseNo
col,1,1,"(无小标题)",1,2
col,1,2,"(无小标题)",2,2
col,1,3,"感恩与祷告",3,8
col,1,4,"感恩与祷告",9,14
col,1,5,"基督超越一切",15,20
col,1,6,"基督超越一切",21,23
col,1,7,"保罗为教会受苦",24,29
col,2,1,"(无小标题)",1,5
col,2,2,"生活以基督为中心",6,7
col,2,3,"生活以基督为中心",8,10
col,2,4,"生活以基督为中心",11,15
col,2,5,"生活以基督为中心",16,19
col,2,6,"生活以基督为中心",20,23
col,3,1,"追求属天的事",1,4
col,3,2,"追求属天的事",5,11
col,3,3,"追求属天的事",12,17
col,3,4,"和谐家庭",18,25
col,4,1,"(无小标题)",1,1
col,4,2,"勉励祷告",2,4
col,4,3,"勉励祷告",5,6
col,4,4,"结语",7,9
col,4,5,"问候",10,18
col,4,6,"问候",18,18
col,1,1,"(无小标题)",1,2
col,1,2,"(无小标题)",2,2
col,1,3,"感恩与祷告",3,8
col,1,4,"感恩与祷告",9,14
col,1,5,"基督超越一切",15,20
col,1,6,"基督超越一切",21,23
col,1,7,"保罗为教会受苦",24,29
col,2,1,"(无小标题)",1,5
col,2,2,"生活以基督为中心",6,7
col,2,3,"生活以基督为中心",8,10
col,2,4,"生活以基督为中心",11,15
col,2,5,"生活以基督为中心",16,19
col,2,6,"生活以基督为中心",20,23
col,3,1,"追求属天的事",1,4
col,3,2,"追求属天的事",5,11
col,3,3,"追求属天的事",12,17
col,3,4,"和谐家庭",18,25
col,4,1,"(无小标题)",1,1
col,4,2,"勉励祷告",2,4
col,4,3,"勉励祷告",5,6
col,4,4,"结语",7,9
col,4,5,"问候",10,18
col,4,6,"问候",18,18
