book,chapter,paragraph,title,startVerseNo,endVerseNo
est,1,1,"亚哈随鲁王大宴群臣",1,9
est,1,2,"瓦实提王后被废",10,12
est,1,3,"瓦实提王后被废",13,15
est,1,4,"瓦实提王后被废",16,20
est,1,5,"瓦实提王后被废",21,22
est,2,1,"以斯帖被立为王后",1,4
est,2,2,"以斯帖被立为王后",5,11
est,2,3,"以斯帖被立为王后",12,14
est,2,4,"以斯帖被立为王后",15,18
est,2,5,"末底改救王的性命",19,20
est,2,6,"末底改救王的性命",21,23
est,3,1,"哈曼图谋灭绝犹太人",1,6
est,3,2,"哈曼图谋灭绝犹太人",7,7
est,3,3,"哈曼图谋灭绝犹太人",8,11
est,3,4,"哈曼图谋灭绝犹太人",12,15
est,4,1,"末底改求以斯帖帮忙",1,3
est,4,2,"末底改求以斯帖帮忙",4,11
est,4,3,"末底改求以斯帖帮忙",12,14
est,4,4,"末底改求以斯帖帮忙",15,16
est,4,5,"末底改求以斯帖帮忙",17,17
est,5,1,"以斯帖为王和哈曼设宴",1,8
est,5,2,"哈曼图谋杀末底改",9,14
est,6,1,"王赐末底改尊荣",1,11
est,6,2,"王赐末底改尊荣",12,13
est,6,3,"王赐末底改尊荣",14,14
est,7,1,"哈曼被处死",1,6
est,7,2,"哈曼被处死",7,10
est,8,1,"犹太人获拯救",1,2
est,8,2,"犹太人获拯救",3,8
est,8,3,"犹太人获拯救",9,14
est,8,4,"犹太人获拯救",15,17
est,9,1,"犹太人的反击",1,10
est,9,2,"犹太人的反击",11,15
est,9,3,"犹太人的反击",16,19
est,9,4,"普珥节",20,22
est,9,5,"普珥节",23,28
est,9,6,"普珥节",29,32
est,10,1,"亚哈随鲁和末底改的功绩",1,3
est,1,1,"亚哈随鲁王大宴群臣",1,9
est,1,2,"瓦实提王后被废",10,12
est,1,3,"瓦实提王后被废",13,15
est,1,4,"瓦实提王后被废",16,20
est,1,5,"瓦实提王后被废",21,22
est,2,1,"以斯帖被立为王后",1,4
est,2,2,"以斯帖被立为王后",5,11
est,2,3,"以斯帖被立为王后",12,14
est,2,4,"以斯帖被立为王后",15,18
est,2,5,"末底改救王的性命",19,20
est,2,6,"末底改救王的性命",21,23
est,3,1,"哈曼图谋灭绝犹太人",1,6
est,3,2,"哈曼图谋灭绝犹太人",7,7
est,3,3,"哈曼图谋灭绝犹太人",8,11
est,3,4,"哈曼图谋灭绝犹太人",12,15
est,4,1,"末底改求以斯帖帮忙",1,3
est,4,2,"末底改求以斯帖帮忙",4,11
est,4,3,"末底改求以斯帖帮忙",12,14
est,4,4,"末底改求以斯帖帮忙",15,16
est,4,5,"末底改求以斯帖帮忙",17,17
est,5,1,"以斯帖为王和哈曼设宴",1,8
est,5,2,"哈曼图谋杀末底改",9,14
est,6,1,"王赐末底改尊荣",1,11
est,6,2,"王赐末底改尊荣",12,13
est,6,3,"王赐末底改尊荣",14,14
est,7,1,"哈曼被处死",1,6
est,7,2,"哈曼被处死",7,10
est,8,1,"犹太人获拯救",1,2
est,8,2,"犹太人获拯救",3,8
est,8,3,"犹太人获拯救",9,14
est,8,4,"犹太人获拯救",15,17
est,9,1,"犹太人的反击",1,10
est,9,2,"犹太人的反击",11,15
est,9,3,"犹太人的反击",16,19
est,9,4,"普珥节",20,22
est,9,5,"普珥节",23,28
est,9,6,"普珥节",29,32
est,10,1,"亚哈随鲁和末底改的功绩",1,3
