book,chapter,paragraph,title,startVerseNo,endVerseNo
ezr,1,1,"塞鲁士下令犹太人回国",1,1
ezr,1,2,"塞鲁士下令犹太人回国",2,4
ezr,1,3,"塞鲁士下令犹太人回国",5,11
ezr,2,1,"回归的流亡者名单",1,2
ezr,2,2,"回归的流亡者名单",2,2
ezr,2,3,"回归的流亡者名单",3,20
ezr,2,4,"回归的流亡者名单",21,35
ezr,2,5,"回归的流亡者名单",36,39
ezr,2,6,"回归的流亡者名单",40,42
ezr,2,7,"回归的流亡者名单",43,54
ezr,2,8,"回归的流亡者名单",55,57
ezr,2,9,"回归的流亡者名单",58,58
ezr,2,10,"回归的流亡者名单",59,60
ezr,2,11,"回归的流亡者名单",61,63
ezr,2,12,"回归的流亡者名单",64,67
ezr,2,13,"回归的流亡者名单",68,69
ezr,2,14,"回归的流亡者名单",70,70
ezr,3,1,"重建祭坛",1,7
ezr,3,2,"开始重建圣殿",8,9
ezr,3,3,"开始重建圣殿",10,11
ezr,3,4,"开始重建圣殿",11,11
ezr,3,5,"开始重建圣殿",11,13
ezr,4,1,"建殿工作受阻",1,3
ezr,4,2,"建殿工作受阻",4,5
ezr,4,3,"阻扰重建耶路撒冷",6,6
ezr,4,4,"阻扰重建耶路撒冷",7,11
ezr,4,5,"阻扰重建耶路撒冷",11,16
ezr,4,6,"阻扰重建耶路撒冷",17,22
ezr,4,7,"阻扰重建耶路撒冷",23,23
ezr,4,8,"恢复建殿工作",24,24
ezr,5,1,"(无小标题)",1,2
ezr,5,2,"(无小标题)",3,5
ezr,5,3,"(无小标题)",6,7
ezr,5,4,"(无小标题)",7,10
ezr,5,5,"(无小标题)",11,16
ezr,5,6,"(无小标题)",17,17
ezr,6,1,"发现塞鲁士王的谕旨",1,2
ezr,6,2,"发现塞鲁士王的谕旨",3,5
ezr,6,3,"发现塞鲁士王的谕旨",6,6
ezr,6,4,"发现塞鲁士王的谕旨",6,12
ezr,6,5,"建殿工程竣工",13,15
ezr,6,6,"举行献殿礼",16,18
ezr,6,7,"守逾越节",19,22
ezr,7,1,"以斯拉到达耶路撒冷",1,6
ezr,7,2,"以斯拉到达耶路撒冷",7,10
ezr,7,3,"亚达薛西王给以斯拉的谕旨",11,11
ezr,7,4,"亚达薛西王给以斯拉的谕旨",12,12
ezr,7,5,"亚达薛西王给以斯拉的谕旨",13,20
ezr,7,6,"亚达薛西王给以斯拉的谕旨",21,24
ezr,7,7,"亚达薛西王给以斯拉的谕旨",25,26
ezr,7,8,"以斯拉赞美上帝",27,27
ezr,7,9,"以斯拉赞美上帝",27,28
ezr,8,1,"归回之人",1,14
ezr,8,2,"以斯拉为圣殿召集利未人",15,20
ezr,8,3,"以斯拉带领百姓禁食",21,23
ezr,8,4,"献给圣殿的礼物",24,30
ezr,8,5,"返回耶路撒冷",31,34
ezr,8,6,"返回耶路撒冷",35,36
ezr,9,1,"以斯拉的祷告",1,4
ezr,9,2,"以斯拉的祷告",5,9
ezr,9,3,"以斯拉的祷告",10,12
ezr,9,4,"以斯拉的祷告",13,15
ezr,10,1,"终止杂婚",1,4
ezr,10,2,"终止杂婚",5,6
ezr,10,3,"终止杂婚",7,8
ezr,10,4,"终止杂婚",9,9
ezr,10,5,"终止杂婚",10,11
ezr,10,6,"终止杂婚",12,14
ezr,10,7,"终止杂婚",15,15
ezr,10,8,"终止杂婚",16,17
ezr,10,9,"终止杂婚",18,22
ezr,10,10,"终止杂婚",23,24
ezr,10,11,"终止杂婚",25,43
ezr,10,12,"终止杂婚",44,44
ezr,1,1,"塞鲁士下令犹太人回国",1,1
ezr,1,2,"塞鲁士下令犹太人回国",2,4
ezr,1,3,"塞鲁士下令犹太人回国",5,11
ezr,2,1,"回归的流亡者名单",1,2
ezr,2,2,"回归的流亡者名单",2,2
ezr,2,3,"回归的流亡者名单",3,20
ezr,2,4,"回归的流亡者名单",21,35
ezr,2,5,"回归的流亡者名单",36,39
ezr,2,6,"回归的流亡者名单",40,42
ezr,2,7,"回归的流亡者名单",43,54
ezr,2,8,"回归的流亡者名单",55,57
ezr,2,9,"回归的流亡者名单",58,58
ezr,2,10,"回归的流亡者名单",59,60
ezr,2,11,"回归的流亡者名单",61,63
ezr,2,12,"回归的流亡者名单",64,67
ezr,2,13,"回归的流亡者名单",68,69
ezr,2,14,"回归的流亡者名单",70,70
ezr,3,1,"重建祭坛",1,7
ezr,3,2,"开始重建圣殿",8,9
ezr,3,3,"开始重建圣殿",10,11
ezr,3,4,"开始重建圣殿",11,11
ezr,3,5,"开始重建圣殿",11,13
ezr,4,1,"建殿工作受阻",1,3
ezr,4,2,"建殿工作受阻",4,5
ezr,4,3,"阻扰重建耶路撒冷",6,6
ezr,4,4,"阻扰重建耶路撒冷",7,11
ezr,4,5,"阻扰重建耶路撒冷",11,16
ezr,4,6,"阻扰重建耶路撒冷",17,22
ezr,4,7,"阻扰重建耶路撒冷",23,23
ezr,4,8,"恢复建殿工作",24,24
ezr,5,1,"(无小标题)",1,2
ezr,5,2,"(无小标题)",3,5
ezr,5,3,"(无小标题)",6,7
ezr,5,4,"(无小标题)",7,10
ezr,5,5,"(无小标题)",11,16
ezr,5,6,"(无小标题)",17,17
ezr,6,1,"发现塞鲁士王的谕旨",1,2
ezr,6,2,"发现塞鲁士王的谕旨",3,5
ezr,6,3,"发现塞鲁士王的谕旨",6,6
ezr,6,4,"发现塞鲁士王的谕旨",6,12
ezr,6,5,"建殿工程竣工",13,15
ezr,6,6,"举行献殿礼",16,18
ezr,6,7,"守逾越节",19,22
ezr,7,1,"以斯拉到达耶路撒冷",1,6
ezr,7,2,"以斯拉到达耶路撒冷",7,10
ezr,7,3,"亚达薛西王给以斯拉的谕旨",11,11
ezr,7,4,"亚达薛西王给以斯拉的谕旨",12,12
ezr,7,5,"亚达薛西王给以斯拉的谕旨",13,20
ezr,7,6,"亚达薛西王给以斯拉的谕旨",21,24
ezr,7,7,"亚达薛西王给以斯拉的谕旨",25,26
ezr,7,8,"以斯拉赞美上帝",27,27
ezr,7,9,"以斯拉赞美上帝",27,28
ezr,8,1,"归回之人",1,14
