book,chapter,paragraph,title,startVerseNo,endVerseNo
hab,1,1,"(无小标题)",1,1
hab,1,2,"哈巴谷的抱怨",2,4
hab,1,3,"耶和华的答复",5,7
hab,1,4,"耶和华的答复",8,11
hab,1,5,"哈巴谷再次抱怨",12,13
hab,1,6,"哈巴谷再次抱怨",14,17
hab,2,1,"(无小标题)",1,1
hab,2,2,"(无小标题)",1,1
hab,2,3,"耶和华的答复",2,5
hab,2,4,"耶和华的答复",6,8
hab,2,5,"耶和华的答复",9,11
hab,2,6,"耶和华的答复",12,14
hab,2,7,"耶和华的答复",15,17
hab,2,8,"耶和华的答复",18,20
hab,3,1,"哈巴谷的祷告",1,1
hab,3,2,"哈巴谷的祷告",2,2
hab,3,3,"哈巴谷的祷告",3,16
hab,3,4,"哈巴谷的祷告",17,19
hab,3,5,"哈巴谷的祷告",19,19
hab,1,1,"(无小标题)",1,1
hab,1,2,"哈巴谷的抱怨",2,4
hab,1,3,"耶和华的答复",5,7
hab,1,4,"耶和华的答复",8,11
hab,1,5,"哈巴谷再次抱怨",12,13
hab,1,6,"哈巴谷再次抱怨",14,17
hab,2,1,"(无小标题)",1,1
hab,2,2,"(无小标题)",1,1
hab,2,3,"耶和华的答复",2,5
hab,2,4,"耶和华的答复",6,8
hab,2,5,"耶和华的答复",9,11
hab,2,6,"耶和华的答复",12,14
hab,2,7,"耶和华的答复",15,17
hab,2,8,"耶和华的答复",18,20
hab,3,1,"哈巴谷的祷告",1,1
hab,3,2,"哈巴谷的祷告",2,2
hab,3,3,"哈巴谷的祷告",3,16
hab,3,4,"哈巴谷的祷告",17,19
hab,3,5,"哈巴谷的祷告",19,19
