book,chapter,paragraph,title,startVerseNo,endVerseNo
hos,1,1,"(无小标题)",1,1
hos,1,2,"何西阿娶妓女为妻",2,9
hos,1,3,"以色列的复兴",10,11
hos,2,1,"(无小标题)",1,1
hos,2,2,"对不贞之妇的控诉",2,13
hos,2,3,"对不贞之妇的爱",14,15
hos,2,4,"对不贞之妇的爱",16,20
hos,2,5,"对不贞之妇的爱",21,23
hos,3,1,"何西阿赎回不贞之妻",1,5
hos,4,1,"耶和华指控以色列",1,3
hos,4,2,"耶和华指控以色列",4,4
hos,4,3,"耶和华指控以色列",4,11
hos,4,4,"耶和华指控以色列",12,13
hos,4,5,"耶和华指控以色列",13,14
hos,4,6,"耶和华指控以色列",15,19
hos,5,1,"对以色列和犹大的审判",1,3
hos,5,2,"对以色列和犹大的审判",4,7
hos,5,3,"对以色列和犹大的审判",8,12
hos,5,4,"对以色列和犹大的审判",13,15
hos,6,1,"以色列和犹大不思悔改",1,3
hos,6,2,"以色列和犹大不思悔改",4,11
hos,6,3,"以色列和犹大不思悔改",11,11
hos,7,1,"(无小标题)",1,7
hos,7,2,"(无小标题)",8,16
hos,8,1,"耶和华指责以色列人拜偶像",1,10
hos,8,2,"耶和华指责以色列人拜偶像",11,14
hos,9,1,"何西阿宣布对以色列的惩罚",1,9
hos,9,2,"何西阿宣布对以色列的惩罚",10,13
hos,9,3,"何西阿宣布对以色列的惩罚",14,14
hos,9,4,"何西阿宣布对以色列的惩罚",15,16
hos,9,5,"何西阿宣布对以色列的惩罚",17,17
hos,10,1,"(无小标题)",1,8
hos,10,2,"(无小标题)",9,11
hos,10,3,"(无小标题)",12,15
hos,11,1,"耶和华对以色列的爱",1,4
hos,11,2,"耶和华对以色列的爱",5,9
hos,11,3,"耶和华对以色列的爱",10,11
hos,11,4,"对以色列和犹大的指控",12,12
hos,12,1,"(无小标题)",1,1
hos,12,2,"(无小标题)",2,6
hos,12,3,"(无小标题)",7,8
hos,12,4,"(无小标题)",9,10
hos,12,5,"(无小标题)",11,12
hos,12,6,"(无小标题)",12,12
hos,12,7,"(无小标题)",13,14
hos,13,1,"对以色列的最后审判",1,3
hos,13,2,"对以色列的最后审判",4,8
hos,13,3,"对以色列的最后审判",9,11
hos,13,4,"对以色列的最后审判",12,16
hos,14,1,"悔改带来祝福",1,3
hos,14,2,"悔改带来祝福",4,7
hos,14,3,"悔改带来祝福",8,8
hos,14,4,"悔改带来祝福",9,9
hos,1,1,"(无小标题)",1,1
hos,1,2,"何西阿娶妓女为妻",2,9
hos,1,3,"以色列的复兴",10,11
hos,2,1,"(无小标题)",1,1
hos,2,2,"对不贞之妇的控诉",2,13
hos,2,3,"对不贞之妇的爱",14,15
hos,2,4,"对不贞之妇的爱",16,20
hos,2,5,"对不贞之妇的爱",21,23
hos,3,1,"何西阿赎回不贞之妻",1,5
hos,4,1,"耶和华指控以色列",1,3
hos,4,2,"耶和华指控以色列",4,4
hos,4,3,"耶和华指控以色列",4,11
hos,4,4,"耶和华指控以色列",12,13
hos,4,5,"耶和华指控以色列",13,14
hos,4,6,"耶和华指控以色列",15,19
hos,5,1,"对以色列和犹大的审判",1,3
hos,5,2,"对以色列和犹大的审判",4,7
hos,5,3,"对以色列和犹大的审判",8,12
hos,5,4,"对以色列和犹大的审判",13,15
hos,6,1,"以色列和犹大不思悔改",1,3
hos,6,2,"以色列和犹大不思悔改",4,11
hos,6,3,"以色列和犹大不思悔改",11,11
hos,7,1,"(无小标题)",1,7
hos,7,2,"(无小标题)",8,16
hos,8,1,"耶和华指责以色列人拜偶像",1,10
hos,8,2,"耶和华指责以色列人拜偶像",11,14
hos,9,1,"何西阿宣布对以色列的惩罚",1,9
hos,9,2,"何西阿宣布对以色列的惩罚",10,13
hos,9,3,"何西阿宣布对以色列的惩罚",14,14
hos,9,4,"何西阿宣布对以色列的惩罚",15,16
hos,9,5,"何西阿宣布对以色列的惩罚",17,17
hos,10,1,"(无小标题)",1,8
hos,10,2,"(无小标题)",9,11
hos,10,3,"(无小标题)",12,15
hos,11,1,"耶和华对以色列的爱",1,4
hos,11,2,"耶和华对以色列的爱",5,9
hos,11,3,"耶和华对以色列的爱",10,11
hos,11,4,"对以色列和犹大的指控",12,12
hos,12,1,"(无小标题)",1,1
hos,12,2,"(无小标题)",2,6
hos,12,3,"(无小标题)",7,8
hos,12,4,"(无小标题)",9,10
hos,12,5,"(无小标题)",11,12
hos,12,6,"(无小标题)",12,12
hos,12,7,"(无小标题)",13,14
hos,13,1,"对以色列的最后审判",1,3
hos,13,2,"对以色列的最后审判",4,8
hos,13,3,"对以色列的最后审判",9,11
hos,13,4,"对以色列的最后审判",12,16
hos,14,1,"悔改带来祝福",1,3
hos,14,2,"悔改带来祝福",4,7
hos,14,3,"悔改带来祝福",8,8
hos,14,4,"悔改带来祝福",9,9
