book,chapter,paragraph,title,startVerseNo,endVerseNo
isa,1,1,"(无小标题)",1,1
isa,1,2,"上帝责备叛逆的子民",2,3
isa,1,3,"上帝责备叛逆的子民",4,4
isa,1,4,"上帝责备叛逆的子民",5,6
isa,1,5,"上帝责备叛逆的子民",7,9
isa,1,6,"上帝责备叛逆的子民",10,11
isa,1,7,"上帝责备叛逆的子民",12,23
isa,1,8,"上帝责备叛逆的子民",24,26
isa,1,9,"上帝责备叛逆的子民",27,31
isa,2,1,"主必统治万邦",1,1
isa,2,2,"主必统治万邦",2,5
isa,2,3,"耶和华审判的日子",6,22
isa,3,1,"对耶路撒冷和犹大的审判",1,1
isa,3,2,"对耶路撒冷和犹大的审判",2,17
isa,3,3,"对耶路撒冷和犹大的审判",18,23
isa,3,4,"对耶路撒冷和犹大的审判",24,26
isa,4,1,"(无小标题)",1,1
isa,4,2,"耶路撒冷的复兴",2,6
isa,5,1,"葡萄园之歌",1,1
isa,5,2,"葡萄园之歌",1,2
isa,5,3,"葡萄园之歌",3,4
isa,5,4,"葡萄园之歌",5,6
isa,5,5,"葡萄园之歌",7,7
isa,5,6,"以色列的罪恶",8,10
isa,5,7,"以色列的罪恶",11,12
isa,5,8,"以色列的罪恶",13,17
isa,5,9,"以色列的罪恶",18,23
isa,5,10,"以色列的罪恶",24,30
isa,6,1,"上帝呼召以赛亚",1,3
isa,6,2,"上帝呼召以赛亚",3,3
isa,6,3,"上帝呼召以赛亚",4,9
isa,6,4,"上帝呼召以赛亚",9,10
isa,6,5,"上帝呼召以赛亚",11,11
isa,6,6,"上帝呼召以赛亚",11,13
isa,7,1,"给亚哈斯王的信息",1,7
isa,7,2,"给亚哈斯王的信息",7,9
isa,7,3,"给亚哈斯王的信息",10,16
isa,7,4,"给亚哈斯王的信息",17,20
isa,7,5,"给亚哈斯王的信息",21,25
isa,8,1,"预言灾难降临",1,8
isa,8,2,"预言灾难降临",9,10
isa,8,3,"当敬畏主",11,22
isa,9,1,"未来的君王",1,1
isa,9,2,"未来的君王",2,7
isa,9,3,"耶和华要审判以色列",8,12
isa,9,4,"耶和华要审判以色列",13,21
isa,10,1,"(无小标题)",1,1
isa,10,2,"(无小标题)",1,4
isa,10,3,"主要审判亚述",5,11
isa,10,4,"主要审判亚述",12,12
isa,10,5,"主要审判亚述",13,19
isa,10,6,"以色列的余民",20,23
isa,10,7,"以色列的余民",24,27
isa,10,8,"以色列的余民",28,32
isa,10,9,"以色列的余民",33,34
isa,11,1,"大卫的后裔做王",1,1
isa,11,2,"大卫的后裔做王",1,5
