book,chapter,paragraph,title,startVerseNo,endVerseNo
jdg,1,1,"犹大支派攻打迦南人",1,7
jdg,1,2,"犹大支派攻打迦南人",8,10
jdg,1,3,"犹大支派攻打迦南人",11,15
jdg,1,4,"犹大支派攻打迦南人",16,21
jdg,1,5,"犹大支派攻打迦南人",22,26
jdg,1,6,"犹大支派攻打迦南人",27,28
jdg,1,7,"犹大支派攻打迦南人",29,29
jdg,1,8,"犹大支派攻打迦南人",30,30
jdg,1,9,"犹大支派攻打迦南人",31,32
jdg,1,10,"犹大支派攻打迦南人",33,33
jdg,1,11,"犹大支派攻打迦南人",34,36
jdg,2,1,"耶和华责备以色列人",1,5
jdg,2,2,"约书亚去世",6,10
jdg,2,3,"约书亚去世",11,15
jdg,2,4,"约书亚去世",16,23
jdg,3,1,"迦南余族",1,6
jdg,3,2,"士师俄陀聂",7,11
jdg,3,3,"士师以笏",12,23
jdg,3,4,"士师以笏",24,25
jdg,3,5,"士师以笏",26,30
jdg,3,6,"珊迦",31,31
jdg,4,1,"士师底波拉",1,3
jdg,4,2,"士师底波拉",4,10
jdg,4,3,"士师底波拉",11,11
jdg,4,4,"士师底波拉",12,16
jdg,4,5,"士师底波拉",17,22
jdg,4,6,"士师底波拉",23,24
jdg,5,1,"底波拉和巴拉之歌",1,1
jdg,5,2,"底波拉和巴拉之歌",2,9
jdg,5,3,"底波拉和巴拉之歌",10,11
jdg,5,4,"底波拉和巴拉之歌",12,18
jdg,5,5,"底波拉和巴拉之歌",19,22
jdg,5,6,"底波拉和巴拉之歌",23,23
jdg,5,7,"底波拉和巴拉之歌",24,27
jdg,5,8,"底波拉和巴拉之歌",28,31
jdg,5,9,"底波拉和巴拉之歌",31,31
jdg,6,1,"士师基甸",1,6
jdg,6,2,"士师基甸",7,10
jdg,6,3,"士师基甸",11,18
jdg,6,4,"士师基甸",19,24
jdg,6,5,"士师基甸",25,27
jdg,6,6,"士师基甸",28,32
jdg,6,7,"士师基甸",33,40
jdg,7,1,"基甸打败米甸人",1,1
jdg,7,2,"基甸打败米甸人",2,3
jdg,7,3,"基甸打败米甸人",4,8
jdg,7,4,"基甸打败米甸人",9,14
jdg,7,5,"基甸打败米甸人",15,18
jdg,7,6,"基甸打败米甸人",19,22
jdg,7,7,"基甸打败米甸人",23,25
jdg,8,1,"基甸擒杀米甸二王",1,1
jdg,8,2,"基甸擒杀米甸二王",2,3
jdg,8,3,"基甸擒杀米甸二王",4,5
jdg,8,4,"基甸擒杀米甸二王",6,6
jdg,8,5,"基甸擒杀米甸二王",7,7
jdg,8,6,"基甸擒杀米甸二王",8,9
jdg,8,7,"基甸擒杀米甸二王",10,12
jdg,8,8,"基甸擒杀米甸二王",13,17
jdg,8,9,"基甸擒杀米甸二王",18,18
jdg,8,10,"基甸擒杀米甸二王",19,20
jdg,8,11,"基甸擒杀米甸二王",21,21
jdg,8,12,"基甸造以弗得",22,22
jdg,8,13,"基甸造以弗得",23,24
jdg,8,14,"基甸造以弗得",25,27
jdg,8,15,"基甸造以弗得",28,28
jdg,8,16,"基甸去世",29,32
jdg,8,17,"基甸去世",33,35
jdg,9,1,"亚比米勒做王",1,6
jdg,9,2,"亚比米勒做王",7,15
jdg,9,3,"亚比米勒做王",16,21
jdg,9,4,"亚比米勒毁灭示剑",22,25
jdg,9,5,"亚比米勒毁灭示剑",26,29
jdg,9,6,"亚比米勒毁灭示剑",30,33
jdg,9,7,"亚比米勒毁灭示剑",34,41
jdg,9,8,"亚比米勒毁灭示剑",42,45
jdg,9,9,"亚比米勒毁灭示剑",46,49
jdg,9,10,"亚比米勒毁灭示剑",50,57
jdg,10,1,"士师陀拉和雅珥",1,2
jdg,10,2,"士师陀拉和雅珥",3,5
jdg,10,3,"以色列人因犯罪而受罚",6,16
