book,chapter,paragraph,title,startVerseNo,endVerseNo
jer,1,1,"(无小标题)",1,3
jer,1,2,"耶利米蒙召",4,5
jer,1,3,"耶利米蒙召",6,7
jer,1,4,"耶利米蒙召",7,8
jer,1,5,"耶利米蒙召",9,10
jer,1,6,"两个异象",11,12
jer,1,7,"两个异象",13,19
jer,2,1,"以色列人背弃上帝",1,3
jer,2,2,"以色列人背弃上帝",4,5
jer,2,3,"以色列人背弃上帝",5,13
jer,2,4,"以色列人背弃上帝",14,19
jer,2,5,"以色列人背弃上帝",20,22
jer,2,6,"以色列人背弃上帝",23,25
jer,2,7,"以色列人背弃上帝",26,28
jer,2,8,"以色列人背弃上帝",28,28
jer,2,9,"以色列人背弃上帝",29,32
jer,2,10,"以色列人背弃上帝",33,37
jer,3,1,"(无小标题)",1,1
jer,3,2,"(无小标题)",2,5
jer,3,3,"呼吁不忠的以色列悔改",6,10
jer,3,4,"呼吁不忠的以色列悔改",11,12
jer,3,5,"呼吁不忠的以色列悔改",12,13
jer,3,6,"呼吁不忠的以色列悔改",14,14
jer,3,7,"呼吁不忠的以色列悔改",15,18
jer,3,8,"呼吁不忠的以色列悔改",19,20
jer,3,9,"呼吁不忠的以色列悔改",21,23
jer,3,10,"呼吁不忠的以色列悔改",24,25
jer,4,1,"(无小标题)",1,4
jer,4,2,"(无小标题)",5,8
jer,4,3,"(无小标题)",9,10
jer,4,4,"(无小标题)",11,12
jer,4,5,"(无小标题)",13,18
jer,4,6,"(无小标题)",19,31
jer,5,1,"耶路撒冷的罪",1,1
jer,5,2,"耶路撒冷的罪",1,3
jer,5,3,"耶路撒冷的罪",4,6
jer,5,4,"耶路撒冷的罪",7,11
jer,5,5,"耶路撒冷的罪",12,13
jer,5,6,"耶路撒冷的罪",14,17
jer,5,7,"耶路撒冷的罪",18,19
jer,5,8,"耶路撒冷的罪",20,31
jer,6,1,"耶路撒冷被围",1,5
jer,6,2,"耶路撒冷被围",6,8
jer,6,3,"叛逆的以色列人",9,26
jer,6,4,"叛逆的以色列人",27,30
jer,7,1,"圣殿讲道",1,4
jer,7,2,"圣殿讲道",5,7
