book,chapter,paragraph,title,startVerseNo,endVerseNo
lam,1,1,"凄惨的耶路撒冷",1,1
lam,1,2,"凄惨的耶路撒冷",2,2
lam,1,3,"凄惨的耶路撒冷",3,3
lam,1,4,"凄惨的耶路撒冷",4,4
lam,1,5,"凄惨的耶路撒冷",5,5
lam,1,6,"凄惨的耶路撒冷",6,6
lam,1,7,"凄惨的耶路撒冷",7,7
lam,1,8,"凄惨的耶路撒冷",8,8
lam,1,9,"凄惨的耶路撒冷",9,9
lam,1,10,"凄惨的耶路撒冷",10,10
lam,1,11,"凄惨的耶路撒冷",11,11
lam,1,12,"耶路撒冷的哀叹",11,11
lam,1,13,"耶路撒冷的哀叹",12,12
lam,1,14,"耶路撒冷的哀叹",13,13
lam,1,15,"耶路撒冷的哀叹",14,14
lam,1,16,"耶路撒冷的哀叹",15,15
lam,1,17,"耶路撒冷的哀叹",16,16
lam,1,18,"耶路撒冷的哀叹",17,17
lam,1,19,"耶路撒冷的哀叹",18,18
lam,1,20,"耶路撒冷的哀叹",19,19
lam,1,21,"耶路撒冷的哀叹",20,20
lam,1,22,"耶路撒冷的哀叹",21,21
lam,1,23,"耶路撒冷的哀叹",22,22
lam,2,1,"耶和华惩罚耶路撒冷",1,1
lam,2,2,"耶和华惩罚耶路撒冷",2,2
lam,2,3,"耶和华惩罚耶路撒冷",3,3
lam,2,4,"耶和华惩罚耶路撒冷",4,4
lam,2,5,"耶和华惩罚耶路撒冷",5,5
lam,2,6,"耶和华惩罚耶路撒冷",6,6
lam,2,7,"耶和华惩罚耶路撒冷",7,7
lam,2,8,"耶和华惩罚耶路撒冷",8,8
lam,2,9,"耶和华惩罚耶路撒冷",9,9
lam,2,10,"耶和华惩罚耶路撒冷",10,10
lam,2,11,"耶和华惩罚耶路撒冷",11,11
lam,2,12,"耶和华惩罚耶路撒冷",12,12
lam,2,13,"耶和华惩罚耶路撒冷",13,13
lam,2,14,"耶和华惩罚耶路撒冷",14,14
lam,2,15,"耶和华惩罚耶路撒冷",15,15
lam,2,16,"耶和华惩罚耶路撒冷",16,16
lam,2,17,"耶和华惩罚耶路撒冷",17,17
lam,2,18,"耶和华惩罚耶路撒冷",18,18
lam,2,19,"耶和华惩罚耶路撒冷",19,19
lam,2,20,"耶和华惩罚耶路撒冷",20,20
lam,2,21,"耶和华惩罚耶路撒冷",21,21
lam,2,22,"耶和华惩罚耶路撒冷",22,22
lam,3,1,"刑罚、悔改和盼望",1,3
lam,3,2,"刑罚、悔改和盼望",4,6
lam,3,3,"刑罚、悔改和盼望",7,9
lam,3,4,"刑罚、悔改和盼望",10,12
lam,3,5,"刑罚、悔改和盼望",13,15
lam,3,6,"刑罚、悔改和盼望",16,18
lam,3,7,"刑罚、悔改和盼望",19,21
lam,3,8,"刑罚、悔改和盼望",22,24
lam,3,9,"刑罚、悔改和盼望",25,27
lam,3,10,"刑罚、悔改和盼望",28,30
lam,3,11,"刑罚、悔改和盼望",31,33
lam,3,12,"刑罚、悔改和盼望",34,36
lam,3,13,"刑罚、悔改和盼望",37,39
lam,3,14,"刑罚、悔改和盼望",40,42
lam,3,15,"刑罚、悔改和盼望",43,45
lam,3,16,"刑罚、悔改和盼望",46,48
lam,3,17,"刑罚、悔改和盼望",49,51
lam,3,18,"刑罚、悔改和盼望",52,54
lam,3,19,"刑罚、悔改和盼望",55,57
lam,3,20,"刑罚、悔改和盼望",58,60
lam,3,21,"刑罚、悔改和盼望",61,63
lam,3,22,"刑罚、悔改和盼望",64,66
lam,4,1,"沦陷的耶路撒冷",1,1
lam,4,2,"沦陷的耶路撒冷",2,2
lam,4,3,"沦陷的耶路撒冷",3,3
lam,4,4,"沦陷的耶路撒冷",4,4
lam,4,5,"沦陷的耶路撒冷",5,5
lam,4,6,"沦陷的耶路撒冷",6,6
lam,4,7,"沦陷的耶路撒冷",7,7
lam,4,8,"沦陷的耶路撒冷",8,8
lam,4,9,"沦陷的耶路撒冷",9,9
lam,4,10,"沦陷的耶路撒冷",10,10
lam,4,11,"沦陷的耶路撒冷",11,11
lam,4,12,"沦陷的耶路撒冷",12,12
lam,4,13,"沦陷的耶路撒冷",13,13
lam,4,14,"沦陷的耶路撒冷",14,14
lam,4,15,"沦陷的耶路撒冷",15,15
lam,4,16,"沦陷的耶路撒冷",16,16
lam,4,17,"沦陷的耶路撒冷",17,17
lam,4,18,"沦陷的耶路撒冷",18,18
lam,4,19,"沦陷的耶路撒冷",19,19
lam,4,20,"沦陷的耶路撒冷",20,20
lam,4,21,"沦陷的耶路撒冷",21,21
lam,4,22,"沦陷的耶路撒冷",22,22
lam,5,1,"求耶和华怜悯",1,18
lam,5,2,"求耶和华怜悯",19,22
lam,1,1,"凄惨的耶路撒冷",1,1
lam,1,2,"凄惨的耶路撒冷",2,2
lam,1,3,"凄惨的耶路撒冷",3,3
lam,1,4,"凄惨的耶路撒冷",4,4
