book,chapter,paragraph,title,startVerseNo,endVerseNo
lev,1,1,"献燔祭的条例",1,2
lev,1,2,"献燔祭的条例",2,9
lev,1,3,"献燔祭的条例",10,13
lev,1,4,"献燔祭的条例",14,17
lev,2,1,"献素祭的条例",1,3
lev,2,2,"献素祭的条例",4,4
lev,2,3,"献素祭的条例",5,6
lev,2,4,"献素祭的条例",7,7
lev,2,5,"献素祭的条例",8,10
lev,2,6,"献素祭的条例",11,13
lev,2,7,"献素祭的条例",14,16
lev,3,1,"献平安祭的条例",1,5
lev,3,2,"献平安祭的条例",6,11
lev,3,3,"献平安祭的条例",12,17
lev,4,1,"献赎罪祭的条例",1,2
lev,4,2,"献赎罪祭的条例",2,2
lev,4,3,"献赎罪祭的条例",3,11
lev,4,4,"献赎罪祭的条例",13,21
lev,4,5,"献赎罪祭的条例",22,26
lev,4,6,"献赎罪祭的条例",27,31
lev,4,7,"献赎罪祭的条例",32,35
lev,5,1,"(无小标题)",1,6
lev,5,2,"(无小标题)",7,10
lev,5,3,"(无小标题)",11,13
lev,5,4,"献赎过祭的条例",14,16
lev,5,5,"献赎过祭的条例",17,19
lev,6,1,"(无小标题)",1,7
lev,6,2,"祭司献燔祭的条例",8,9
lev,6,3,"祭司献燔祭的条例",9,13
lev,6,4,"祭司献素祭的条例",14,14
lev,6,5,"祭司献素祭的条例",14,18
lev,6,6,"祭司献素祭的条例",19,23
lev,6,7,"祭司献赎罪祭的条例",24,25
lev,6,8,"祭司献赎罪祭的条例",25,30
lev,7,1,"祭司献赎过祭的条例",1,1
lev,7,2,"祭司献赎过祭的条例",1,10
lev,7,3,"献平安祭的条例",11,11
lev,7,4,"献平安祭的条例",12,18
lev,7,5,"献平安祭的条例",19,21
lev,7,6,"献平安祭的条例",22,23
lev,7,7,"献平安祭的条例",23,27
lev,7,8,"献平安祭的条例",28,29
lev,7,9,"献平安祭的条例",29,36
lev,7,10,"献平安祭的条例",37,38
lev,8,1,"膏立亚伦父子们做祭司",1,4
lev,8,2,"膏立亚伦父子们做祭司",5,9
lev,8,3,"膏立亚伦父子们做祭司",10,13
lev,8,4,"膏立亚伦父子们做祭司",14,17
lev,8,5,"膏立亚伦父子们做祭司",18,21
lev,8,6,"膏立亚伦父子们做祭司",22,29
lev,8,7,"膏立亚伦父子们做祭司",30,30
lev,8,8,"膏立亚伦父子们做祭司",31,36
lev,9,1,"亚伦献祭",1,7
lev,9,2,"亚伦献祭",8,11
lev,9,3,"亚伦献祭",12,14
lev,9,4,"亚伦献祭",15,21
lev,9,5,"亚伦献祭",22,24
lev,10,1,"拿答和亚比户之死",1,7
lev,10,2,"有关祭司的条例",8,11
lev,10,3,"有关祭司的条例",12,15
lev,10,4,"有关祭司的条例",16,20
lev,11,1,"有关食物的条例",1,2
lev,11,2,"有关食物的条例",2,8
lev,11,3,"有关食物的条例",9,12
lev,11,4,"有关食物的条例",13,19
lev,11,5,"有关食物的条例",20,23
lev,11,6,"有关食物的条例",24,28
lev,11,7,"有关食物的条例",29,38
lev,11,8,"有关食物的条例",39,40
lev,11,9,"有关食物的条例",41,45
lev,11,10,"有关食物的条例",46,47
lev,12,1,"产妇洁净的条例",1,2
lev,12,2,"产妇洁净的条例",2,8
lev,13,1,"有关麻风病的条例",1,1
lev,13,2,"有关麻风病的条例",2,8
lev,13,3,"有关麻风病的条例",9,17
lev,13,4,"有关麻风病的条例",18,23
lev,13,5,"有关麻风病的条例",24,28
lev,13,6,"有关麻风病的条例",29,37
lev,13,7,"有关麻风病的条例",38,39
lev,13,8,"有关麻风病的条例",40,44
lev,13,9,"有关麻风病的条例",45,46
lev,13,10,"霉变衣物的条例",47,58
lev,13,11,"霉变衣物的条例",59,59
lev,14,1,"麻风病患者的洁净条例",1,2
lev,14,2,"麻风病患者的洁净条例",2,9
lev,14,3,"麻风病患者的洁净条例",10,20
lev,14,4,"麻风病患者的洁净条例",21,32
lev,14,5,"处理房子发霉的条例",33,33
lev,14,6,"处理房子发霉的条例",34,42
lev,14,7,"处理房子发霉的条例",43,47
lev,14,8,"处理房子发霉的条例",48,53
lev,14,9,"处理房子发霉的条例",54,57
lev,15,1,"有关漏症患者的条例",1,2
lev,15,2,"有关漏症患者的条例",2,15
lev,15,3,"有关遗精的条例",16,18
lev,15,4,"有关女人月经的条例",19,24
lev,15,5,"有关女人月经的条例",25,31
lev,15,6,"有关女人月经的条例",32,33
