book,chapter,paragraph,title,startVerseNo,endVerseNo
mark,1,1,"施洗者约翰预备道路",1,1
mark,1,2,"施洗者约翰预备道路",2,3
mark,1,3,"施洗者约翰预备道路",4,5
mark,1,4,"施洗者约翰预备道路",6,8
mark,1,5,"耶稣受洗",9,11
mark,1,6,"耶稣受试探",12,13
mark,1,7,"呼召四渔夫",14,15
mark,1,8,"呼召四渔夫",16,18
mark,1,9,"呼召四渔夫",19,20
mark,1,10,"传道赶鬼",21,24
mark,1,11,"传道赶鬼",25,25
mark,1,12,"传道赶鬼",26,28
mark,1,13,"医病赶鬼",29,31
mark,1,14,"医病赶鬼",32,34
mark,1,15,"在加利利传道",35,37
mark,1,16,"在加利利传道",38,38
mark,1,17,"在加利利传道",39,39
mark,1,18,"治好麻风病人",40,40
mark,1,19,"治好麻风病人",41,44
mark,1,20,"治好麻风病人",45,45
mark,2,1,"治好瘫子",1,7
mark,2,2,"治好瘫子",8,12
mark,2,3,"呼召利未",13,14
mark,2,4,"呼召利未",15,16
mark,2,5,"呼召利未",17,17
mark,2,6,"论禁食",18,18
mark,2,7,"论禁食",19,20
mark,2,8,"论禁食",21,22
mark,2,9,"安息日的主",23,24
mark,2,10,"安息日的主",25,28
mark,3,1,"治好手枯的人",1,2
mark,3,2,"治好手枯的人",3,4
mark,3,3,"治好手枯的人",5,6
mark,3,4,"群众跟随耶稣",7,12
mark,3,5,"选立十二使徒",13,15
mark,3,6,"选立十二使徒",16,19
mark,3,7,"耶稣和别西卜",20,21
mark,3,8,"耶稣和别西卜",22,22
mark,3,9,"耶稣和别西卜",23,27
mark,3,10,"耶稣和别西卜",28,30
mark,3,11,"谁是耶稣的亲人",31,32
mark,3,12,"谁是耶稣的亲人",33,35
mark,4,1,"撒种的比喻",1,9
mark,4,2,"撒种的比喻",10,12
mark,4,3,"撒种的比喻",13,20
mark,4,4,"灯的比喻",21,25
mark,4,5,"种子生长的比喻",26,29
mark,4,6,"芥菜种的比喻",30,32
